Gene1	Gene2	EdgeWeight
RSPO1	CTNNB1	1.0
CBX2	UGR	0.9998979568481444
CTNNB1	RSPO1	0.9982076287269592
FOXL2	WT1pKTS	0.9967486262321472
WT1pKTS	FOXL2	0.9948789477348328
NR0B1	WNT4	0.9946356415748596
NR5A1	RSPO1	0.9913332462310792
DHH	PGD2	0.9910309314727784
SRY	DKK1	0.9888073801994324
UGR	CBX2	0.9883891344070436
WNT4	RSPO1	0.9880626797676086
RSPO1	NR5A1	0.9819129109382628
GATA4	WT1mKTS	0.9780591130256652
WNT4	NR0B1	0.977886438369751
DMRT1	DKK1	0.9773742556571959
SRY	DMRT1	0.9755963683128356
GATA4	UGR	0.9748945236206056
PGD2	DHH	0.9699604511260986
SOX9	DMRT1	0.9675888419151306
FGF9	DHH	0.9590729475021362
DHH	FGF9	0.9584535360336304
SOX9	DKK1	0.9551382660865784
NR0B1	UGR	0.9503036737442015
AMH	PGD2	0.9475635886192322
CBX2	NR5A1	0.944591760635376
UGR	NR0B1	0.9445606470108032
SOX9	DHH	0.9323121309280396
FGF9	PGD2	0.9192307591438292
WT1mKTS	GATA4	0.9170212149620056
AMH	FGF9	0.914724588394165
GATA4	SOX9	0.9111815094947816
PGD2	FGF9	0.9105730652809144
FGF9	AMH	0.9090729355812072
GATA4	CBX2	0.9084387421607972
CTNNB1	FOXL2	0.9083961248397828
NR0B1	AMH	0.9062752723693848
GATA4	DHH	0.9056962132453918
GATA4	FOXL2	0.9048523902893066
PGD2	AMH	0.9045453667640686
GATA4	PGD2	0.9044303894042968
GATA4	AMH	0.902320683002472
GATA4	NR5A1	0.8945148587226868
NR5A1	FOXL2	0.8898094892501831
GATA4	DMRT1	0.888818621635437
GATA4	FGF9	0.8871307969093323
RSPO1	WNT4	0.8814394474029541
WNT4	SOX9	0.8812132477760315
GATA4	WT1pKTS	0.8774262070655823
GATA4	DKK1	0.8740506172180176
GATA4	WNT4	0.8727848529815674
GATA4	SRY	0.8717299699783325
GATA4	CTNNB1	0.8702531456947327
SRY	CTNNB1	0.8679816126823425
GATA4	RSPO1	0.8651899099349976
FOXL2	CTNNB1	0.8601053953170776
AMH	DHH	0.8600634932518005
CBX2	DKK1	0.850612223148346
UGR	SRY	0.8483263850212097
WNT4	DKK1	0.8452054858207703
NR5A1	WT1pKTS	0.8441905975341797
WT1mKTS	UGR	0.8331559896469116
WNT4	UGR	0.8275930285453796
NR5A1	CBX2	0.8240000009536743
SRY	NR5A1	0.8214678764343262
DHH	AMH	0.8168041110038757
NR0B1	RSPO1	0.8127530217170715
SRY	FOXL2	0.8086237907409668
