Gene1	Gene2	EdgeWeight
DMRT1	DKK1	0.1158502846956253
PGD2	DHH	0.11175955086946487
RSPO1	CTNNB1	0.10976755619049072
WT1pKTS	FOXL2	0.10790123790502547
RSPO1	NR5A1	0.10688532143831253
FOXL2	WT1pKTS	0.10380791127681732
PGD2	FGF9	0.10326840728521347
PGD2	AMH	0.10256756097078323
FGF9	DHH	0.09838943928480147
AMH	PGD2	0.09784257411956787
DHH	PGD2	0.09757173806428908
WNT4	RSPO1	0.0966825634241104
WNT4	NR0B1	0.09622468799352646
DHH	FGF9	0.09528396278619766
RSPO1	WNT4	0.0951024442911148
AMH	FGF9	0.09444617480039597
FGF9	PGD2	0.09280356764793396
NR5A1	RSPO1	0.09270524233579636
CTNNB1	RSPO1	0.09148754179477693
SRY	DMRT1	0.09142560511827467
FGF9	AMH	0.09081792831420897
SRY	DKK1	0.09059535712003708
UGR	CBX2	0.08911993354558945
SOX9	DKK1	0.08902513235807419
UGR	NR0B1	0.0880512222647667
SOX9	DMRT1	0.08754761517047882
AMH	DHH	0.08736196160316467
FOXL2	CTNNB1	0.08674334734678267
WNT4	SOX9	0.0861932635307312
DHH	AMH	0.0861428752541542
NR0B1	WNT4	0.08582600206136702
CBX2	UGR	0.08414125442504883
NR5A1	WT1pKTS	0.08351767063140869
WNT4	DKK1	0.08314429968595505
DMRT1	SOX9	0.08268114924430847
NR0B1	UGR	0.0823497623205185
DKK1	SRY	0.08133561164140701
WNT4	UGR	0.08116714656352997
DKK1	SOX9	0.08114795386791229
CTNNB1	FOXL2	0.08109288662672043
CBX2	NR5A1	0.08061795681715013
NR5A1	FOXL2	0.08019945025444031
WT1pKTS	NR5A1	0.07981956750154495
UGR	SRY	0.07962829619646072
SRY	CTNNB1	0.07863201946020126
SOX9	PGD2	0.0784330740571022
FOXL2	RSPO1	0.07782614976167679
NR0B1	AMH	0.07691048830747604
NR5A1	CBX2	0.07647089660167694
SOX9	DHH	0.07489278167486191
SRY	NR5A1	0.07305045425891876
CTNNB1	DMRT1	0.07288403064012527
RSPO1	CBX2	0.07261884957551956
DMRT1	SRY	0.07255318015813828
SOX9	FGF9	0.07085361331701279
CTNNB1	NR5A1	0.06938675791025163
CBX2	RSPO1	0.06929140537977219
CBX2	DKK1	0.06914164125919342
SRY	WT1pKTS	0.06816909462213516
SRY	FOXL2	0.06723882257938385
CBX2	SOX9	0.06683219969272614
FOXL2	NR5A1	0.06671860069036484
CBX2	DMRT1	0.06650114804506302
CTNNB1	WT1pKTS	0.06622950732707977
NR0B1	RSPO1	0.06578656286001205
WT1pKTS	SRY	0.065479576587677
CTNNB1	UGR	0.06538757681846619
GATA4	WT1mKTS	0.0651530846953392
SOX9	NR5A1	0.0646173357963562
WT1pKTS	WT1mKTS	0.06426399946212769
WNT4	DMRT1	0.06417407095432281
CTNNB1	SRY	0.06331512331962585
CTNNB1	CBX2	0.06312892585992813
WT1mKTS	GATA4	0.06299996376037598
NR0B1	PGD2	0.0623103454709053
CTNNB1	DKK1	0.062108889222145074
GATA4	UGR	0.06122210994362831
WT1mKTS	UGR	0.06083667650818825
NR5A1	CTNNB1	0.06008492410182952
UGR	WT1mKTS	0.05874307826161385
DHH	SOX9	0.05852899327874184
RSPO1	FOXL2	0.057843305170536034
NR5A1	SOX9	0.05770328640937805
WT1mKTS	CBX2	0.057366080582141876
PGD2	SOX9	0.057200618088245385
SOX9	WNT4	0.05704746395349504
FOXL2	UGR	0.056976594030857086
GATA4	FGF9	0.056707311421632774
SOX9	RSPO1	0.056663695722818375
NR0B1	FGF9	0.05653572082519531
CBX2	WT1mKTS	0.056467249989509576
GATA4	CBX2	0.056370005011558526
UGR	GATA4	0.056352056562900536
GATA4	DHH	0.056162431836128235
AMH	NR0B1	0.05608086287975311
