Gene1,Gene2,EdgeWeight
FOXL2,WT1pKTS,0.025327490763755556
UGR,WNT4,0.013332861173805555
DKK1,DMRT1,0.012710913540055555
NR0B1,UGR,0.012629032081996111
CTNNB1,RSPO1,0.012197074010322223
NR0B1,WNT4,0.01190274148988889
NR5A1,RSPO1,0.01062951652035
RSPO1,WNT4,0.01009323633375
FOXL2,NR5A1,0.010029578471005555
SRY,UGR,0.009594245563694445
NR0B1,SRY,0.009225239468533333
NR5A1,WT1pKTS,0.00914975771406111
DKK1,SRY,0.008936790404694445
CBX2,UGR,0.008670153012533334
CBX2,RSPO1,0.008209256125333332
CBX2,NR5A1,0.008079846912668333
CTNNB1,SRY,0.008036523853877778
FOXL2,RSPO1,0.007903031391938889
CBX2,CTNNB1,0.007783626809994444
RSPO1,WT1pKTS,0.007303466967718889
DMRT1,SRY,0.00716318023436111
CTNNB1,FOXL2,0.007128325224644444
CTNNB1,DKK1,0.007075721137833333
CTNNB1,WT1pKTS,0.007058476615488889
CTNNB1,WNT4,0.006933487892853333
CTNNB1,NR5A1,0.006417775636255556
RSPO1,UGR,0.006372928922727778
FOXL2,SOX9,0.006307965298366666
CTNNB1,DMRT1,0.006277892811511111
SRY,WNT4,0.006060506142062778
CBX2,NR0B1,0.006021911831
CBX2,WT1pKTS,0.005738087949238889
DKK1,WT1pKTS,0.0055992826206
NR0B1,NR5A1,0.005531311824794445
RSPO1,SOX9,0.00549384028974889
CBX2,DKK1,0.005465854350836111
NR5A1,SOX9,0.005456958099077778
CTNNB1,SOX9,0.005416123960248333
FOXL2,SRY,0.005334863058511111
WNT4,WT1pKTS,0.005318386728788889
DKK1,SOX9,0.0052818168652799995
CTNNB1,NR0B1,0.005255981624283333
CBX2,WNT4,0.005201404184819999
SOX9,SRY,0.005200688418694445
CTNNB1,UGR,0.0051994526525644446
DKK1,FOXL2,0.005074712040905556
FOXL2,NR0B1,0.005037589434272223
DMRT1,SOX9,0.004883964031363889
NR5A1,WNT4,0.004835904151018889
NR0B1,RSPO1,0.004813811889647778
DKK1,WNT4,0.004774310732049999
DHH,PGD2,0.0046603830290694445
FGF9,PGD2,0.004656768729366666
FOXL2,GATA4,0.004635599488186666
