Gene1,Gene2,EdgeWeight
WNT4,AMH,0.9867427349090576
WNT4,NR0B1,0.9863203167915344
WNT4,FOXL2,0.985358715057373
WNT4,CBX2,0.9794350862503052
WNT4,NR5A1,0.9793954491615295
WNT4,CTNNB1,0.975260317325592
SRY,UGR,0.9711797833442688
WNT4,SRY,0.9686800837516785
WNT4,SOX9,0.9684874415397644
WNT4,GATA4,0.9675209522247314
CTNNB1,NR5A1,0.9663698077201843
WNT4,UGR,0.9655778408050537
CTNNB1,SOX9,0.9616810083389282
WNT4,WT1mKTS,0.9610281586647034
WNT4,DMRT1,0.9608368277549744
CTNNB1,AMH,0.9596792459487915
SRY,GATA4,0.95763099193573
WNT4,WT1pKTS,0.9561631679534912
SRY,WT1pKTS,0.9548079967498779
SRY,AMH,0.9470734000205994
CTNNB1,WT1mKTS,0.9465771913528442
WNT4,DKK1,0.9422338604927063
WNT4,RSPO1,0.9416089653968811
SOX9,NR5A1,0.9401713013648987
CTNNB1,NR0B1,0.937160313129425
WNT4,FGF9,0.933151364326477
CTNNB1,FOXL2,0.9321383833885193
SOX9,AMH,0.9312508702278137
CTNNB1,UGR,0.9307236671447754
SRY,WT1mKTS,0.929847002029419
CTNNB1,SRY,0.9274651408195496
CTNNB1,WNT4,0.9252873659133911
CTNNB1,CBX2,0.9236117005348206
SOX9,CTNNB1,0.9213781356811523
CTNNB1,GATA4,0.9134321212768555
SRY,NR5A1,0.9107800126075745
SOX9,WT1mKTS,0.9096419215202332
NR5A1,WT1mKTS,0.9037356376647949
SOX9,NR0B1,0.9012768268585205
NR5A1,UGR,0.8998613357543945
NR5A1,SOX9,0.8997403979301453
WNT4,PGD2,0.8995463848114014
SOX9,FOXL2,0.8958151936531067
SOX9,SRY,0.8931649327278137
SOX9,UGR,0.8928033709526062
SOX9,WNT4,0.8919686079025269
NR5A1,AMH,0.8879162073135376
NR5A1,SRY,0.886944055557251
SOX9,CBX2,0.8806045651435852
CTNNB1,WT1pKTS,0.8760495185852051
CTNNB1,DMRT1,0.8744654655456543
UGR,SRY,0.8742156624794006
SOX9,GATA4,0.8716811537742615
SRY,CBX2,0.8688148260116577
GATA4,UGR,0.8685948252677917
SRY,NR0B1,0.8586146235466003
NR5A1,GATA4,0.8525276780128479
SRY,FOXL2,0.8518390655517578
CTNNB1,RSPO1,0.85126793384552
NR5A1,CTNNB1,0.8419117331504822
SOX9,DMRT1,0.8411508202552795
SRY,SOX9,0.8363595604896545
GATA4,SRY,0.8346447348594666
UGR,GATA4,0.8285475373268127
NR5A1,WNT4,0.8270332217216492
UGR,WT1mKTS,0.8244146704673767
UGR,WT1pKTS,0.8237771987915039
SOX9,WT1pKTS,0.8235689401626587
SRY,CTNNB1,0.8174257874488831
SOX9,RSPO1,0.8165115714073181
NR5A1,WT1pKTS,0.8085858821868896
DMRT1,WT1mKTS,0.8069671392440796
DMRT1,SOX9,0.7991036176681519
GATA4,WT1mKTS,0.7989649772644043
DMRT1,NR5A1,0.7989012002944946
CTNNB1,DKK1,0.7863404154777527
SRY,DMRT1,0.7784703373908997
DMRT1,UGR,0.7723514437675476
GATA4,WT1pKTS,0.7721891403198242
NR5A1,CBX2,0.7651687264442444
CTNNB1,FGF9,0.7629309892654419
NR5A1,NR0B1,0.7602773904800415
RSPO1,SOX9,0.754267692565918
NR5A1,FOXL2,0.7471264004707336
RSPO1,WNT4,0.7466854453086853
UGR,AMH,0.746351420879364
WT1pKTS,UGR,0.7430132627487183
SOX9,DKK1,0.7409746646881104
DMRT1,SRY,0.7353428602218628
DMRT1,WNT4,0.7310574650764465
SRY,WNT4,0.728205680847168
UGR,NR5A1,0.7214903235435486
SOX9,FGF9,0.7137565016746521
CTNNB1,PGD2,0.7008411884307861
WT1pKTS,WT1mKTS,0.6997882127761841
DMRT1,AMH,0.6996521353721619
DMRT1,CTNNB1,0.692082405090332
WT1pKTS,SRY,0.6871492266654968
DMRT1,GATA4,0.6842614412307739
GATA4,NR5A1,0.6796996593475342
NR5A1,DMRT1,0.6774360537528992
GATA4,AMH,0.6728436350822449
SOX9,PGD2,0.6656737923622131
WT1mKTS,UGR,0.6539471745491028
UGR,SOX9,0.6441801190376282
SRY,RSPO1,0.6386358737945557
DMRT1,WT1pKTS,0.6328646540641785
NR5A1,RSPO1,0.6194566488265991
GATA4,SOX9,0.6127331852912903
DKK1,SOX9,0.6123628616333008
DKK1,WNT4,0.6105194687843323
PGD2,WNT4,0.608039140701294
WT1mKTS,SRY,0.6058864593505859
FGF9,SOX9,0.6013638973236084
WT1pKTS,GATA4,0.6011128425598145
WT1mKTS,SOX9,0.5971966981887817
FOXL2,SOX9,0.5922086834907532
FGF9,WNT4,0.5871813893318176
NR0B1,SOX9,0.5841905474662781
PGD2,SOX9,0.5837777853012085
AMH,WT1mKTS,0.579623281955719
SRY,DKK1,0.5700847506523132
WT1mKTS,NR5A1,0.5646669268608093
AMH,SOX9,0.5629299879074097
WT1pKTS,NR5A1,0.5580533742904663
FOXL2,WNT4,0.5557724237442017
NR0B1,WNT4,0.5526517629623413
DMRT1,CBX2,0.5495851039886475
WT1pKTS,SOX9,0.5417947173118591
RSPO1,CTNNB1,0.5316343903541565
UGR,WNT4,0.5288956761360168
WT1mKTS,WNT4,0.5252454280853271
RSPO1,NR5A1,0.520604133605957
WT1mKTS,GATA4,0.5164010524749756
AMH,WNT4,0.5105780959129333
UGR,CBX2,0.5094123482704163
SRY,PGD2,0.5080170631408691
UGR,CTNNB1,0.5075348615646362
DMRT1,NR0B1,0.507137656211853
SRY,FGF9,0.5040286183357239
RSPO1,WT1mKTS,0.5011183619499207
GATA4,WNT4,0.4997715950012207
CBX2,WT1mKTS,0.49945420026779175
DMRT1,FOXL2,0.4962451756000519
FOXL2,WT1mKTS,0.4897720515727997
WT1mKTS,WT1pKTS,0.4892409145832062
WT1pKTS,AMH,0.4708124101161957
NR0B1,WT1mKTS,0.4698071777820587
NR5A1,DKK1,0.4675133526325226
WT1pKTS,WNT4,0.46649789810180664
AMH,NR5A1,0.46565860509872437
WT1mKTS,AMH,0.4623749554157257
GATA4,CTNNB1,0.44775158166885376
DMRT1,RSPO1,0.43845734000205994
AMH,UGR,0.43588319420814514
CBX2,SOX9,0.4312342405319214
UGR,NR0B1,0.4304436147212982
NR5A1,FGF9,0.4275150001049042
GATA4,CBX2,0.4227152466773987
UGR,FOXL2,0.4175049364566803
NR5A1,PGD2,0.41375917196273804
UGR,DMRT1,0.4128477871417999
FOXL2,NR5A1,0.40876802802085876
WT1mKTS,CTNNB1,0.4027741551399231
FGF9,WT1mKTS,0.40252336859703064
NR0B1,NR5A1,0.39068061113357544
DKK1,WT1mKTS,0.3820151686668396
CBX2,WNT4,0.37970730662345886
AMH,SRY,0.36836573481559753
FGF9,NR5A1,0.3616282641887665
CBX2,UGR,0.35271939635276794
WT1pKTS,CTNNB1,0.348848819732666
DKK1,NR5A1,0.3449898064136505
CBX2,NR5A1,0.3390619158744812
