Gene1,Gene2,EdgeWeight
AMH,CBX2,0.02473787064012758
AMH,CTNNB1,0.012577050463715208
AMH,DHH,0.08237619355002307
AMH,DKK1,0.08319649770056223
AMH,DMRT1,0.10059793171694269
AMH,FGF9,0.061965274569285085
AMH,FOXL2,0.029281843363962168
AMH,GATA4,0.027464494475103966
AMH,NR0B1,0.031013105733220064
AMH,NR5A1,0.13222523647159706
AMH,PGD2,0.11644321142932343
AMH,RSPO1,0.046370062059169256
AMH,SOX9,0.022034285739072935
AMH,SRY,0.12701190077111887
AMH,UGR,0.0004246470237296741
AMH,WNT4,0.050513270051324985
AMH,WT1mKTS,0.03955748868189067
AMH,WT1pKTS,0.012209635559831058
CBX2,AMH,0.08968210647955754
CBX2,CTNNB1,0.04144314066964855
CBX2,DHH,0.07929277021563265
CBX2,DKK1,0.041981024785845256
CBX2,DMRT1,0.18646292186938876
CBX2,FGF9,0.028408308323398287
CBX2,FOXL2,0.015975611241968102
CBX2,GATA4,0.04470567087314813
CBX2,NR0B1,0.007836013669097565
CBX2,NR5A1,0.13351737342911796
CBX2,PGD2,0.05943390619549064
CBX2,RSPO1,0.038921023750276625
CBX2,SOX9,0.0453612121610039
CBX2,SRY,0.08670114234707255
CBX2,UGR,0.02457077829465105
CBX2,WNT4,0.04046167609329646
CBX2,WT1mKTS,0.0096938670184555
CBX2,WT1pKTS,0.025551452582950475
CTNNB1,AMH,0.02555110156975618
CTNNB1,CBX2,0.032335256220710026
CTNNB1,DHH,0.007396349869795654
CTNNB1,DKK1,0.017573284026085496
CTNNB1,DMRT1,0.07483760320488261
CTNNB1,FGF9,0.007078553458830781
CTNNB1,FOXL2,0.0328557920909223
CTNNB1,GATA4,0.031786400863702234
CTNNB1,NR0B1,0.03990959992895458
CTNNB1,NR5A1,0.0655135184288259
CTNNB1,PGD2,0.07273892610471544
CTNNB1,RSPO1,0.1708495924336347
CTNNB1,SOX9,0.08284173789034316
CTNNB1,SRY,0.16986882115888907
CTNNB1,UGR,0.03720498190316486
CTNNB1,WNT4,0.038216137805665386
CTNNB1,WT1mKTS,0.05932791089542817
CTNNB1,WT1pKTS,0.034114432145693416
DHH,AMH,0.09701764447384995
DHH,CBX2,0.01754021695436291
DHH,CTNNB1,0.01832622721233055
DHH,DKK1,0.030791003810699175
DHH,DMRT1,0.0030157737377740144
DHH,FGF9,0.17518009931454454
DHH,FOXL2,0.033744405974162936
DHH,GATA4,0.039326880375696975
DHH,NR0B1,0.14508311254483452
DHH,NR5A1,0.06534784831653281
DHH,PGD2,0.10188191099972915
DHH,RSPO1,0.00838601388018019
DHH,SOX9,0.1091687604960861
DHH,SRY,0.0037607562958233945
DHH,UGR,0.040364114865678986
DHH,WNT4,0.01249347072582554
DHH,WT1mKTS,0.08104114666734229
DHH,WT1pKTS,0.017530613354545973
DKK1,AMH,0.0638261750019916
DKK1,CBX2,0.018485906664731527
DKK1,CTNNB1,0.049084114755455946
DKK1,DHH,0.03337177086172823
DKK1,DMRT1,0.26620879218002574
DKK1,FGF9,0.04913563650873797
DKK1,FOXL2,0.08472393727349452
DKK1,GATA4,0.01880717612994645
DKK1,NR0B1,0.043913392760451
DKK1,NR5A1,0.057134946794434434
DKK1,PGD2,0.014904809416176376
DKK1,RSPO1,0.02674112084288276
DKK1,SOX9,0.037111342063279554
DKK1,SRY,0.06832651300022893
DKK1,UGR,0.010463708953570558
DKK1,WNT4,0.03985832752452635
DKK1,WT1mKTS,0.10126899108821123
DKK1,WT1pKTS,0.016633338180126783
DMRT1,AMH,0.015370384590628366
DMRT1,CBX2,0.027423406684398334
DMRT1,CTNNB1,0.05544519972013286
DMRT1,DHH,0.004917294396986097
DMRT1,DKK1,0.2779705540958789
DMRT1,FGF9,0.04518851690004527
DMRT1,FOXL2,0.037780714887078154
DMRT1,GATA4,0.024402586993366233
DMRT1,NR0B1,0.02991102586774323
DMRT1,NR5A1,0.035524413383661704
DMRT1,PGD2,0.030268206182959806
DMRT1,RSPO1,0.06207646247429383
DMRT1,SOX9,0.023754991309198715
DMRT1,SRY,0.1326735279937598
DMRT1,UGR,0.058011745756148196
DMRT1,WNT4,0.056052274482182675
DMRT1,WT1mKTS,0.0326067157086401
DMRT1,WT1pKTS,0.05062197857289772
FGF9,AMH,0.07122923100991814
FGF9,CBX2,0.02671677135003686
FGF9,CTNNB1,0.013743292707403066
FGF9,DHH,0.1885916071335811
FGF9,DKK1,0.08098767486818322
FGF9,DMRT1,0.11033826515681412
FGF9,FOXL2,0.06276548274513301
FGF9,GATA4,0.0674693498263196
FGF9,NR0B1,0.03944277280133239
FGF9,NR5A1,0.050380567722913897
FGF9,PGD2,0.017876503307766346
FGF9,RSPO1,0.002554661796774069
FGF9,SOX9,0.08641855075362728
FGF9,SRY,0.0016777696318702174
FGF9,UGR,0.027478084880911826
FGF9,WNT4,0.08612502914721792
FGF9,WT1mKTS,0.028854042781770894
FGF9,WT1pKTS,0.03735034237842607
FOXL2,AMH,0.01290220720871399
FOXL2,CBX2,0.021335519218337692
FOXL2,CTNNB1,0.036108457132944465
FOXL2,DHH,0.020664008098250117
FOXL2,DKK1,0.04195430057191155
FOXL2,DMRT1,0.017951204052864773
FOXL2,FGF9,0.005729138185933632
FOXL2,GATA4,0.0019414796807116757
FOXL2,NR0B1,0.13405565811322767
FOXL2,NR5A1,0.03030425681819659
FOXL2,PGD2,0.04692861257120431
FOXL2,RSPO1,0.07038885711268772
FOXL2,SOX9,0.038912594898606566
FOXL2,SRY,0.07653316445949532
FOXL2,UGR,0.03400015896951661
FOXL2,WNT4,0.052311059500964374
FOXL2,WT1mKTS,0.15413691293478296
FOXL2,WT1pKTS,0.20384241047165
GATA4,AMH,0.04176143962452585
GATA4,CBX2,0.08225333197987547
GATA4,CTNNB1,0.07038385580711767
GATA4,DHH,0.055565565071541964
GATA4,DKK1,0.069250360784347
GATA4,DMRT1,0.023724420167157634
GATA4,FGF9,0.018243700017680147
GATA4,FOXL2,0.046539224327020616
GATA4,NR0B1,0.1115834698324426
GATA4,NR5A1,0.0063377136377513795
GATA4,PGD2,0.06704720760488356
GATA4,RSPO1,0.06409796767162915
GATA4,SOX9,0.07386849865319256
GATA4,SRY,0.06369852097289672
GATA4,UGR,0.017901359756987555
GATA4,WNT4,0.0737252669562041
