Gene1	Gene2	EdgeWeight
PGD2	FGF9	0.0105566447600722
FOXL2	CTNNB1	0.0105531811714172
AMH	FGF9	0.0105488682165741
AMH	PGD2	0.010541527532041
DKK1	SOX9	0.0105383545160293
FGF9	DHH	0.0105332406237721
DHH	PGD2	0.0105298934504389
SOX9	DHH	0.0105286287143826
WNT4	RSPO1	0.0105176474899053
SOX9	DMRT1	0.0105115910992026
DMRT1	PGD2	0.0105043537914752
SRY	WT1pKTS	0.0105037875473499
NR5A1	FGF9	0.0105022378265857
FGF9	PGD2	0.0104997418820858
DKK1	DMRT1	0.0104990983381867
PGD2	SOX9	0.0104924077168107
DKK1	AMH	0.0104917408898472
PGD2	AMH	0.0104907350614666
FGF9	NR5A1	0.0104877203702926
DKK1	FGF9	0.0104865869507193
FOXL2	WNT4	0.0104801943525671
DHH	DKK1	0.0104784332215785
FOXL2	RSPO1	0.0104781910777091
AMH	SOX9	0.0104780653491616
WT1pKTS	SRY	0.0104766320437192
CBX2	UGR	0.0104728229343891
RSPO1	CTNNB1	0.0104723051190376
NR5A1	DHH	0.0104661490768194
FGF9	AMH	0.0104656890034675
DMRT1	DKK1	0.0104641374200582
SOX9	SRY	0.0104616926982998
FGF9	SOX9	0.0104609904810786
DHH	FGF9	0.0104591799899935
DMRT1	WT1pKTS	0.0104588139802217
FGF9	DMRT1	0.0104586156085133
SRY	DMRT1	0.010458025150000999
SOX9	AMH	0.0104579487815499
SOX9	PGD2	0.0104552451521158
WT1pKTS	SOX9	0.0104545531794428
SOX9	WT1pKTS	0.0104543445631861
NR0B1	RSPO1	0.0104481494054198
UGR	CBX2	0.0104448003694415
DHH	WT1pKTS	0.0104440608993172
AMH	DKK1	0.0104431901127099
NR5A1	PGD2	0.0104422308504581
DHH	AMH	0.0104409409686923
SRY	PGD2	0.010439877398312
WT1pKTS	DKK1	0.0104378620162606
PGD2	WT1pKTS	0.0104376366361975
DKK1	DHH	0.0104370741173625
RSPO1	WNT4	0.0104370126500725
NR0B1	WNT4	0.0104368152096867
FGF9	DKK1	0.0104359406977891
NR5A1	DKK1	0.0104348184540867
AMH	DMRT1	0.0104344692081213
FGF9	SRY	0.0104317665100097
AMH	NR5A1	0.0104312384501099
AMH	DHH	0.010430765338241998
PGD2	DMRT1	0.0104293739423155
DMRT1	DHH	0.0104272775352001
NR0B1	FOXL2	0.0104235196486115
DMRT1	SRY	0.0104221636429429
DKK1	SRY	0.0104212397709488
SRY	DHH	0.0104186311364173
SOX9	FGF9	0.0104163847863674
WT1pKTS	NR5A1	0.0104130879044532
CBX2	NR5A1	0.0104095684364438
WT1pKTS	DMRT1	0.010407312773168
WT1pKTS	CBX2	0.0104068676009774
DHH	SRY	0.0104050887748599
DHH	SOX9	0.0104035139083862
PGD2	DHH	0.0104017052799463
NR0B1	GATA4	0.0104010393843054
WT1pKTS	AMH	0.0103999283164739
GATA4	FOXL2	0.0103996824473142
AMH	SRY	0.0103980917483568
SRY	DKK1	0.0103961350396275
CTNNB1	FOXL2	0.0103948591277003
NR5A1	UGR	0.0103902863338589
WNT4	CTNNB1	0.0103892367333173
CTNNB1	RSPO1	0.0103885233402252
NR5A1	AMH	0.0103880139067769
NR5A1	DMRT1	0.010387672111392
RSPO1	NR0B1	0.0103849563747644
CTNNB1	WNT4	0.0103833135217428
DKK1	NR5A1	0.010382518172264
WT1mKTS	CBX2	0.0103817414492368
FGF9	WT1pKTS	0.010379709303379
DKK1	PGD2	0.0103787761181592
SOX9	NR5A1	0.0103776911273598
DMRT1	AMH	0.0103761637583374
WT1mKTS	CTNNB1	0.0103742824867367
WNT4	NR0B1	0.0103735905140638
CBX2	WT1pKTS	0.0103722428902983
WT1mKTS	WT1pKTS	0.010371851734816999
NR5A1	SOX9	0.0103712938725948
GATA4	WT1mKTS	0.010371065698564
DMRT1	SOX9	0.0103702032938599
WT1mKTS	AMH	0.0103683117777109
SRY	NR5A1	0.0103681404143571
CBX2	WT1mKTS	0.0103677147999405
DHH	WT1mKTS	0.0103669436648488
AMH	GATA4	0.010366179049015
GATA4	FGF9	0.010364705696702
WT1mKTS	WNT4	0.0103644374758005
NR0B1	WT1mKTS	0.0103635750710964
DMRT1	GATA4	0.0103625329211354
PGD2	SRY	0.0103621445596218
RSPO1	WT1mKTS	0.0103609366342425
GATA4	NR0B1	0.0103581137955188
CTNNB1	NR0B1	0.0103564439341425
SOX9	DKK1	0.0103557361289858
SRY	NR0B1	0.0103547992184758
SRY	GATA4	0.0103547805920243
RSPO1	FOXL2	0.0103543447330594
GATA4	CBX2	0.0103530874475836
RSPO1	GATA4	0.0103516867384314
GATA4	RSPO1	0.0103515023365616
UGR	NR5A1	0.01035145111382
WT1pKTS	WT1mKTS	0.010348523966968
DMRT1	NR5A1	0.0103481756523251
WT1mKTS	SRY	0.0103477397933602
FOXL2	NR0B1	0.0103458194062113
DMRT1	FGF9	0.0103427628055214
DHH	DMRT1	0.0103424275293946
PGD2	DKK1	0.0103422757238149
NR0B1	CTNNB1	0.0103409113362431
PGD2	GATA4	0.0103406645357608
GATA4	SRY	0.0103390840813517
SOX9	GATA4	0.010338531807065001
GATA4	DHH	0.0103381313383579
NR0B1	DKK1	0.010337614454329002
WT1mKTS	FOXL2	0.0103361802175641
NR5A1	WT1pKTS	0.010335212573409
SRY	SOX9	0.0103348353877663
CTNNB1	GATA4	0.0103344274684786
PGD2	NR5A1	0.0103335473686456
WT1pKTS	NR0B1	0.0103331161662936
WT1mKTS	RSPO1	0.0103327333927154
FGF9	WT1mKTS	0.0103313187137246
FOXL2	WT1mKTS	0.0103305159136652
UGR	FOXL2	0.0103302998468279
UGR	WNT4	0.0103299217298626
AMH	WT1mKTS	0.0103295920416712
SRY	AMH	0.0103278551250696
CBX2	NR0B1	0.0103254783898592
CBX2	GATA4	0.0103251887485384
DHH	NR5A1	0.0103247696533799
SRY	WT1mKTS	0.0103247379884123
WT1mKTS	UGR	0.010323760099709001
WT1mKTS	DKK1	0.0103230345994234
DKK1	WT1pKTS	0.0103221284225583
RSPO1	CBX2	0.0103216171264648
FGF9	GATA4	0.0103186685591936
SOX9	FOXL2	0.0103164613246917
WNT4	FOXL2	0.0103140128776431
DKK1	WT1mKTS	0.0103133376687765
PGD2	CBX2	0.0103129232302308
SRY	FGF9	0.0103129083290696
SRY	CBX2	0.0103104207664728
GATA4	UGR	0.0103089651092886
FOXL2	DKK1	0.0103073688223958
WT1mKTS	DHH	0.0103062642738223
NR5A1	CBX2	0.0103056384250521
WNT4	CBX2	0.0103022065013647
GATA4	CTNNB1	0.0103006940335035
CBX2	WNT4	0.010300581343472
FGF9	CTNNB1	0.0102981692180037
NR5A1	GATA4	0.0102979000657796
WT1mKTS	NR0B1	0.0102954776957631
NR5A1	WT1mKTS	0.0102951321750879
FOXL2	GATA4	0.0102934269234538
UGR	RSPO1	0.0102914171293377
UGR	AMH	0.0102908452972769
NR5A1	WNT4	0.0102896187454462
CTNNB1	DKK1	0.0102893551811575
DHH	CTNNB1	0.0102887824177742
GATA4	NR5A1	0.0102887703105807
RSPO1	PGD2	0.0102886641398072
FOXL2	AMH	0.0102880587801337
WT1pKTS	WNT4	0.010286908596754
WT1pKTS	PGD2	0.0102859819307923
GATA4	DKK1	0.010282440111041
RSPO1	DHH	0.0102815451100468
NR5A1	SRY	0.0102813467383384
DKK1	RSPO1	0.0102809676900506
DHH	CBX2	0.0102806584909558
PGD2	RSPO1	0.0102806063368916
GATA4	DMRT1	0.0102801918983459
PGD2	WT1mKTS	0.0102755520492792
WT1mKTS	SOX9	0.0102742901071906
UGR	SRY	0.0102742426097393
AMH	RSPO1	0.0102734575048089
GATA4	WT1pKTS	0.0102729238569736
CBX2	FGF9	0.0102712037041783
DHH	FOXL2	0.0102707613259553
WT1mKTS	DMRT1	0.0102693196386098
DMRT1	WNT4	0.0102668525651097
FOXL2	SRY	0.0102666411548852
WT1mKTS	GATA4	0.0102663915604352
CBX2	CTNNB1	0.0102640008553862
WT1pKTS	DHH	0.0102638406679034
WNT4	DKK1	0.0102638024836778
CTNNB1	PGD2	0.0102630546316504
CTNNB1	UGR	0.0102627845481038
UGR	PGD2	0.0102609144523739
PGD2	CTNNB1	0.0102608939632773
AMH	WT1pKTS	0.0102602383121848
UGR	NR0B1	0.0102587258443236
NR0B1	SRY	0.0102576976642012
DMRT1	WT1mKTS	0.0102574583142995
WT1pKTS	GATA4	0.0102572720497846
UGR	FGF9	0.010257177054882
RSPO1	UGR	0.0102571668103337
DKK1	UGR	0.0102570727467536
WT1pKTS	FGF9	0.0102562690153718
SOX9	WT1mKTS	0.0102558517828583
SRY	WNT4	0.0102549828588962
UGR	DHH	0.0102529600262641
WNT4	DMRT1	0.0102517353370785
SOX9	RSPO1	0.01025150436908
GATA4	SOX9	0.010251497849822
NR0B1	SOX9	0.0102514307945966
CTNNB1	WT1mKTS	0.0102494098246097
WNT4	WT1pKTS	0.0102482549846172
FOXL2	WT1pKTS	0.0102469688281416
SRY	CTNNB1	0.0102454209700226
GATA4	PGD2	0.0102453082799911
RSPO1	NR5A1	0.0102447746321558
CBX2	RSPO1	0.010243740864098
SOX9	WNT4	0.0102433320134878
WNT4	WT1mKTS	0.0102421604096889
RSPO1	DKK1	0.0102412896230816
UGR	WT1pKTS	0.0102409860119223
SRY	FOXL2	0.010240152478218
UGR	SOX9	0.0102392090484499
WNT4	UGR	0.0102380234748125
WT1mKTS	FGF9	0.010237842798233
GATA4	AMH	0.0102370977401733
CBX2	AMH	0.0102328453212976
WNT4	GATA4	0.0102313868701457
GATA4	WNT4	0.0102307191118597
FOXL2	PGD2	0.0102281793951988
CTNNB1	AMH	0.0102273589000105
FOXL2	DHH	0.0102256862446665
SRY	RSPO1	0.0102250548079609
CBX2	DMRT1	0.0102245528250932
UGR	CTNNB1	0.0102241821587085
DHH	RSPO1	0.0102233840152621
WT1pKTS	UGR	0.0102222822606563
WNT4	AMH	0.0102215642109513
CTNNB1	DHH	0.0102207958698272
