Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.993703067302704
CTNNB1	FOXL2	0.9882565140724182
WNT4	RSPO1	0.984003245830536
SOX9	FOXL2	0.9832118153572084
SOX9	RSPO1	0.981715738773346
WNT4	FOXL2	0.9813585877418518
WT1mKTS	FOXL2	0.9790399074554444
SOX9	FGF9	0.9751505851745604
WT1mKTS	RSPO1	0.9729683399200441
CTNNB1	SOX9	0.9662916660308838
CTNNB1	AMH	0.9661973118782043
NR5A1	RSPO1	0.963913083076477
WT1mKTS	CBX2	0.962829887866974
CTNNB1	WNT4	0.9594352245330809
CTNNB1	WT1mKTS	0.9590851068496704
SOX9	CBX2	0.9581725597381592
WNT4	FGF9	0.9574190378189088
NR5A1	WT1mKTS	0.9572817087173462
CTNNB1	NR0B1	0.9572814702987672
UGR	WT1pKTS	0.9564852714538574
NR5A1	FOXL2	0.9557855725288392
WT1mKTS	NR0B1	0.9551905989646912
WT1mKTS	NR5A1	0.9540790915489196
WT1mKTS	AMH	0.9527814388275146
SOX9	NR0B1	0.9506794214248656
CTNNB1	CBX2	0.9497014284133912
NR5A1	SOX9	0.9496495723724364
CTNNB1	SRY	0.9484502673149108
CTNNB1	WT1pKTS	0.9459847807884216
NR5A1	WNT4	0.9458113312721252
WNT4	CBX2	0.9451297521591188
NR5A1	WT1pKTS	0.9431718587875366
SOX9	AMH	0.9418397545814514
WNT4	NR0B1	0.9405401349067688
CTNNB1	NR5A1	0.9401243925094604
SOX9	NR5A1	0.9399197697639464
WT1mKTS	WT1pKTS	0.9379176497459412
WNT4	AMH	0.9362766146659852
NR5A1	SRY	0.935693860054016
UGR	SRY	0.9335048198699952
NR5A1	AMH	0.9315951466560364
WT1mKTS	FGF9	0.9302528500556946
WT1mKTS	SOX9	0.9294949173927308
SOX9	WNT4	0.9277503490447998
WNT4	SOX9	0.9269170761108398
WT1mKTS	WNT4	0.9241743683815002
WNT4	NR5A1	0.921556293964386
UGR	WT1mKTS	0.9178845882415771
NR5A1	CBX2	0.9144245386123656
NR5A1	NR0B1	0.9127035140991212
WT1mKTS	SRY	0.91078382730484
UGR	NR5A1	0.9091677665710448
