Gene1	Gene2	EdgeWeight
DMRT1	DKK1	7701.46533203125
SOX9	DHH	6573.4892578125
SOX9	PGD2	6573.4892578125
PGD2	FGF9	6194.345703125
FGF9	DHH	6194.00390625
PGD2	DHH	6072.88818359375
AMH	PGD2	6072.88818359375
DKK1	DMRT1	5954.140625
FGF9	PGD2	5953.48291015625
AMH	DHH	5837.0703125
SOX9	FGF9	5610.41015625
DHH	FGF9	5500.09814453125
DHH	PGD2	5500.09814453125
NR0B1	AMH	5182.865234375
NR0B1	WNT4	4423.52587890625
SRY	DMRT1	4168.6171875
RSPO1	CTNNB1	4168.38720703125
SRY	DKK1	4006.744873046875
NR5A1	RSPO1	3928.398193359375
AMH	FGF9	3928.18115234375
SOX9	DMRT1	3851.157958984375
RSPO1	WNT4	3850.9453125
WNT4	RSPO1	3775.4365234375
PGD2	AMH	3701.61279296875
DHH	AMH	3557.67822265625
RSPO1	NR5A1	3352.479736328125
CTNNB1	FOXL2	3222.298828125
SOX9	DKK1	3159.291015625
NR0B1	PGD2	2696.275390625
NR0B1	FGF9	2696.275390625
CBX2	UGR	2643.55322265625
NR0B1	DHH	2643.4072265625
WNT4	NR0B1	2643.4072265625
WT1pKTS	FOXL2	2643.4072265625
FGF9	AMH	2540.760498046875
CBX2	DKK1	2491.079345703125
WNT4	SOX9	2490.941650390625
CBX2	DMRT1	2442.234619140625
FOXL2	CTNNB1	2301.372314453125
FOXL2	WT1pKTS	2301.372314453125
CTNNB1	RSPO1	2256.122802734375
SOX9	WNT4	2126.1123046875
NR0B1	UGR	2043.4398193359373
NR5A1	NR0B1	1814.716552734375
SRY	UGR	1548.757568359375
SRY	FOXL2	1488.617431640625
UGR	CBX2	1488.53515625
WNT4	DMRT1	1430.7335205078125
WNT4	DKK1	1375.1763916015625
SOX9	NR5A1	1348.28662109375
NR5A1	SOX9	1296.0025634765625
UGR	SRY	1150.6861572265625
CBX2	WT1pKTS	1063.1148681640625
NR5A1	WT1pKTS	821.8677368164062
CBX2	NR5A1	759.23681640625
DMRT1	SRY	759.1948852539062
NR5A1	CBX2	729.7949829101562
UGR	NR0B1	701.3787231445312
CBX2	SOX9	660.9613037109375
SOX9	CBX2	598.6530151367188
CTNNB1	DKK1	575.3748168945312
DKK1	SRY	531.6161499023438
UGR	WNT4	531.5574340820312
SRY	CTNNB1	510.9446105957031
DMRT1	SOX9	387.2107543945313
CBX2	CTNNB1	364.8974914550781
NR5A1	DHH	324.03643798828125
WT1pKTS	CTNNB1	271.1092529296875
WNT4	UGR	265.7933959960937
WNT4	CBX2	260.5817565917969
DKK1	SOX9	240.7638397216797
UGR	GATA4	213.76779174804688
SOX9	AMH	197.49929809570312
SOX9	UGR	197.49929809570312
RSPO1	CBX2	186.0977325439453
WT1pKTS	NR5A1	178.87132263183594
PGD2	SOX9	171.93502807617188
CBX2	DHH	143.86753845214844
WT1pKTS	GATA4	138.27334594726562
AMH	NR0B1	113.4385757446289
WT1pKTS	WT1mKTS	109.02759552001952
DMRT1	CBX2	98.74964904785156
CTNNB1	UGR	93.0540008544922
DMRT1	WNT4	84.28187561035156
NR0B1	WT1mKTS	77.8634262084961
DKK1	CBX2	74.84815979003906
NR5A1	DKK1	73.38055419921875
NR5A1	DMRT1	73.38055419921875
UGR	CTNNB1	66.4556884765625
RSPO1	DKK1	65.15263366699219
NR5A1	GATA4	61.40156173706055
GATA4	UGR	61.394779205322266
FOXL2	RSPO1	57.85686874389648
CBX2	WNT4	54.51981735229492
GATA4	WT1mKTS	46.529571533203125
NR5A1	WT1mKTS	45.62226486206055
NR0B1	SRY	45.617225646972656
NR5A1	FOXL2	44.72771072387695
WT1mKTS	GATA4	44.725242614746094
DKK1	WNT4	42.99087905883789
WT1mKTS	UGR	42.98850631713867
WT1pKTS	CBX2	42.98612976074219
DKK1	CTNNB1	37.4261474609375
UGR	RSPO1	35.9688720703125
UGR	FOXL2	34.5721549987793
RSPO1	DMRT1	34.5721549987793
NR5A1	CTNNB1	32.58171463012695
NR0B1	CBX2	30.699085235595703
CBX2	WT1mKTS	28.362775802612305
WNT4	SRY	27.80510711669922
NR5A1	WNT4	23.73401260375977
WT1pKTS	UGR	21.494253158569336
AMH	UGR	20.66074562072754
FGF9	NR0B1	20.65960502624512
FOXL2	WNT4	19.85846328735352
CTNNB1	NR5A1	18.71203994750977
CBX2	FOXL2	17.633747100830078
AMH	SOX9	17.287986755371094
DHH	NR0B1	17.287033081054688
DMRT1	CTNNB1	16.94807243347168
FOXL2	SRY	16.616674423217773
NR5A1	SRY	15.659128189086914
NR5A1	PGD2	15.659128189086914
WNT4	NR5A1	15.657398223876951
AMH	DKK1	15.050233840942385
RSPO1	SOX9	14.465015411376951
UGR	SOX9	14.181387901306152
CTNNB1	DMRT1	13.363438606262209
DHH	UGR	13.101410865783691
FOXL2	UGR	12.845229148864746
WT1mKTS	WT1pKTS	12.845229148864746
WT1pKTS	SOX9	12.345751762390137
DKK1	UGR	11.867661476135254
FGF9	DKK1	11.405566215515137
PGD2	NR0B1	11.18254566192627
SRY	WNT4	11.18254566192627
SOX9	CTNNB1	10.963279724121094
RSPO1	AMH	10.962674140930176
UGR	DHH	10.747719764709473
DHH	DKK1	10.747719764709473
DKK1	RSPO1	10.5381441116333
AMH	CBX2	10.537562370300291
CBX2	SRY	10.537562370300291
NR0B1	GATA4	10.536980628967283
SRY	FGF9	10.128376007080078
AMH	FOXL2	10.128376007080078
DHH	RSPO1	10.127816200256348
RSPO1	NR0B1	10.127816200256348
PGD2	UGR	9.929780006408691
RSPO1	UGR	9.734540939331056
WNT4	PGD2	9.734540939331056
DHH	WNT4	9.734540939331056
GATA4	CBX2	9.734540939331056
FOXL2	CBX2	9.544194221496582
SRY	PGD2	9.544194221496582
UGR	DKK1	9.543667793273926
DKK1	AMH	9.35757064819336
FGF9	DMRT1	9.356536865234377
CTNNB1	PGD2	9.356536865234377
WT1pKTS	AMH	9.356536865234377
DKK1	DHH	9.17408847808838
SOX9	RSPO1	9.173582077026367
CBX2	RSPO1	9.173582077026367
UGR	FGF9	9.173075675964355
WNT4	FOXL2	9.173075675964355
DKK1	PGD2	8.9942045211792
DKK1	NR5A1	8.9942045211792
AMH	CTNNB1	8.993707656860352
NR0B1	CTNNB1	8.993210792541504
CTNNB1	SOX9	8.993210792541504
AMH	RSPO1	8.817360877990723
SRY	DHH	8.817360877990723
SRY	SOX9	8.644471168518066
SRY	CBX2	8.644471168518066
RSPO1	FOXL2	8.643993377685547
WT1pKTS	PGD2	8.643993377685547
SRY	RSPO1	8.474971771240234
SRY	NR0B1	8.474971771240234
AMH	SRY	8.474971771240234
SRY	AMH	8.474971771240234
WT1pKTS	DHH	8.474503517150879
NR5A1	UGR	8.30925464630127
WT1mKTS	CBX2	8.308795928955078
WT1mKTS	RSPO1	8.308795928955078
AMH	DMRT1	8.308795928955078
CTNNB1	WNT4	8.308337211608887
RSPO1	PGD2	8.308337211608887
NR5A1	FGF9	8.14632797241211
SRY	NR5A1	8.145877838134766
DKK1	FOXL2	7.829996109008789
WT1mKTS	WNT4	7.829564094543457
PGD2	CTNNB1	7.829564094543457
DMRT1	PGD2	7.829131603240967
WT1pKTS	SRY	7.829131603240967
CTNNB1	CBX2	7.829131603240967
DKK1	NR0B1	7.676466941833496
CBX2	NR0B1	7.676043033599853
AMH	NR5A1	7.676043033599853
SRY	GATA4	7.676043033599853
WT1pKTS	FGF9	7.675619125366211
GATA4	FOXL2	7.675619125366211
NR0B1	DMRT1	7.675619125366211
RSPO1	FGF9	7.525116920471191
WT1pKTS	DKK1	7.525116920471191
DMRT1	RSPO1	7.525116920471191
AMH	WNT4	7.377973079681396
DHH	NR5A1	7.232907295227051
PGD2	DMRT1	7.091477394104004
SOX9	FOXL2	7.091477394104004
WT1pKTS	NR0B1	7.091085433959961
CTNNB1	GATA4	7.091085433959961
GATA4	AMH	7.091085433959961
GATA4	FGF9	7.091085433959961
GATA4	CTNNB1	7.091085433959961
GATA4	SRY	7.091085433959961
UGR	NR5A1	7.091085433959961
DKK1	FGF9	6.952812671661377
PGD2	CBX2	6.952428817749023
RSPO1	WT1pKTS	6.95204496383667
GATA4	PGD2	6.95204496383667
NR0B1	DKK1	6.95204496383667
NR5A1	AMH	6.816483020782471
DKK1	WT1mKTS	6.816483020782471
RSPO1	DHH	6.815730094909668
UGR	AMH	6.815730094909668
DKK1	WT1pKTS	6.682826519012451
WT1mKTS	NR0B1	6.682457447052002
PGD2	FOXL2	6.682457447052002
WT1pKTS	WNT4	6.682088375091553
UGR	DMRT1	6.682088375091553
GATA4	RSPO1	6.682088375091553
AMH	WT1pKTS	6.55142879486084
WT1mKTS	SRY	6.55142879486084
SRY	WT1pKTS	6.55142879486084
GATA4	DMRT1	6.551066875457764
GATA4	DKK1	6.551066875457764
GATA4	DHH	6.551066875457764
GATA4	WT1pKTS	6.551066875457764
WNT4	WT1pKTS	6.551066875457764
SRY	WT1mKTS	6.422969341278076
FOXL2	FGF9	6.422969341278076
DMRT1	AMH	6.422614574432373
WT1mKTS	CTNNB1	6.2970290184021
DHH	CTNNB1	6.296680927276611
DHH	FOXL2	6.296680927276611
WNT4	AMH	6.296680927276611
CTNNB1	SRY	6.296680927276611
DKK1	GATA4	6.173898696899414
PGD2	WT1pKTS	6.173557758331299
PGD2	DKK1	6.173557758331299
GATA4	WNT4	6.173216819763184
RSPO1	SRY	6.173216819763184
DMRT1	FOXL2	6.173216819763184
DMRT1	UGR	6.173216819763184
UGR	PGD2	6.173216819763184
DMRT1	NR5A1	6.173216819763184
FOXL2	SOX9	6.052507400512695
AMH	GATA4	6.052507400512695
PGD2	WNT4	6.052507400512695
PGD2	NR5A1	6.052507400512695
WNT4	CTNNB1	6.052173137664795
CTNNB1	FGF9	6.052173137664795
SOX9	NR0B1	5.933830738067627
FGF9	WNT4	5.933503150939941
FGF9	FOXL2	5.933503150939941
NR0B1	NR5A1	5.933503150939941
DMRT1	NR0B1	5.933503150939941
PGD2	RSPO1	5.817481517791748
FOXL2	DHH	5.817481517791748
FOXL2	NR0B1	5.817481517791748
SOX9	SRY	5.817481517791748
FGF9	RSPO1	5.817160129547119
FGF9	SOX9	5.817160129547119
FGF9	SRY	5.817160129547119
CBX2	PGD2	5.703413009643555
FGF9	CTNNB1	5.703098297119141
WNT4	DHH	5.703098297119141
GATA4	NR5A1	5.703098297119141
CBX2	GATA4	5.591581344604492
SOX9	GATA4	5.591581344604492
GATA4	NR0B1	5.591272830963135
DHH	DMRT1	5.591272830963135
GATA4	SOX9	5.591272830963135
UGR	WT1pKTS	5.591272830963135
FGF9	UGR	5.591272830963135
CBX2	FGF9	5.481942653656006
SOX9	WT1pKTS	5.481942653656006
AMH	WT1mKTS	5.481942653656006
FGF9	CBX2	5.481639862060547
FOXL2	PGD2	5.374453544616699
PGD2	GATA4	5.374453544616699
DMRT1	WT1pKTS	5.374156475067139
DMRT1	GATA4	5.374156475067139
CTNNB1	DHH	5.374156475067139
CTNNB1	NR0B1	5.374156475067139
CBX2	AMH	5.26907205581665
WT1mKTS	DHH	5.26907205581665
DMRT1	WT1mKTS	5.2687811851501465
FGF9	WT1pKTS	5.2687811851501465
DMRT1	FGF9	5.2687811851501465
WNT4	FGF9	5.2687811851501465
PGD2	WT1mKTS	5.165756702423096
SOX9	WT1mKTS	5.064467430114746
WT1mKTS	FGF9	5.064467430114746
DHH	SOX9	5.064188003540039
WNT4	GATA4	5.064188003540039
WNT4	WT1mKTS	5.064188003540039
NR0B1	WT1pKTS	5.064188003540039
DMRT1	DHH	4.964890003204346
WT1mKTS	DKK1	4.8678083419799805
FOXL2	AMH	4.8678083419799805
WT1mKTS	SOX9	4.8678083419799805
WT1mKTS	DMRT1	4.8678083419799805
FGF9	NR5A1	4.867539405822754
CTNNB1	AMH	4.867539405822754
DHH	SRY	4.867539405822754
WT1mKTS	FOXL2	4.772360801696777
WT1mKTS	PGD2	4.772360801696777
DHH	WT1pKTS	4.772097110748291
FGF9	WT1mKTS	4.678526878356934
NR0B1	SOX9	4.678526878356934
CTNNB1	WT1mKTS	4.678526878356934
DHH	CBX2	4.678526878356934
CTNNB1	WT1pKTS	4.678526878356934
WT1mKTS	AMH	4.5870442390441895
PGD2	SRY	4.5870442390441895
FOXL2	DMRT1	4.5870442390441895
WT1pKTS	DMRT1	4.586791038513184
NR0B1	RSPO1	4.586791038513184
NR0B1	FOXL2	4.496853828430176
FOXL2	NR5A1	4.408923625946045
WT1mKTS	NR5A1	4.322474479675293
RSPO1	WT1mKTS	4.322235584259033
WT1pKTS	RSPO1	4.237485885620117
DHH	WT1mKTS	4.072938919067383
FOXL2	DKK1	3.993298053741455
RSPO1	GATA4	3.914782047271729
FOXL2	GATA4	3.838233470916748
FOXL2	WT1mKTS	3.7629740238189697
DHH	GATA4	3.545738697052002
FGF9	GATA4	3.0867788791656494
UGR	WT1mKTS	2.634536027908325
