Gene1	Gene2	EdgeWeight
FGF9	AMH	0.3438738653388805
DKK1	DMRT1	0.32102628615756
AMH	PGD2	0.22369209893730155
AMH	FGF9	0.2060116950689979
DHH	FGF9	0.20536637327249907
DMRT1	DKK1	0.2012517537677664
UGR	NR0B1	0.19518462110583187
SRY	UGR	0.18980100660447524
WNT4	RSPO1	0.17576723487276344
CBX2	DMRT1	0.1753364283931147
CBX2	NR5A1	0.17482912491695038
FOXL2	WT1pKTS	0.17459969336214198
RSPO1	WNT4	0.16484679195418275
UGR	SRY	0.16316004029609274
UGR	SOX9	0.1609197768699787
DHH	NR0B1	0.1589425397412575
SOX9	DKK1	0.15724255750112978
SOX9	NR0B1	0.15021834213808558
NR0B1	AMH	0.14500152882900236
NR5A1	FOXL2	0.1324391961055575
NR0B1	UGR	0.1312553553732655
DKK1	GATA4	0.13117302761536326
FOXL2	GATA4	0.12862071432533248
PGD2	SOX9	0.12437693344885956
NR5A1	SOX9	0.1236527334098416
DKK1	CTNNB1	0.12101336613055967
PGD2	FGF9	0.1192519281294966
NR5A1	RSPO1	0.11884717517765522
DMRT1	FOXL2	0.1186030497199685
RSPO1	NR5A1	0.1177957249976708
PGD2	DHH	0.11661262298353085
PGD2	AMH	0.1162627379831952
DHH	PGD2	0.11570612903280288
FGF9	WT1mKTS	0.115584089809981
FOXL2	SRY	0.11397526677067828
NR5A1	CBX2	0.11379948425655488
GATA4	NR0B1	0.1134971659015154
NR0B1	PGD2	0.1124256158640739
GATA4	FGF9	0.11161589691612928
WT1mKTS	NR0B1	0.1106010386848363
DHH	AMH	0.1067327768026106
WT1pKTS	SOX9	0.10606898429470372
GATA4	CTNNB1	0.105658639692348
RSPO1	CTNNB1	0.10523601791751072
CTNNB1	RSPO1	0.10488247881696494
RSPO1	DKK1	0.10293302817249532
SRY	NR0B1	0.10233233062608336
CTNNB1	DHH	0.10186713367042964
DKK1	FOXL2	0.1004297042255359
WNT4	SOX9	0.09912092449616176
PGD2	DKK1	0.09809289015284912
NR0B1	GATA4	0.09712706077860517
DMRT1	UGR	0.09596559570299086
CBX2	RSPO1	0.0951416470619576
GATA4	PGD2	0.09419310654046843
WNT4	UGR	0.0935033496391844
WT1mKTS	DHH	0.09128401034134227
SRY	FOXL2	0.09117965223661208
FOXL2	NR5A1	0.0911549446984158
WNT4	CTNNB1	0.09109890751587067
SOX9	FGF9	0.09040746879778236
WT1pKTS	FOXL2	0.09004749656741212
WT1mKTS	PGD2	0.08782778055182187
WT1pKTS	CBX2	0.08645972786352579
CTNNB1	SOX9	0.08537179035735151
UGR	DKK1	0.08422022649585421
CTNNB1	SRY	0.0841733424685093
SOX9	PGD2	0.08412981312538666
WT1pKTS	DKK1	0.08350553528691612
WT1pKTS	AMH	0.08315446813911306
WT1pKTS	NR0B1	0.08280310149751627
SOX9	NR5A1	0.0798461175967183
GATA4	DHH	0.07960056068929007
FGF9	CTNNB1	0.0786964321852058
CBX2	AMH	0.0764337705822108
NR0B1	WNT4	0.07542916725226853
AMH	CTNNB1	0.0747534582604822
SOX9	WNT4	0.07451002161700546
CTNNB1	WT1pKTS	0.07442921789392345
FGF9	PGD2	0.07433098849485127
DMRT1	FGF9	0.07418409809278073
WT1mKTS	DKK1	0.07416355105220591
WNT4	NR0B1	0.0736240251472518
DMRT1	CBX2	0.0736240143130025
WT1mKTS	CBX2	0.07318216625221384
NR5A1	NR0B1	0.07312505351141828
FOXL2	CTNNB1	0.07295132751918207
CTNNB1	UGR	0.07279291059106653
RSPO1	FOXL2	0.07174049734811885
WT1mKTS	SOX9	0.07138625835614626
WNT4	AMH	0.07107330727944099
GATA4	WT1pKTS	0.07032103195252103
WT1pKTS	GATA4	0.07025640177749723
SRY	CTNNB1	0.0700212106057407
CTNNB1	DKK1	0.06972181089742545
PGD2	NR0B1	0.06913983727920407
GATA4	WT1mKTS	0.06904873503532488
RSPO1	SOX9	0.06797462555865222
CTNNB1	GATA4	0.06793353890257509
FOXL2	AMH	0.06759229662362258
RSPO1	SRY	0.06758720378297615
NR0B1	FOXL2	0.06735887284751302
SRY	DKK1	0.06571050562916875
NR0B1	RSPO1	0.06554023082775975
DKK1	AMH	0.06517694362713296
SRY	AMH	0.06517480832118319
DMRT1	AMH	0.06439827571710759
CBX2	DKK1	0.06430686555204618
WT1mKTS	RSPO1	0.0642871086931368
DMRT1	CTNNB1	0.06396868278731094
FOXL2	DKK1	0.06335017800609448
UGR	WNT4	0.06272055731875628
CTNNB1	FOXL2	0.06243814758936519
SRY	RSPO1	0.0623790913923261
PGD2	RSPO1	0.06199785274055927
SOX9	RSPO1	0.0609417047505157
CBX2	SOX9	0.060215373468288085
WNT4	SRY	0.06009191869663642
CBX2	FGF9	0.05995352501781796
GATA4	DKK1	0.0598765791768155
NR5A1	FGF9	0.05965152723685554
DHH	WT1pKTS	0.05935660726511331
UGR	AMH	0.05926726961749738
CTNNB1	DMRT1	0.05906892492527192
PGD2	CBX2	0.05885152386107434
NR0B1	DKK1	0.0582273897971389
WT1mKTS	WT1pKTS	0.0580947051469236
RSPO1	DMRT1	0.05804377220444045
DMRT1	WT1mKTS	0.05747208884267545
SOX9	CBX2	0.05725201225981873
WT1pKTS	SRY	0.056877320496877375
WNT4	DMRT1	0.05674600110797042
CBX2	WT1pKTS	0.05637413668672101
NR0B1	DMRT1	0.0561576985414047
NR5A1	DMRT1	0.05606723315354308
AMH	WNT4	0.055382442198914715
CTNNB1	AMH	0.05482175349190278
FGF9	NR0B1	0.054809550566287515
DMRT1	NR0B1	0.05477057190848151
DKK1	SOX9	0.05475829060224677
SRY	FGF9	0.054724772684357104
SOX9	DMRT1	0.05463798058060987
RSPO1	NR0B1	0.05453641081359067
DMRT1	NR5A1	0.054530951091390806
FOXL2	WNT4	0.0544331027592714
CBX2	UGR	0.0542216058453409
SRY	DMRT1	0.05349664320847262
NR5A1	WT1mKTS	0.05280306601059415
AMH	WT1pKTS	0.05208617773812645
FGF9	SRY	0.05173466517485999
CBX2	CTNNB1	0.051660355327103384
WT1mKTS	DMRT1	0.05146935519384646
NR5A1	SRY	0.05087729948475333
FGF9	SOX9	0.050608087686211584
WT1mKTS	FGF9	0.050323884911607705
NR5A1	PGD2	0.0495069357575087
DHH	GATA4	0.049040239914317545
UGR	RSPO1	0.04881518556960972
WT1pKTS	PGD2	0.048217971984535
PGD2	WNT4	0.04703607797137475
SOX9	GATA4	0.046957181541149744
CTNNB1	FGF9	0.04669883380538258
WT1pKTS	NR5A1	0.046545619349042056
GATA4	UGR	0.04611112645886432
NR0B1	CBX2	0.045952116629578765
AMH	DKK1	0.04566198389829825
DHH	DKK1	0.04558196740799001
WT1mKTS	SRY	0.04534218822694
RSPO1	DHH	0.04503416662183831
FOXL2	WT1mKTS	0.044167548124408484
GATA4	RSPO1	0.04391935629215387
FOXL2	PGD2	0.043054143981203885
AMH	SRY	0.04294257336811586
WT1pKTS	CTNNB1	0.04279376607828108
PGD2	FOXL2	0.04276134699275812
SRY	WT1pKTS	0.042720972432720786
PGD2	CTNNB1	0.04204687204306675
UGR	DMRT1	0.04180351947885822
AMH	GATA4	0.04142185798563015
PGD2	DMRT1	0.041032908243919024
SRY	SOX9	0.040553254268597766
AMH	WT1mKTS	0.040498621054706585
WT1mKTS	FOXL2	0.040369944972580736
