Gene1,Gene2
WT1mKTS,NR5A1
UGR,GATA4
CTNNB1,WNT4
NR5A1,SOX9
WNT4,FGF9
FOXL2,DMRT1
WT1mKTS,NR0B1
SOX9,CTNNB1
SRY,DMRT1
WNT4,CTNNB1
WNT4,RSPO1
UGR,UGR
CBX2,NR5A1
SOX9,SRY
WNT4,FOXL2
NR5A1,AMH
UGR,CBX2
SOX9,FOXL2
NR0B1,NR5A1
SOX9,DMRT1
SOX9,SOX9
WT1mKTS,AMH
SOX9,NR0B1
GATA4,WNT4
GATA4,NR5A1
WNT4,SOX9
WNT4,UGR
CTNNB1,SOX9
SRY,SRY
CBX2,SRY
WNT4,WT1pKTS
GATA4,SRY
SRY,DKK1
NR5A1,GATA4
SOX9,FGF9
CTNNB1,RSPO1
SRY,GATA4
NR5A1,NR0B1
NR5A1,UGR
DMRT1,FOXL2
WNT4,CBX2
SOX9,AMH
NR0B1,WNT4
WT1pKTS,SRY
GATA4,WT1mKTS
NR0B1,CBX2
FGF9,WNT4
DKK1,RSPO1
CBX2,SOX9
RSPO1,WNT4
GATA4,SOX9
CTNNB1,FOXL2
WNT4,NR5A1
SOX9,DHH
GATA4,AMH
FOXL2,SOX9
CTNNB1,NR0B1
SRY,CTNNB1
CTNNB1,SRY
GATA4,WT1pKTS
WNT4,GATA4
UGR,WT1mKTS
RSPO1,CTNNB1
