TF	target	importance
DMRT1	DKK1	169.2454347400838
AMH	PGD2	139.84542774003
FOXL2	WT1pKTS	135.29917397190542
SOX9	DMRT1	134.45582153054175
DKK1	DMRT1	130.62293303239366
CTNNB1	RSPO1	123.35659242641513
UGR	CBX2	116.48636753761113
CBX2	UGR	113.36490311303555
RSPO1	WNT4	112.18954569410849
PGD2	FGF9	109.8333721957693
CTNNB1	FOXL2	109.4721287617668
WT1pKTS	FOXL2	106.30595998829442
NR5A1	RSPO1	106.29696458816203
CTNNB1	WT1pKTS	105.84531583859729
RSPO1	NR5A1	103.62390407855978
SOX9	WNT4	103.0735125551616
DHH	FGF9	102.66828509203279
SRY	DKK1	100.29228634846645
DHH	PGD2	98.66239052601712
PGD2	AMH	95.87267923092435
AMH	FGF9	91.80882608509287
WT1mKTS	GATA4	91.36041002912944
AMH	NR0B1	90.45264786450186
DMRT1	SRY	89.76633588860335
NR0B1	UGR	89.22923419378749
NR5A1	WT1pKTS	89.10910961956654
FGF9	DHH	87.81774445387049
DHH	AMH	87.7402803616177
WNT4	RSPO1	87.70207122859472
FOXL2	SRY	86.54688444699848
FGF9	AMH	84.65951586538533
WT1pKTS	NR5A1	84.47858506362788
FGF9	PGD2	81.74779362586453
CTNNB1	WNT4	79.09333110084297
DKK1	SRY	78.53974392442521
FGF9	SOX9	77.98250997791648
NR5A1	FOXL2	77.90296504208818
SOX9	AMH	75.59823862332165
FOXL2	CTNNB1	75.45740089410688
CTNNB1	SRY	75.43287662859768
SOX9	DHH	74.75298482431525
CTNNB1	NR5A1	74.36060725962375
WNT4	UGR	72.96523943289606
FOXL2	RSPO1	71.91051670809568
DHH	DKK1	70.95113458667707
GATA4	WT1mKTS	70.84855831373667
SRY	DMRT1	70.22481938248522
RSPO1	FOXL2	69.0410136463969
NR0B1	WNT4	68.87710259697023
SRY	CTNNB1	68.61444350277534
WNT4	NR5A1	68.60699048472912
SRY	FOXL2	68.08621681816552
SRY	UGR	67.84983269956663
RSPO1	CTNNB1	67.4986929028191
SRY	WT1pKTS	67.00578045971795
FOXL2	NR5A1	66.99856420053642
RSPO1	NR0B1	66.44939402429212
WNT4	NR0B1	65.93144104954227
CBX2	NR5A1	65.91140449742554
UGR	NR0B1	65.80497072415261
SOX9	PGD2	65.4942303540436
SOX9	DKK1	63.91152882574606
CTNNB1	DKK1	63.43699644378516
WT1pKTS	RSPO1	61.58072700065056
PGD2	DHH	61.091304219162794
WT1pKTS	CTNNB1	61.039033950776606
DKK1	FOXL2	60.43737922190307
RSPO1	WT1pKTS	59.722000415819764
DKK1	WNT4	59.2083714298524
WNT4	SOX9	58.98475027833733
FGF9	NR0B1	58.377504147100645
SOX9	FGF9	57.75773802935072
DHH	NR0B1	57.09830279056576
WNT4	CTNNB1	56.92687298140998
DKK1	WT1pKTS	56.46443171200378
RSPO1	CBX2	56.28084976397115
NR0B1	DHH	55.8077684128488
DMRT1	SOX9	55.791850606670614
RSPO1	UGR	55.77437981422996
CTNNB1	DMRT1	55.76997748883283
NR0B1	FGF9	55.040264238139024
PGD2	DMRT1	54.755705311247254
DKK1	FGF9	54.54070016677667
NR0B1	AMH	54.258408973448745
SOX9	CTNNB1	53.25851566919303
DMRT1	WNT4	53.04654911836512
DHH	SOX9	52.72864074112841
SOX9	SRY	52.719409751576656
AMH	SOX9	51.6968650819531
NR5A1	CBX2	51.3120580925805
UGR	WNT4	50.77539247586306
NR5A1	CTNNB1	50.45319286101887
WNT4	DMRT1	49.748290536142726
AMH	DKK1	49.686135345842516
WNT4	PGD2	49.055130300169026
NR0B1	NR5A1	48.96406526613485
DMRT1	CBX2	48.54512182510234
NR0B1	PGD2	47.61778723170043
NR0B1	RSPO1	46.572597634222284
SRY	SOX9	46.52759796918226
CTNNB1	CBX2	46.150873746120645
CBX2	DKK1	46.04829973315133
PGD2	SOX9	45.460890927236754
PGD2	NR0B1	45.14992764843437
CTNNB1	NR0B1	45.07819524859835
DHH	DMRT1	44.98529093149168
FGF9	DMRT1	44.22331812104681
SOX9	UGR	44.054114042904374
DKK1	PGD2	43.95461546072343
FGF9	DKK1	43.817435737406996
WT1pKTS	SRY	43.39102719324698
DMRT1	FOXL2	43.32806152507835
FOXL2	DKK1	42.604908058098694
SRY	RSPO1	42.20817252012682
NR5A1	WNT4	41.98056936367469
UGR	SRY	41.95992303363914
SOX9	RSPO1	41.73645464744422
WT1pKTS	DMRT1	41.28918109683143
UGR	RSPO1	41.15244332187308
DKK1	CTNNB1	40.698087485065734
NR5A1	UGR	40.105268422350726
WT1pKTS	WNT4	39.88939932823881
DKK1	UGR	39.748613166621475
WNT4	DKK1	39.69834565067399
AMH	DHH	39.691668579756254
DMRT1	RSPO1	39.42898145317651
SOX9	NR5A1	38.30406109445371
DKK1	DHH	38.2600828528121
FGF9	WNT4	38.217706152287484
WT1pKTS	GATA4	38.09792916260957
CBX2	DMRT1	37.91347244243271
FOXL2	WNT4	37.879079329515186
DMRT1	UGR	37.57083067591822
SRY	WNT4	37.26723656137806
AMH	NR5A1	37.155012958118306
CBX2	RSPO1	36.63232986946023
NR0B1	SOX9	36.54386101090318
DMRT1	DHH	36.36258552398975
RSPO1	SOX9	36.03282546047383
WNT4	FOXL2	36.016371134040604
NR5A1	SOX9	35.87084166211695
FOXL2	DMRT1	35.60529722517346
RSPO1	SRY	35.22927940783973
AMH	DMRT1	35.11834301013566
DKK1	AMH	34.892917119217984
RSPO1	DKK1	34.78063931880408
DHH	NR5A1	34.63604959746728
DMRT1	CTNNB1	34.33264448292042
SOX9	NR0B1	34.2797517436329
UGR	NR5A1	34.278608791905405
CBX2	SOX9	34.16843826612659
CBX2	FOXL2	33.914798241587384
CBX2	CTNNB1	33.59760426624613
NR5A1	FGF9	33.54738725229447
WT1pKTS	DKK1	33.38783702420402
DMRT1	WT1pKTS	33.05193811425092
DKK1	RSPO1	33.04995557583876
WNT4	WT1pKTS	32.899209075996
WT1pKTS	WT1mKTS	32.868615402146375
DKK1	SOX9	32.70060968267905
WNT4	FGF9	32.700206968289315
DMRT1	FGF9	32.501584345448755
UGR	DKK1	32.43406225393873
SRY	NR5A1	32.364586117446564
DMRT1	PGD2	31.939594896603243
RSPO1	DHH	31.67471659311607
DKK1	CBX2	31.52186535685108
SRY	FGF9	31.462881906671843
FGF9	UGR	31.039260749854837
PGD2	NR5A1	30.559120821589513
NR5A1	PGD2	30.519066866207947
NR5A1	NR0B1	30.402299096157904
SOX9	CBX2	30.351505844361217
NR0B1	FOXL2	29.39389993648763
SRY	DHH	29.303117655446115
CTNNB1	SOX9	29.17629038847629
WNT4	AMH	29.07551746693415
FOXL2	CBX2	29.066394318739224
PGD2	WNT4	28.879787053401728
PGD2	DKK1	28.601971728915967
CTNNB1	UGR	28.51421503269835
UGR	WT1mKTS	28.043101571558772
RSPO1	PGD2	27.19584287258482
SRY	CBX2	27.03436221826098
AMH	RSPO1	26.714017727582284
UGR	GATA4	26.30709188699169
SOX9	WT1pKTS	26.28704484267397
DKK1	NR5A1	26.196922859708327
DHH	WNT4	25.996341213946543
SOX9	FOXL2	25.91658487527715
AMH	CBX2	25.821346650790474
NR5A1	DMRT1	25.66243745842214
CTNNB1	PGD2	25.194236630666165
FGF9	RSPO1	25.175357345257726
CBX2	GATA4	25.121033601596775
WNT4	SRY	25.034392911014717
WNT4	DHH	24.99029963260829
NR0B1	WT1pKTS	24.837914452190937
FGF9	NR5A1	24.46328607174901
RSPO1	FGF9	24.43508451522994
NR0B1	CTNNB1	24.34552146496628
AMH	WNT4	23.888285290390304
CBX2	SRY	23.85326841095268
NR5A1	GATA4	23.415146183077983
PGD2	SRY	23.38397953296314
AMH	UGR	23.33556825134852
SRY	AMH	23.319220535697443
DHH	SRY	23.193235591885383
UGR	CTNNB1	22.46836230796076
WT1pKTS	CBX2	22.45536564133621
CBX2	WNT4	22.343178471723636
NR0B1	CBX2	22.32259733072364
CBX2	WT1pKTS	22.16246095229348
FOXL2	NR0B1	22.120490395366087
NR0B1	GATA4	22.026391604223047
RSPO1	AMH	21.834701657802583
DKK1	NR0B1	20.854754779812705
RSPO1	DMRT1	20.67236696722859
CBX2	WT1mKTS	20.47180845888273
NR5A1	DKK1	20.30720824877699
NR5A1	AMH	20.23569538359393
SRY	NR0B1	19.7874964886233
AMH	SRY	19.582611893123158
FGF9	CBX2	19.461336569971966
UGR	DMRT1	19.332161270269133
NR5A1	WT1mKTS	19.22090566967413
GATA4	UGR	18.74353800060405
WT1pKTS	UGR	18.740728574797778
UGR	SOX9	18.68161071704658
NR0B1	WT1mKTS	18.365981469761877
WNT4	GATA4	18.217707320684543
CBX2	NR0B1	18.212798775437488
SRY	PGD2	18.125758573792357
NR0B1	DKK1	17.9549702106739
DMRT1	NR5A1	17.642485443617243
DMRT1	NR0B1	17.4224779969555
CTNNB1	FGF9	17.17290497808729
WNT4	CBX2	17.014480033184764
FOXL2	UGR	16.838078568454428
NR5A1	DHH	16.59671191070306
DHH	UGR	15.78486843462555
WT1pKTS	SOX9	15.75426441904603
PGD2	RSPO1	15.745112626969512
WNT4	WT1mKTS	15.604938831034065
UGR	FOXL2	15.511644347066358
DMRT1	AMH	15.406049959222736
NR5A1	SRY	15.269178165577237
PGD2	CBX2	15.247629729473301
FOXL2	PGD2	15.102288841402865
UGR	PGD2	15.065917052559847
AMH	CTNNB1	15.061740485505082
NR0B1	DMRT1	14.974979273020367
FGF9	SRY	14.82667491906041
NR0B1	SRY	14.697342728362276
PGD2	UGR	14.496188229389169
CBX2	AMH	14.204199456685012
SRY	GATA4	14.152833937569902
DHH	RSPO1	14.13123045753947
CBX2	DHH	13.898322694524627
CBX2	PGD2	13.482931158239301
DHH	CBX2	13.366024119835444
FOXL2	WT1mKTS	13.306052247521562
CTNNB1	DHH	13.038542827900837
DKK1	GATA4	12.960149926393388
WT1mKTS	UGR	12.845138596916811
RSPO1	GATA4	12.839717006187042
DMRT1	WT1mKTS	12.634394758627137
FGF9	WT1pKTS	12.559516664634089
SOX9	GATA4	12.363276810680773
WT1pKTS	NR0B1	12.280544327118742
AMH	FOXL2	11.999527986847134
UGR	WT1pKTS	11.951631616339588
FOXL2	DHH	11.843944938228438
DMRT1	GATA4	11.778020729912381
FGF9	WT1mKTS	11.529392492445407
CTNNB1	GATA4	11.522851192045394
CTNNB1	WT1mKTS	11.265100061041261
PGD2	WT1mKTS	11.138580139077673
RSPO1	WT1mKTS	10.853333579251464
FOXL2	SOX9	10.744229633872877
DHH	WT1pKTS	10.4081540521868
DHH	CTNNB1	10.314927609286539
DKK1	WT1mKTS	10.227533650423888
WT1pKTS	FGF9	10.210551673708308
AMH	GATA4	10.073758697450797
FOXL2	GATA4	9.984691599444648
CBX2	FGF9	9.891592635200205
CTNNB1	AMH	9.84344542209335
DHH	FOXL2	9.690601237683035
AMH	WT1mKTS	9.512456933314747
SOX9	WT1mKTS	9.315579858550127
FOXL2	FGF9	9.23507681349925
SRY	WT1mKTS	9.03820285859948
DHH	WT1mKTS	8.75546370435268
PGD2	WT1pKTS	8.627819370733679
WT1pKTS	AMH	8.582961721134968
FGF9	GATA4	8.482470431454022
WT1pKTS	PGD2	8.397580958615135
PGD2	GATA4	7.998209201230592
PGD2	CTNNB1	7.989832580879661
PGD2	FOXL2	7.821727332414563
AMH	WT1pKTS	7.775027628768298
