Gene1,Gene2,EdgeWeight
AMH,CBX2,7.525532245635986
AMH,CTNNB1,6.422969341278076
AMH,DHH,3557.874755859375
AMH,DKK1,7.829564094543457
AMH,DMRT1,8.474971771240234
AMH,FGF9,3557.874755859375
AMH,FOXL2,7.091477394104004
AMH,GATA4,3.689190149307251
AMH,NR0B1,60.19428634643555
AMH,NR5A1,5.165756702423096
AMH,PGD2,4006.744873046875
AMH,RSPO1,8.644471168518066
AMH,SOX9,15.658263206481934
AMH,SRY,5.703413009643555
AMH,UGR,27.261415481567383
AMH,WNT4,12.346433639526367
AMH,WT1mKTS,5.817481517791748
AMH,WT1pKTS,4.8678083419799805
CBX2,AMH,7.525532245635986
CBX2,CTNNB1,337.10888671875
CBX2,DHH,7.233306884765625
CBX2,DKK1,872.1244506835938
CBX2,DMRT1,907.3582763671875
CBX2,FGF9,149.67979431152344
CBX2,FOXL2,5.165756702423096
CBX2,GATA4,49.380279541015625
CBX2,NR0B1,6.55142879486084
CBX2,NR5A1,1001.7968139648438
CBX2,PGD2,14.182170867919922
CBX2,RSPO1,260.59613037109375
CBX2,SOX9,6.952428817749023
CBX2,SRY,38.17256164550781
CBX2,UGR,2861.467041015625
CBX2,WNT4,8.644471168518066
CBX2,WT1mKTS,57.856868743896484
CBX2,WT1pKTS,521.1635131835938
CTNNB1,AMH,7.091085433959961
CTNNB1,CBX2,6.173216819763184
CTNNB1,DHH,6.95204496383667
CTNNB1,DKK1,175.36404418945312
CTNNB1,DMRT1,1197.173828125
CTNNB1,FGF9,7.091085433959961
CTNNB1,FOXL2,6194.00390625
CTNNB1,GATA4,5.817160129547119
CTNNB1,NR0B1,13.363438606262207
CTNNB1,NR5A1,49.3775520324707
CTNNB1,PGD2,7.091085433959961
CTNNB1,RSPO1,6573.12646484375
CTNNB1,SOX9,16.61575698852539
CTNNB1,SRY,146.73678588867188
CTNNB1,UGR,8.816873550415039
CTNNB1,WNT4,18.345138549804688
CTNNB1,WT1mKTS,6.052173137664795
