Gene1,Gene2,EdgeWeight
AMH,CTNNB1,0.34624502062797546
AMH,DHH,0.9358693957328796
AMH,DKK1,0.3648221492767334
AMH,DMRT1,0.4160079061985016
AMH,FGF9,0.9187746047973633
AMH,FOXL2,0.33537548780441284
AMH,GATA4,0.2963438630104065
AMH,NR0B1,0.5436758995056152
AMH,NR5A1,0.35069170594215393
AMH,PGD2,0.9483200907707214
AMH,RSPO1,0.3384387493133545
AMH,SOX9,0.46660080552101135
AMH,SRY,0.3485178053379059
AMH,UGR,0.4430829882621765
AMH,WNT4,0.35642290115356445
AMH,WT1mKTS,0.30503952503204346
AMH,WT1pKTS,0.3335968554019928
CBX2,AMH,0.4379647374153137
CBX2,DHH,0.5193737149238586
CBX2,DKK1,0.9232876300811768
CBX2,DMRT1,0.9151663184165955
CBX2,FGF9,0.5256360173225403
CBX2,FOXL2,0.7871820330619812
CBX2,GATA4,0.5040116906166077
CBX2,NR0B1,0.44285714626312256
CBX2,NR5A1,0.8904109597206116
CBX2,PGD2,0.5125244855880737
CBX2,RSPO1,0.5018591284751892
CBX2,SOX9,0.8643835186958313
CBX2,SRY,0.5646770596504211
CBX2,UGR,0.9917808175086975
CBX2,WNT4,0.5074363946914673
CBX2,WT1mKTS,0.45322901010513306
CBX2,WT1pKTS,0.7950097918510437
CTNNB1,AMH,0.4425795078277588
CTNNB1,CBX2,0.45415198802948
CTNNB1,DKK1,0.8180211186408997
CTNNB1,DMRT1,0.8052119612693787
CTNNB1,FGF9,0.4265017509460449
CTNNB1,FOXL2,0.9386924505233765
CTNNB1,GATA4,0.4191695749759674
CTNNB1,NR0B1,0.4430212080478668
CTNNB1,NR5A1,0.5504416823387146
CTNNB1,PGD2,0.4442579746246338
CTNNB1,RSPO1,0.9829505085945129
CTNNB1,SOX9,0.45203182101249695
CTNNB1,SRY,0.5818021297454834
CTNNB1,UGR,0.6258833408355713
CTNNB1,WNT4,0.43657243251800537
CTNNB1,WT1mKTS,0.39134275913238525
CTNNB1,WT1pKTS,0.6951412558555603
DHH,AMH,0.9639278650283813
DHH,CBX2,0.38286569714546204
DHH,CTNNB1,0.3478957712650299
DHH,DMRT1,0.3477955758571625
DHH,FGF9,0.9907816052436829
DHH,FOXL2,0.34729456901550293
DHH,GATA4,0.3164328634738922
DHH,NR0B1,0.43406814336776733
DHH,NR5A1,0.33527055382728577
DHH,PGD2,0.9862724542617798
DHH,RSPO1,0.3539077937602997
DHH,SOX9,0.5557113885879517
DHH,SRY,0.3698396682739258
DHH,UGR,0.3912825286388397
DHH,WNT4,0.35551100969314575
DHH,WT1mKTS,0.302805632352829
DHH,WT1pKTS,0.32364729046821594
DKK1,AMH,0.41298481822013855
DKK1,CBX2,0.5745362639427185
DKK1,CTNNB1,0.5331366062164307
DKK1,DHH,0.42428329586982727
DKK1,FGF9,0.43043842911720276
DKK1,FOXL2,0.42107924818992615
DKK1,GATA4,0.4053119719028473
DKK1,NR0B1,0.409696489572525
DKK1,NR5A1,0.4477234482765198
DKK1,PGD2,0.4361720085144043
DKK1,RSPO1,0.422006756067276
DKK1,SOX9,0.7935918569564819
DKK1,SRY,0.808853268623352
DKK1,UGR,0.44510963559150696
DKK1,WNT4,0.5517706871032715
DKK1,WT1mKTS,0.40902191400527954
DKK1,WT1pKTS,0.43591904640197754
DMRT1,AMH,0.5449238419532776
DMRT1,CBX2,0.5945854187011719
DMRT1,CTNNB1,0.5334179401397705
DMRT1,DHH,0.4322334825992584
DMRT1,DKK1,0.995177686214447
DMRT1,FOXL2,0.43130287528038025
DMRT1,GATA4,0.3818104863166809
DMRT1,NR0B1,0.40482234954833984
DMRT1,NR5A1,0.4692893624305725
DMRT1,PGD2,0.4732656180858612
DMRT1,RSPO1,0.4368020296096802
DMRT1,SOX9,0.6788493990898132
DMRT1,SRY,0.8129441738128662
DMRT1,UGR,0.4522842466831207
DMRT1,WNT4,0.5931471586227417
DMRT1,WT1mKTS,0.3971235156059265
DMRT1,WT1pKTS,0.40431472659111023
FGF9,AMH,0.9407825469970703
FGF9,CBX2,0.43817391991615295
FGF9,CTNNB1,0.413826048374176
FGF9,DHH,0.9848695397377014
FGF9,DKK1,0.4295652210712433
FGF9,DMRT1,0.43486958742141724
FGF9,GATA4,0.3880000114440918
FGF9,NR0B1,0.5002608895301819
FGF9,NR5A1,0.4171304404735565
FGF9,PGD2,0.9895651936531067
FGF9,RSPO1,0.4263478219509125
FGF9,SOX9,0.6314781904220581
FGF9,SRY,0.41947826743125916
FGF9,UGR,0.45104342699050903
FGF9,WNT4,0.435739129781723
FGF9,WT1mKTS,0.38147827982902527
FGF9,WT1pKTS,0.40800002217292786
FOXL2,AMH,0.42708706855773926
FOXL2,CBX2,0.45062166452407837
FOXL2,CTNNB1,0.929573655128479
FOXL2,DHH,0.4236234128475189
FOXL2,DKK1,0.44591471552848816
FOXL2,DMRT1,0.4446714222431183
FOXL2,FGF9,0.42948487401008606
FOXL2,NR0B1,0.4282415807247162
FOXL2,NR5A1,0.4759325385093689
FOXL2,PGD2,0.4304618239402771
FOXL2,RSPO1,0.6407637596130371
FOXL2,SOX9,0.4268205761909485
FOXL2,SRY,0.47939613461494446
FOXL2,UGR,0.49005326628685
FOXL2,WNT4,0.45275312662124634
FOXL2,WT1mKTS,0.4816163182258606
FOXL2,WT1pKTS,0.9805507063865662
GATA4,AMH,0.8130859732627869
GATA4,CBX2,0.8361327648162842
GATA4,CTNNB1,0.8330078125
GATA4,DHH,0.8082031011581421
GATA4,DKK1,0.8275391459465027
GATA4,DMRT1,0.8134765625
GATA4,FGF9,0.821093738079071
GATA4,FOXL2,0.818164050579071
GATA4,NR5A1,0.8292969465255737
GATA4,PGD2,0.8382812738418579
GATA4,RSPO1,0.816210925579071
GATA4,SOX9,0.825976550579071
GATA4,SRY,0.8154297471046448
GATA4,UGR,0.958203136920929
GATA4,WNT4,0.8169921636581421
GATA4,WT1mKTS,0.9728515148162842
GATA4,WT1pKTS,0.8078124523162842
NR0B1,AMH,0.9987329244613647
NR0B1,CBX2,0.5769005417823792
NR0B1,CTNNB1,0.47826510667800903
NR0B1,DHH,0.7482455372810364
NR0B1,DKK1,0.4311891198158264
NR0B1,DMRT1,0.4272904694080353
NR0B1,FGF9,0.8988305330276489
NR0B1,FOXL2,0.42475631833076477
NR0B1,GATA4,0.46500974893569946
NR0B1,PGD2,0.9814814925193787
NR0B1,RSPO1,0.5182260870933533
NR0B1,SOX9,0.4170565605163574
NR0B1,SRY,0.5276802778244019
NR0B1,UGR,0.9487329721450806
NR0B1,WNT4,0.9426898956298828
NR0B1,WT1mKTS,0.3960038721561432
NR0B1,WT1pKTS,0.4076022803783417
NR5A1,AMH,0.5117764472961426
NR5A1,CBX2,0.7993014454841614
NR5A1,CTNNB1,0.5142714977264404
NR5A1,DHH,0.563772439956665
NR5A1,DKK1,0.5578842163085938
NR5A1,DMRT1,0.5807385444641113
NR5A1,FGF9,0.49491021037101746
NR5A1,FOXL2,0.7252494692802429
NR5A1,GATA4,0.45728540420532227
NR5A1,NR0B1,0.8190619349479675
NR5A1,RSPO1,0.9902195930480957
NR5A1,SOX9,0.8063872456550598
NR5A1,SRY,0.43253493309020996
NR5A1,UGR,0.36866265535354614
NR5A1,WNT4,0.4600798487663269
NR5A1,WT1mKTS,0.47994011640548706
NR5A1,WT1pKTS,0.8254489898681641
PGD2,AMH,0.9320110082626343
PGD2,CBX2,0.3880996108055115
PGD2,CTNNB1,0.38496312499046326
PGD2,DHH,0.9459408521652222
PGD2,DKK1,0.42629149556159973
PGD2,DMRT1,0.38422510027885437
PGD2,FGF9,0.9574721455574036
