Gene1,Gene2,EdgeWeight
AMH,PGD2,0.0104865850880742
CBX2,UGR,0.0104825794696807
DKK1,DMRT1,0.0104825440794229
NR0B1,RSPO1,0.0104744844138622
DKK1,SOX9,0.0104686245322227
AMH,FGF9,0.0104685500264167
FOXL2,RSPO1,0.0104662245139479
FGF9,DHH,0.0104650566354393
SOX9,AMH,0.0104533676058053
DKK1,SRY,0.0104488395154476
DHH,SOX9,0.0104385372251272
FGF9,AMH,0.010438391007483
FGF9,PGD2,0.0104350699111819
SOX9,DHH,0.0104335788637399
DHH,AMH,0.010432593524456
AMH,DMRT1,0.0104246791452169
AMH,DKK1,0.0104173924773931
DMRT1,FGF9,0.0104153966531157
CTNNB1,NR0B1,0.0104084368795156
NR0B1,CTNNB1,0.0104077784344553
PGD2,DKK1,0.0104062715545296
SOX9,DMRT1,0.0104030072689056
CBX2,WT1pKTS,0.0104022407904267
CTNNB1,FOXL2,0.0104012209922075
SRY,DMRT1,0.0103988153859972
WNT4,RSPO1,0.0103975748643279
DMRT1,DKK1,0.0103956516832113
WT1pKTS,NR5A1,0.01039519906044
DMRT1,AMH,0.0103935850784182
SRY,AMH,0.0103923603892326
DKK1,WT1pKTS,0.0103915184736251
CTNNB1,RSPO1,0.010391236282885
PGD2,DHH,0.0103899138048291
FGF9,SOX9,0.0103886378929018
DMRT1,DHH,0.0103865936398506
DHH,FGF9,0.0103858839720487
CTNNB1,WNT4,0.0103839728981256
SOX9,SRY,0.0103827957063913
UGR,CBX2,0.0103817079216241
NR0B1,WNT4,0.0103811072185635
SRY,WT1pKTS,0.0103795193135738
RSPO1,CTNNB1,0.0103777488693594
RSPO1,FOXL2,0.0103775486350059
WNT4,NR0B1,0.0103774080052971
DMRT1,SRY,0.0103761423379182
SRY,PGD2,0.0103722503408789
AMH,SOX9,0.0103696854785084
WNT4,FOXL2,0.0103694489225745
WT1pKTS,AMH,0.010369106195867
SOX9,FGF9,0.0103684458881616
PGD2,SRY,0.0103652430698275
FOXL2,CTNNB1,0.0103648155927658
NR5A1,UGR,0.0103629110381007
SOX9,DKK1,0.0103627191856503
WT1pKTS,CBX2,0.0103622898459434
DMRT1,PGD2,0.0103606395423412
NR5A1,DHH,0.0103555917739868
PGD2,DMRT1,0.010355076752603
WNT4,WT1mKTS,0.010354796424508
SRY,DHH,0.0103532085195183
WT1pKTS,DKK1,0.0103484205901622
NR5A1,SOX9,0.0103459358215332
WT1pKTS,PGD2,0.0103456815704703
UGR,NR5A1,0.0103455008938908
PGD2,FGF9,0.0103431567549705
NR5A1,CBX2,0.0103305615484714
FGF9,WT1pKTS,0.0103299561887979
PGD2,NR5A1,0.0103262262418866
SOX9,PGD2,0.0103252669796347
GATA4,WT1mKTS,0.0103251943364739
GATA4,AMH,0.0103214941918849
PGD2,AMH,0.0103214625269174
FOXL2,GATA4,0.0103212650865316
GATA4,DHH,0.0103201121091842
SRY,DKK1,0.0103201009333133
NR5A1,WT1pKTS,0.0103195188567042
UGR,WT1pKTS,0.0103181507438421
DHH,PGD2,0.010317662730813
GATA4,DMRT1,0.0103159137070178
AMH,DHH,0.010315659455955
DKK1,AMH,0.0103146582841873
WT1mKTS,DHH,0.0103106945753097
WNT4,CTNNB1,0.0103106405586004
DMRT1,WT1mKTS,0.0103104319423437
FOXL2,WNT4,0.010309824720025
WT1mKTS,WNT4,0.0103077944368124
FGF9,DMRT1,0.0103043103590607
DMRT1,SOX9,0.0103025566786527
DKK1,FGF9,0.0103023713454604
GATA4,PGD2,0.0103021981194615
NR5A1,AMH,0.0102983517572283
WNT4,GATA4,0.0102981980890035
DHH,DMRT1,0.0102980537340044
DHH,WT1pKTS,0.0102962097153067
AMH,NR5A1,0.0102960215881466
RSPO1,WNT4,0.0102955400943756
SRY,WT1mKTS,0.0102955214679241
AMH,SRY,0.010294341482222
PGD2,GATA4,0.0102937649935483
NR0B1,FOXL2,0.0102936318144202
WT1mKTS,CTNNB1,0.010293093509972
DMRT1,GATA4,0.0102919517084956
SOX9,GATA4,0.0102897370234131
AMH,GATA4,0.0102893952280282
WT1pKTS,DHH,0.0102866617962718
FGF9,DKK1,0.0102848364040255
NR5A1,SRY,0.0102836517617106
SRY,NR5A1,0.0102831805124878
GATA4,CTNNB1,0.0102826440706849
RSPO1,GATA4,0.0102813430130481
DHH,DKK1,0.0102812508121132
DKK1,DHH,0.0102797104045748
CTNNB1,WT1mKTS,0.0102791581302881
PGD2,SOX9,0.010278851725161
CBX2,NR5A1,0.0102775814011693
WT1mKTS,SRY,0.0102773141115903
UGR,AMH,0.0102743813768029
DMRT1,CBX2,0.0102730933576822
FGF9,NR5A1,0.0102728391066193
WT1pKTS,DMRT1,0.0102718211710453
NR5A1,GATA4,0.0102701401337981
SRY,SOX9,0.0102700963616371
RSPO1,NR0B1,0.0102699808776378
DKK1,PGD2,0.0102692255750298
NR0B1,GATA4,0.0102685112506151
NR0B1,DKK1,0.010267874225974
WT1mKTS,UGR,0.0102672576904296
RSPO1,WT1mKTS,0.0102658439427614
NR5A1,DMRT1,0.0102655729278922
CBX2,AMH,0.0102632343769073
WT1pKTS,SRY,0.0102626271545887
FGF9,SRY,0.0102623542770743
FOXL2,NR0B1,0.0102605829015374
SRY,FGF9,0.0102601973339915
GATA4,DKK1,0.0102591235190629
WT1pKTS,UGR,0.0102589596062898
AMH,CBX2,0.0102571798488497
FGF9,GATA4,0.0102566396817564
WT1mKTS,NR0B1,0.0102565288543701
FOXL2,DHH,0.0102564198896288
WT1pKTS,FGF9,0.0102559747174382
DMRT1,NR0B1,0.0102548757568001
SOX9,WT1pKTS,0.0102532235905528
NR0B1,FGF9,0.0102522540837526
WT1mKTS,CBX2,0.0102491602301597
DHH,CBX2,0.0102484347298741
SRY,UGR,0.010248146019876
NR5A1,PGD2,0.0102480817586183
NR0B1,UGR,0.0102476263418793
DKK1,CBX2,0.0102463643997907
