TF	Target	EdgeWeight
AMH	PGD2	0.010486585088074207
CBX2	UGR	0.010482579469680786
DKK1	DMRT1	0.01048254407942295
NR0B1	RSPO1	0.010474484413862228
DKK1	SOX9	0.010468624532222748
AMH	FGF9	0.010468550026416779
FOXL2	RSPO1	0.010466224513947964
FGF9	DHH	0.010465056635439396
SOX9	AMH	0.010453367605805397
DKK1	SRY	0.010448839515447617
DHH	SOX9	0.01043853722512722
FGF9	AMH	0.010438391007483006
FGF9	PGD2	0.010435069911181927
SOX9	DHH	0.010433578863739967
DHH	AMH	0.010432593524456024
AMH	DMRT1	0.010424679145216942
AMH	DKK1	0.01041739247739315
DMRT1	FGF9	0.01041539665311575
CTNNB1	NR0B1	0.010408436879515648
NR0B1	CTNNB1	0.010407778434455395
PGD2	DKK1	0.010406271554529667
SOX9	DMRT1	0.01040300726890564
CBX2	WT1pKTS	0.010402240790426731
CTNNB1	FOXL2	0.010401220992207527
SRY	DMRT1	0.010398815385997295
WNT4	RSPO1	0.010397574864327908
DMRT1	DKK1	0.010395651683211327
WT1pKTS	NR5A1	0.010395199060440063
DMRT1	AMH	0.010393585078418255
SRY	AMH	0.010392360389232635
DKK1	WT1pKTS	0.010391518473625183
CTNNB1	RSPO1	0.010391236282885075
PGD2	DHH	0.01038991380482912
FGF9	SOX9	0.010388637892901897
DMRT1	DHH	0.010386593639850616
DHH	FGF9	0.01038588397204876
CTNNB1	WNT4	0.010383972898125648
SOX9	SRY	0.010382795706391335
UGR	CBX2	0.010381707921624184
NR0B1	WNT4	0.010381107218563557
SRY	WT1pKTS	0.010379519313573837
RSPO1	CTNNB1	0.010377748869359493
RSPO1	FOXL2	0.010377548635005951
WNT4	NR0B1	0.010377408005297184
DMRT1	SRY	0.010376142337918282
SRY	PGD2	0.010372250340878963
AMH	SOX9	0.010369685478508472
WNT4	FOXL2	0.01036944892257452
WT1pKTS	AMH	0.010369106195867062
SOX9	FGF9	0.01036844588816166
PGD2	SRY	0.010365243069827557
FOXL2	CTNNB1	0.010364815592765808
NR5A1	UGR	0.01036291103810072
SOX9	DKK1	0.010362719185650349
WT1pKTS	CBX2	0.010362289845943451
DMRT1	PGD2	0.010360639542341232
NR5A1	DHH	0.010355591773986816
PGD2	DMRT1	0.010355076752603054
WNT4	WT1mKTS	0.010354796424508095
SRY	DHH	0.010353208519518375
WT1pKTS	DKK1	0.010348420590162277
NR5A1	SOX9	0.010345935821533203
WT1pKTS	PGD2	0.010345681570470333
UGR	NR5A1	0.010345500893890858
PGD2	FGF9	0.01034315675497055
NR5A1	CBX2	0.01033056154847145
FGF9	WT1pKTS	0.01032995618879795
PGD2	NR5A1	0.010326226241886616
SOX9	PGD2	0.010325266979634762
GATA4	WT1mKTS	0.010325194336473942
GATA4	AMH	0.010321494191884995
PGD2	AMH	0.010321462526917458
FOXL2	GATA4	0.010321265086531639
GATA4	DHH	0.010320112109184265
SRY	DKK1	0.01032010093331337
NR5A1	WT1pKTS	0.010319518856704235
UGR	WT1pKTS	0.010318150743842125
DHH	PGD2	0.010317662730813026
GATA4	DMRT1	0.010315913707017899
AMH	DHH	0.010315659455955029
DKK1	AMH	0.010314658284187317
WT1mKTS	DHH	0.010310694575309753
WNT4	CTNNB1	0.010310640558600426
DMRT1	WT1mKTS	0.010310431942343712
FOXL2	WNT4	0.010309824720025063
WT1mKTS	WNT4	0.0103077944368124
FGF9	DMRT1	0.010304310359060764
DMRT1	SOX9	0.010302556678652763
DKK1	FGF9	0.010302371345460415
GATA4	PGD2	0.010302198119461536
NR5A1	AMH	0.010298351757228374
WNT4	GATA4	0.010298198089003563
DHH	DMRT1	0.010298053734004498
DHH	WT1pKTS	0.010296209715306759
AMH	NR5A1	0.010296021588146687
RSPO1	WNT4	0.01029554009437561
SRY	WT1mKTS	0.010295521467924118
AMH	SRY	0.01029434148222208
PGD2	GATA4	0.010293764993548393
NR0B1	FOXL2	0.010293631814420223
WT1mKTS	CTNNB1	0.010293093509972095
DMRT1	GATA4	0.010291951708495617
SOX9	GATA4	0.010289737023413181
AMH	GATA4	0.010289395228028297
WT1pKTS	DHH	0.010286661796271801
FGF9	DKK1	0.010284836404025555
NR5A1	SRY	0.010283651761710644
SRY	NR5A1	0.010283180512487888
GATA4	CTNNB1	0.01028264407068491
RSPO1	GATA4	0.010281343013048172
DHH	DKK1	0.010281250812113285
DKK1	DHH	0.010279710404574871
CTNNB1	WT1mKTS	0.010279158130288124
PGD2	SOX9	0.010278851725161076
CBX2	NR5A1	0.0102775814011693
WT1mKTS	SRY	0.010277314111590385
UGR	AMH	0.010274381376802921
DMRT1	CBX2	0.010273093357682228
FGF9	NR5A1	0.010272839106619358
WT1pKTS	DMRT1	0.010271821171045303
NR5A1	GATA4	0.010270140133798122
SRY	SOX9	0.010270096361637115
RSPO1	NR0B1	0.010269980877637863
DKK1	PGD2	0.01026922557502985
NR0B1	GATA4	0.01026851125061512
NR0B1	DKK1	0.010267874225974083
WT1mKTS	UGR	0.010267257690429688
RSPO1	WT1mKTS	0.010265843942761421
NR5A1	DMRT1	0.010265572927892208
CBX2	AMH	0.010263234376907349
WT1pKTS	SRY	0.0102626271545887
FGF9	SRY	0.010262354277074337
FOXL2	NR0B1	0.010260582901537418
SRY	FGF9	0.010260197333991528
GATA4	DKK1	0.010259123519062996
WT1pKTS	UGR	0.010258959606289864
AMH	CBX2	0.010257179848849773
FGF9	GATA4	0.010256639681756496
WT1mKTS	NR0B1	0.010256528854370117
FOXL2	DHH	0.010256419889628887
WT1pKTS	FGF9	0.010255974717438221
DMRT1	NR0B1	0.010254875756800175
SOX9	WT1pKTS	0.010253223590552807
NR0B1	FGF9	0.010252254083752632
WT1mKTS	CBX2	0.01024916023015976
DHH	CBX2	0.010248434729874134
SRY	UGR	0.010248146019876003
NR5A1	PGD2	0.010248081758618355
NR0B1	UGR	0.010247626341879368
DKK1	CBX2	0.010246364399790764
NR0B1	WT1pKTS	0.010245481505990028
WT1mKTS	DKK1	0.010244898498058319
WT1pKTS	WT1mKTS	0.010244407691061497
AMH	WT1pKTS	0.01023903489112854
DKK1	UGR	0.01023778971284628
CBX2	FOXL2	0.01023742463439703
CBX2	SRY	0.010235966183245182
GATA4	FOXL2	0.010235351510345936
NR0B1	SRY	0.0102342888712883
NR0B1	PGD2	0.0102339843288064
WT1mKTS	RSPO1	0.01023172028362751
UGR	CTNNB1	0.010231060907244682
FOXL2	SRY	0.010230334475636482
WT1pKTS	SOX9	0.010228745639324188
SRY	GATA4	0.010227861814200878
DHH	SRY	0.010226713493466377
FGF9	CTNNB1	0.010223370045423508
PGD2	WT1pKTS	0.010222095064818859
DMRT1	RSPO1	0.010221023112535477
WNT4	SOX9	0.010220765136182308
SOX9	FOXL2	0.010220684111118317
GATA4	SOX9	0.010219334624707699
UGR	SRY	0.01021901611238718
SOX9	WT1mKTS	0.010218917392194271
WT1mKTS	FOXL2	0.010218086652457714
WNT4	AMH	0.01021608617156744
DKK1	NR0B1	0.010215260088443756
SOX9	RSPO1	0.010214405134320259
PGD2	NR0B1	0.010214249603450298
NR5A1	DKK1	0.010214200243353844
AMH	FOXL2	0.010214014910161495
NR0B1	SOX9	0.010213310830295086
DHH	NR0B1	0.010212828405201435
CBX2	WNT4	0.010212322697043419
DMRT1	WT1pKTS	0.010211760178208351
WT1mKTS	FGF9	0.010211584158241749
FOXL2	AMH	0.010211058892309666
NR0B1	WT1mKTS	0.0102101294323802
CTNNB1	SOX9	0.010207184590399265
UGR	SOX9	0.010207091458141804
DKK1	NR5A1	0.010206421837210655
SRY	WNT4	0.010205955244600773
FOXL2	FGF9	0.010205809026956558
GATA4	NR0B1	0.010204737074673176
FOXL2	WT1mKTS	0.01020362600684166
WNT4	SRY	0.010202491655945778
WNT4	PGD2	0.01020174752920866
NR0B1	DHH	0.01020149514079094
WT1mKTS	WT1pKTS	0.010200696997344494
GATA4	RSPO1	0.01019918080419302
SOX9	NR5A1	0.010198662057518959
WT1mKTS	AMH	0.010198560543358326
WNT4	FGF9	0.01019774004817009
RSPO1	CBX2	0.010196776129305363
CBX2	GATA4	0.010196772404015064
SOX9	UGR	0.010196478106081486
GATA4	WNT4	0.010196089744567871
DMRT1	WNT4	0.010195642709732056
SOX9	WNT4	0.010195217095315456
WT1mKTS	GATA4	0.010195140726864338
PGD2	UGR	0.010195082053542137
GATA4	UGR	0.01019507460296154
CTNNB1	CBX2	0.010193540714681149
UGR	DMRT1	0.01019306480884552
WNT4	NR5A1	0.010192289017140865
CTNNB1	UGR	0.010191055946052074
DHH	WT1mKTS	0.01019052043557167
GATA4	WT1pKTS	0.010189895518124104
WNT4	DKK1	0.010189838707447052
AMH	WT1mKTS	0.01018931157886982
UGR	WNT4	0.01018918864428997
DHH	GATA4	0.010188618674874306
PGD2	WNT4	0.010186895728111267
CBX2	CTNNB1	0.010186887346208096
CBX2	WT1mKTS	0.010184118524193764
NR5A1	FGF9	0.010183513164520264
RSPO1	UGR	0.010183163918554783
FOXL2	UGR	0.010182878002524376
CBX2	DKK1	0.010182388126850128
DHH	NR5A1	0.01018234807997942
CBX2	NR0B1	0.010182344354689121
DKK1	CTNNB1	0.010182177647948265
CTNNB1	GATA4	0.010181465186178684
NR5A1	WNT4	0.010181328281760216
GATA4	SRY	0.010181265883147717
CTNNB1	PGD2	0.01017866563051939
DKK1	GATA4	0.010175753384828568
UGR	NR0B1	0.01017568539828062
FOXL2	WT1pKTS	0.010175415314733982
PGD2	FOXL2	0.010173987597227097
DMRT1	NR5A1	0.010172998532652855
WT1mKTS	SOX9	0.010171943344175816
FGF9	NR0B1	0.010171367786824703
AMH	RSPO1	0.010171362198889256
RSPO1	DHH	0.010167324915528297
WT1mKTS	PGD2	0.010166062973439693
FGF9	RSPO1	0.010165350511670113
NR0B1	AMH	0.01016470231115818
DKK1	WT1mKTS	0.010163809172809124
DMRT1	UGR	0.010163713246583939
CBX2	DHH	0.010163364931941032
NR0B1	DMRT1	0.010159151628613472
UGR	FOXL2	0.010158750228583813
CBX2	PGD2	0.010157252661883831
UGR	DKK1	0.010156603530049324
WNT4	DMRT1	0.010155107825994492
DKK1	FOXL2	0.01015316043049097
NR5A1	FOXL2	0.010151275433599949
NR0B1	CBX2	0.010148834437131882
PGD2	RSPO1	0.010148412548005581
SOX9	NR0B1	0.01014794409275055
DMRT1	CTNNB1	0.0101477587595582
FGF9	CBX2	0.010145293548703194
GATA4	NR5A1	0.010144796222448349
AMH	UGR	0.010144125670194626
FGF9	UGR	0.010142593644559383
AMH	WNT4	0.010142558254301548
FOXL2	DMRT1	0.010141936130821705
FOXL2	PGD2	0.010141273029148579
GATA4	CBX2	0.010141258127987385
PGD2	CBX2	0.010140696540474892
UGR	PGD2	0.010138262063264847
SRY	CBX2	0.010137810371816158
WT1mKTS	DMRT1	0.010136459022760391
CBX2	RSPO1	0.010135116055607796
UGR	GATA4	0.010134599171578884
SOX9	CBX2	0.01013303454965353
WT1pKTS	GATA4	0.010131914168596268
DHH	FOXL2	0.0101316561922431
GATA4	FGF9	0.010129893198609352
WT1mKTS	NR5A1	0.01012925524264574
PGD2	WT1mKTS	0.010128184221684933
FOXL2	SOX9	0.01012465637177229
CTNNB1	WT1pKTS	0.010124129243195057
SRY	CTNNB1	0.010123420506715775
UGR	FGF9	0.010121856816112995
CBX2	SOX9	0.010120668448507786
NR5A1	NR0B1	0.010119379498064518
NR0B1	NR5A1	0.010117887519299984
RSPO1	NR5A1	0.010117600671947002
SOX9	CTNNB1	0.01011391170322895
PGD2	CTNNB1	0.010112883523106575
RSPO1	SRY	0.010112755000591278
DMRT1	FOXL2	0.010111220180988312
CBX2	DMRT1	0.01010829582810402
UGR	RSPO1	0.010107876732945442
DHH	UGR	0.010107413865625858
WNT4	WT1pKTS	0.010107259266078472
FGF9	WT1mKTS	0.010105594992637634
NR5A1	WT1mKTS	0.010104231536388397
FGF9	FOXL2	0.010103905573487282
WT1pKTS	WNT4	0.010099958628416061
RSPO1	AMH	0.010099949315190315
CTNNB1	FGF9	0.010098106227815151
UGR	WT1mKTS	0.010097823105752468
DKK1	RSPO1	0.010095780715346336
SRY	NR0B1	0.010095770470798016
WNT4	UGR	0.01009287778288126
WNT4	CBX2	0.010092654265463352
RSPO1	DKK1	0.010088796727359295
FOXL2	DKK1	0.01008838415145874
FOXL2	CBX2	0.01008678786456585
CTNNB1	DKK1	0.010085311718285084
UGR	DHH	0.01008189469575882
CBX2	FGF9	0.010080622509121895
DKK1	WNT4	0.010079333558678627
CTNNB1	DMRT1	0.010078619234263897
DHH	WNT4	0.01007640641182661
RSPO1	PGD2	0.01007501408457756
CTNNB1	AMH	0.010074027813971043
DHH	CTNNB1	0.010073825716972351
AMH	NR0B1	0.01007363572716713
WT1pKTS	RSPO1	0.010072121396660805
DHH	RSPO1	0.010067103430628777
NR5A1	RSPO1	0.010066913440823555
CTNNB1	DHH	0.010063792578876019
AMH	CTNNB1	0.010062550194561481
SRY	RSPO1	0.010056360624730587
RSPO1	SOX9	0.010054869577288628
NR5A1	CTNNB1	0.010052332654595375
SRY	FOXL2	0.010042834095656872
RSPO1	FGF9	0.0100418571382761
RSPO1	WT1pKTS	0.010041533038020134
RSPO1	DMRT1	0.01004018820822239
WT1pKTS	NR0B1	0.010040093213319778
WNT4	DHH	0.010039065964519978
FOXL2	NR5A1	0.010035626590251923
WT1pKTS	CTNNB1	0.010031437501311302
CTNNB1	SRY	0.010029640980064869
FGF9	WNT4	0.010028928518295288
CTNNB1	NR5A1	0.010026599280536175
WT1pKTS	FOXL2	0.009964660741388798
