Gene1,Gene2,EdgeWeight
AMH,CTNNB1,0.04614594578742981
AMH,DHH,0.09580130130052567
AMH,DKK1,0.04916094243526459
AMH,DMRT1,0.04962628334760666
AMH,FGF9,0.09265058487653732
AMH,FOXL2,0.04584541544318199
AMH,GATA4,0.04393559321761131
AMH,NR0B1,0.05776968225836754
AMH,NR5A1,0.04520557448267937
AMH,PGD2,0.0923888310790062
AMH,RSPO1,0.04597144573926926
AMH,SOX9,0.05775998532772064
AMH,SRY,0.04793943464756012
AMH,UGR,0.04870529845356941
AMH,WNT4,0.04577755182981491
AMH,WT1mKTS,0.042869195342063904
AMH,WT1pKTS,0.04516679793596268
CBX2,AMH,0.039589062333106995
CBX2,DHH,0.0393899604678154
CBX2,DKK1,0.06993987411260605
CBX2,DMRT1,0.06887269765138626
CBX2,FGF9,0.03989965841174126
CBX2,FOXL2,0.04024210944771767
CBX2,GATA4,0.0504838228225708
CBX2,NR0B1,0.04059252515435219
CBX2,NR5A1,0.08074703067541122
CBX2,PGD2,0.03942978009581566
CBX2,RSPO1,0.06349699944257736
CBX2,SOX9,0.059634458273649216
CBX2,SRY,0.05365348607301712
CBX2,UGR,0.08529447764158249
CBX2,WNT4,0.04112611711025238
CBX2,WT1mKTS,0.05824076011776924
CBX2,WT1pKTS,0.062206827104091644
CTNNB1,AMH,0.03988379240036011
CTNNB1,CBX2,0.06184900924563408
CTNNB1,DKK1,0.05740329250693321
CTNNB1,DMRT1,0.072640061378479
CTNNB1,FGF9,0.03971617668867111
CTNNB1,FOXL2,0.08693500608205795
CTNNB1,GATA4,0.03804005682468414
CTNNB1,NR0B1,0.04047442227602005
CTNNB1,NR5A1,0.07438801974058151
CTNNB1,PGD2,0.04014718160033226
CTNNB1,RSPO1,0.09149247407913208
CTNNB1,SOX9,0.041073039174079895
CTNNB1,SRY,0.06935964524745941
CTNNB1,UGR,0.06267111003398895
CTNNB1,WNT4,0.038558851927518845
CTNNB1,WT1mKTS,0.04057818651199341
CTNNB1,WT1pKTS,0.06543272733688354
DHH,AMH,0.09225671738386154
DHH,CBX2,0.046103931963443756
DHH,CTNNB1,0.04556647688150406
DHH,DMRT1,0.05076513811945915
DHH,FGF9,0.09750425070524216
DHH,FOXL2,0.04594758152961731
DHH,GATA4,0.044022511690855026
DHH,NR0B1,0.04879121109843254
DHH,NR5A1,0.046533893793821335
DHH,PGD2,0.0972404032945633
DHH,RSPO1,0.045937810093164444
DHH,SOX9,0.060595691204071045
DHH,SRY,0.04655344411730766
DHH,UGR,0.04555670544505119
DHH,WNT4,0.04683682695031166
DHH,WT1mKTS,0.04272284731268883
DHH,WT1pKTS,0.04484335333108902
DKK1,AMH,0.053094301372766495
DKK1,CBX2,0.049927663058042526
DKK1,CTNNB1,0.04978602007031441
DKK1,DHH,0.050089530646800995
DKK1,FGF9,0.049998484551906586
DKK1,FOXL2,0.04862255975604057
DKK1,GATA4,0.046022482216358185
DKK1,NR0B1,0.046336106956005096
DKK1,NR5A1,0.047580502927303314
DKK1,PGD2,0.04910817742347717
DKK1,RSPO1,0.047064535319805145
DKK1,SOX9,0.09030481427907944
DKK1,SRY,0.06909948587417603
DKK1,UGR,0.04697348549962044
DKK1,WNT4,0.04986695945262909
DKK1,WT1mKTS,0.04514229670166969
DKK1,WT1pKTS,0.04871361702680588
DMRT1,AMH,0.04795873910188675
DMRT1,CBX2,0.05258728191256523
DMRT1,CTNNB1,0.05316462740302086
DMRT1,DHH,0.05350711941719055
DMRT1,DKK1,0.10917684435844421
DMRT1,FOXL2,0.04791960120201111
DMRT1,GATA4,0.04496438056230545
DMRT1,NR0B1,0.04505244642496109
DMRT1,NR5A1,0.04863394424319267
DMRT1,PGD2,0.057166896760463715
DMRT1,RSPO1,0.04780217260122299
DMRT1,SOX9,0.06457453221082687
DMRT1,SRY,0.08222756534814835
DMRT1,UGR,0.04692147672176361
DMRT1,WNT4,0.04942656308412552
DMRT1,WT1mKTS,0.04307577759027481
DMRT1,WT1pKTS,0.04634413495659828
FGF9,AMH,0.09699399769306183
FGF9,CBX2,0.04468301683664322
FGF9,CTNNB1,0.04504464194178581
FGF9,DHH,0.1032998114824295
FGF9,DKK1,0.04689795896410942
FGF9,DMRT1,0.049135491251945496
FGF9,GATA4,0.04148491099476814
FGF9,NR0B1,0.04869476705789566
FGF9,NR5A1,0.04403887316584587
FGF9,PGD2,0.10365011543035507
FGF9,RSPO1,0.045688774436712265
FGF9,SOX9,0.05827777087688446
FGF9,SRY,0.04887557774782181
FGF9,UGR,0.045010730624198914
FGF9,WNT4,0.047304775565862656
FGF9,WT1mKTS,0.041168492287397385
FGF9,WT1pKTS,0.044479601085186005
FOXL2,AMH,0.0441756471991539
FOXL2,CBX2,0.04528939351439476
FOXL2,CTNNB1,0.09231331199407578
FOXL2,DHH,0.04385612905025482
FOXL2,DKK1,0.04611101374030113
FOXL2,DMRT1,0.045134201645851135
FOXL2,FGF9,0.04493336379528046
FOXL2,NR0B1,0.04363702982664108
FOXL2,NR5A1,0.05932993441820145
FOXL2,PGD2,0.044787291437387466
FOXL2,RSPO1,0.07809020578861237
FOXL2,SOX9,0.044111743569374084
FOXL2,SRY,0.048393283039331436
FOXL2,UGR,0.05270221084356308
FOXL2,WNT4,0.04534417390823364
FOXL2,WT1mKTS,0.0607084184885025
FOXL2,WT1pKTS,0.1056235283613205
GATA4,AMH,0.05282817408442497
GATA4,CBX2,0.0551024004817009
GATA4,CTNNB1,0.05337449163198471
GATA4,DHH,0.05331096425652504
GATA4,DKK1,0.055890124291181564
GATA4,DMRT1,0.05899018794298172
GATA4,FGF9,0.052866287529468536
GATA4,FOXL2,0.05455607548356056
GATA4,NR5A1,0.05263758823275566
GATA4,PGD2,0.053069569170475006
GATA4,RSPO1,0.052624884992837906
GATA4,SOX9,0.05317120999097824
GATA4,SRY,0.053476132452487946
GATA4,UGR,0.06776947528123856
GATA4,WNT4,0.05243431031703949
GATA4,WT1mKTS,0.07183512300252914
GATA4,WT1pKTS,0.054238446056842804
NR0B1,AMH,0.07943131029605865
NR0B1,CBX2,0.055184707045555115
NR0B1,CTNNB1,0.053355373442173004
NR0B1,DHH,0.05947720259428024
NR0B1,DKK1,0.040959276258945465
NR0B1,DMRT1,0.04131230339407921
NR0B1,FGF9,0.06298340857028961
NR0B1,FOXL2,0.043061401695013046
NR0B1,GATA4,0.0392904169857502
NR0B1,PGD2,0.0486697293817997
NR0B1,RSPO1,0.06712348014116287
NR0B1,SOX9,0.03998042643070221
NR0B1,SRY,0.049760911613702774
NR0B1,UGR,0.08260856568813324
NR0B1,WNT4,0.08474277704954147
NR0B1,WT1mKTS,0.043342217803001404
NR0B1,WT1pKTS,0.039900194853544235
NR5A1,AMH,0.04191236570477486
NR5A1,CBX2,0.07202284783124924
NR5A1,CTNNB1,0.07776705920696259
NR5A1,DHH,0.0523163303732872
NR5A1,DKK1,0.049427274614572525
NR5A1,DMRT1,0.05095228925347328
NR5A1,FGF9,0.04230209067463875
NR5A1,FOXL2,0.08252847194671631
NR5A1,GATA4,0.042590148746967316
NR5A1,NR0B1,0.04236139729619026
NR5A1,RSPO1,0.09045852720737457
NR5A1,SOX9,0.062076386064291
NR5A1,SRY,0.054841067641973495
NR5A1,UGR,0.04754643514752388
NR5A1,WNT4,0.03715941682457924
NR5A1,WT1mKTS,0.04264945536851883
NR5A1,WT1pKTS,0.07136201113462448
PGD2,AMH,0.09215518087148666
PGD2,CBX2,0.04499455541372299
PGD2,CTNNB1,0.046461526304483414
PGD2,DHH,0.10522033274173737
PGD2,DKK1,0.050255000591278076
PGD2,DMRT1,0.048891179263591766
PGD2,FGF9,0.10566730052232742
PGD2,FOXL2,0.04569365829229355
PGD2,GATA4,0.0435505136847496
PGD2,NR0B1,0.04663342982530594
PGD2,NR5A1,0.04436422139406204
PGD2,SOX9,0.056237462908029556
PGD2,SRY,0.045647818595170975
PGD2,UGR,0.045968715101480484
PGD2,WNT4,0.04543006420135498
PGD2,WT1mKTS,0.04233568161725998
PGD2,WT1pKTS,0.044788263738155365
RSPO1,AMH,0.0421714223921299
RSPO1,CBX2,0.06147488206624985
RSPO1,CTNNB1,0.09996125847101212
RSPO1,DHH,0.042817167937755585
RSPO1,DKK1,0.048473890870809555
RSPO1,DMRT1,0.05500021576881409
RSPO1,FGF9,0.043282102793455124
RSPO1,FOXL2,0.06014895439147949
RSPO1,GATA4,0.044453054666519165
RSPO1,NR0B1,0.04602006450295448
RSPO1,NR5A1,0.09737827628850937
RSPO1,PGD2,0.043333761394023895
RSPO1,SRY,0.04227474331855774
RSPO1,UGR,0.047139354050159454
RSPO1,WNT4,0.08876834809780121
RSPO1,WT1mKTS,0.040216971188783646
RSPO1,WT1pKTS,0.045305438339710236
SOX9,AMH,0.059191085398197174
SOX9,CBX2,0.047656796872615814
SOX9,CTNNB1,0.04070980101823807
SOX9,DHH,0.07477463781833649
SOX9,DKK1,0.0910000428557396
SOX9,DMRT1,0.07420830428600311
SOX9,FGF9,0.07715322822332382
SOX9,FOXL2,0.03978479281067848
SOX9,GATA4,0.036424554884433746
SOX9,NR0B1,0.038142427802085876
SOX9,NR5A1,0.06553399562835693
SOX9,PGD2,0.07907876372337341
SOX9,RSPO1,0.051366277039051056
SOX9,UGR,0.041663121432065964
SOX9,WNT4,0.06460898369550705
SOX9,WT1mKTS,0.03683042526245117
SOX9,WT1pKTS,0.03851054608821869
SRY,AMH,0.04134679585695267
SRY,CBX2,0.05472557619214058
SRY,CTNNB1,0.07252413034439087
SRY,DHH,0.0406380370259285
SRY,DKK1,0.08646831661462784
SRY,DMRT1,0.08655592054128647
SRY,FGF9,0.04214315116405487
SRY,FOXL2,0.06290414184331894
SRY,GATA4,0.03872678428888321
SRY,NR0B1,0.052432071417570114
SRY,NR5A1,0.07535915821790695
