Gene1	Gene2	EdgeWeight
DMRT1	DKK1	0.3451925208632915
WT1pKTS	FOXL2	0.3379430652684067
DKK1	DMRT1	0.3268455589317122
FOXL2	WT1pKTS	0.30171765593107497
PGD2	DHH	0.2530083241641097
DHH	FGF9	0.25268588027758104
FGF9	PGD2	0.2488367712114232
RSPO1	NR5A1	0.24320744798664526
PGD2	FGF9	0.24170960131406255
DHH	PGD2	0.2398236401435332
UGR	CBX2	0.238500848868855
CTNNB1	RSPO1	0.2372487003034901
FGF9	DHH	0.23671851101181102
RSPO1	WNT4	0.22778767064434535
DHH	AMH	0.2256279990522337
FOXL2	CTNNB1	0.2182959295811044
PGD2	AMH	0.2181838127953295
FGF9	AMH	0.21259469892622931
DKK1	SRY	0.20572884299554256
CBX2	UGR	0.19348606967994686
CTNNB1	FOXL2	0.19007792515108896
AMH	DHH	0.18687164537585285
NR5A1	RSPO1	0.1866415745508762
RSPO1	CTNNB1	0.18285964783353853
DMRT1	SRY	0.18039739307525327
WNT4	NR0B1	0.176042239098216
SRY	UGR	0.17464498917219004
FGF9	SOX9	0.17149144175044906
AMH	PGD2	0.1701767257563117
CTNNB1	WT1pKTS	0.16761514674470746
WNT4	RSPO1	0.16586326512850205
CTNNB1	WNT4	0.1647375950763371
PGD2	SOX9	0.16343154499492812
AMH	FGF9	0.1611959019742358
SRY	DMRT1	0.15561427295394176
SOX9	DKK1	0.15310345584927218
SRY	DKK1	0.1494693631963432
WT1pKTS	CTNNB1	0.14899542841848715
SOX9	DMRT1	0.14789716541114215
NR0B1	UGR	0.14619885921925854
DHH	SOX9	0.14343942921475847
NR5A1	FOXL2	0.13576401782730496
NR5A1	CBX2	0.1354853765970353
NR0B1	WNT4	0.13079116427110873
NR5A1	WT1pKTS	0.12704195501663446
FGF9	NR0B1	0.12504495147811426
AMH	NR0B1	0.12078335342530094
CTNNB1	NR5A1	0.11873588471593285
FOXL2	RSPO1	0.11435042950665165
FOXL2	NR5A1	0.11397159262633227
GATA4	WT1mKTS	0.11322771423881316
AMH	SOX9	0.11174127225297573
SOX9	SRY	0.11028083822646044
WT1mKTS	GATA4	0.10589512599720233
SOX9	FGF9	0.1045241507850113
SOX9	AMH	0.1041108059735632
WNT4	UGR	0.1038985117987158
NR5A1	CTNNB1	0.1038620669711327
DMRT1	CBX2	0.10119186524911232
SOX9	PGD2	0.09942240524294782
SRY	WT1pKTS	0.09895897218741156
DKK1	SOX9	0.0971917226288793
SOX9	DHH	0.09675258499259774
SRY	FOXL2	0.09309845810852678
SOX9	WNT4	0.08927821879596445
UGR	NR0B1	0.08868575341146362
DKK1	CBX2	0.08483277646862418
RSPO1	FOXL2	0.08275071711277385
NR0B1	AMH	0.08242568411574883
WT1pKTS	SRY	0.08241861294727905
NR0B1	FGF9	0.07949337648702359
RSPO1	WT1pKTS	0.07734303444133575
DHH	NR0B1	0.07726245287257051
WT1pKTS	NR5A1	0.07716537541185801
RSPO1	CBX2	0.07627050619253672
WNT4	CTNNB1	0.07310366594701652
DMRT1	SOX9	0.07293382521107733
PGD2	NR0B1	0.07228840978098637
NR0B1	PGD2	0.07204812037819934
NR0B1	NR5A1	0.0712727149128108
WT1pKTS	RSPO1	0.06993996511401368
WT1pKTS	WT1mKTS	0.06905712978284162
UGR	SRY	0.06885952044625349
WT1pKTS	GATA4	0.06870413905135822
RSPO1	NR0B1	0.0686010631810871
RSPO1	UGR	0.0685312782598095
NR0B1	DHH	0.0679287453788566
SRY	CTNNB1	0.06771316702466378
UGR	GATA4	0.06702617886067383
FOXL2	SRY	0.06667836297987383
NR5A1	WT1mKTS	0.06634350749168333
NR5A1	GATA4	0.0638281657554634
CTNNB1	UGR	0.06330431264116337
SRY	NR0B1	0.0618673608280009
CTNNB1	SRY	0.06146535719958013
CBX2	GATA4	0.061385770576826384
SOX9	NR5A1	0.05998198507622421
CTNNB1	CBX2	0.05934677167655746
NR0B1	GATA4	0.05780563397853832
DMRT1	CTNNB1	0.056788273847715724
CBX2	WT1mKTS	0.05659319555453012
UGR	WT1mKTS	0.05621259118573154
WNT4	SOX9	0.056095481700376496
PGD2	DMRT1	0.055734844794482666
CBX2	NR5A1	0.055572814885117006
DMRT1	UGR	0.055261831609799014
WNT4	GATA4	0.05438263700736631
NR5A1	SOX9	0.05381635963830368
