Gene1	Gene2	EdgeWeight
DKK1	DMRT1	180.95360016864632
DMRT1	DKK1	154.08505658033837
NR5A1	RSPO1	150.46308096521255
UGR	CBX2	132.3195442018301
WT1pKTS	FOXL2	127.71167010077556
FOXL2	RSPO1	125.86934826257395
FOXL2	WT1pKTS	121.96910984934976
SOX9	DKK1	120.90627244403814
PGD2	AMH	119.74572772539166
CTNNB1	RSPO1	117.59985404029374
AMH	FGF9	114.12588082200226
SRY	DKK1	109.74553954853266
DMRT1	SRY	106.54013787544024
RSPO1	NR5A1	105.39957942042601
RSPO1	WNT4	105.08562565313656
AMH	DHH	104.60569649134744
CBX2	UGR	101.85766452914808
PGD2	FGF9	98.89071708256287
CTNNB1	WT1pKTS	98.88738196372864
NR0B1	UGR	97.2618340176838
FGF9	AMH	95.88132670330843
FGF9	DHH	95.12186450303804
WNT4	RSPO1	93.39204816010536
WT1pKTS	NR5A1	93.18826763352386
CTNNB1	NR5A1	93.1605250762891
DHH	PGD2	92.14629633167787
WT1pKTS	CTNNB1	90.29117179726455
NR5A1	FOXL2	88.62009181657885
SOX9	FGF9	88.08310539230342
NR0B1	DHH	87.67933189664137
SRY	FOXL2	87.55607748930818
SRY	UGR	86.04823795038455
FGF9	NR0B1	83.60707333187206
NR0B1	WNT4	82.48110950224198
CTNNB1	WNT4	82.07670298153181
WT1pKTS	RSPO1	81.79394879948838
NR0B1	AMH	80.91343434444839
DKK1	SRY	80.20760815567391
SOX9	WNT4	80.05356573111331
FOXL2	CTNNB1	76.77980674480601
SOX9	SRY	76.53312536472794
SRY	DMRT1	75.90458943341703
DMRT1	CBX2	75.24490953376
SRY	WT1pKTS	74.37107211904213
NR0B1	NR5A1	72.35393290377719
SOX9	DMRT1	72.06717280943391
DMRT1	SOX9	71.83915971987442
RSPO1	FOXL2	71.58635940340301
AMH	PGD2	71.00674962570062
WNT4	NR0B1	70.8762564936372
FOXL2	SRY	70.31496270303215
CTNNB1	FOXL2	70.17636778236222
PGD2	DHH	69.48344762476427
GATA4	WT1mKTS	69.41814721362731
CBX2	DKK1	69.19899132459736
SOX9	PGD2	68.85418422837623
SOX9	DHH	68.18994866351035
NR5A1	WT1pKTS	67.65150123933414
RSPO1	WT1pKTS	67.51714437013277
NR0B1	RSPO1	66.0966566868276
NR0B1	PGD2	65.66693654603992
FOXL2	NR5A1	65.29150320552353
DHH	NR0B1	63.83114412523629
CTNNB1	DKK1	62.80514415176579
DHH	AMH	62.54420276276532
UGR	SRY	62.02654256834847
NR0B1	FGF9	61.86653644971325
SRY	CTNNB1	61.4709137129364
WNT4	UGR	61.37636928375479
FGF9	PGD2	61.34500881956651
CTNNB1	SRY	60.535863623178045
FGF9	SOX9	60.161292990743426
WNT4	CTNNB1	60.006022469154786
WT1mKTS	GATA4	59.937290045378134
DKK1	UGR	59.117358446609195
RSPO1	CTNNB1	59.05951971665355
WT1pKTS	SRY	58.86446736093932
DMRT1	DHH	58.48051443854903
UGR	NR0B1	58.09924614348205
CBX2	NR5A1	57.92312680202402
SOX9	AMH	57.84906318398079
DHH	FGF9	56.15299076740428
NR5A1	CBX2	56.08363390855778
SRY	NR5A1	55.35912967949352
AMH	NR0B1	54.63808566576586
RSPO1	UGR	54.33741009345479
CBX2	RSPO1	53.68519956179797
WT1pKTS	DKK1	52.94822901061038
SRY	RSPO1	52.537272813551525
DKK1	CBX2	52.21728073887208
RSPO1	NR0B1	51.98961464579054
PGD2	NR5A1	51.8142774332298
CTNNB1	CBX2	51.74900157047697
DKK1	WNT4	51.61155351991316
PGD2	NR0B1	51.497802600395005
SOX9	CBX2	51.442674158336956
FGF9	NR5A1	50.66803009763315
SOX9	RSPO1	50.062181801493004
WT1pKTS	DMRT1	50.04766675336221
AMH	SOX9	48.77559910169683
NR5A1	CTNNB1	48.65922322116926
UGR	NR5A1	48.358011805387896
DHH	DKK1	48.014490194698716
DKK1	SOX9	47.34494580703859
DMRT1	WNT4	47.32084941929401
CBX2	DMRT1	46.943089043128396
SRY	CBX2	46.375661272123324
PGD2	SOX9	45.73020986673618
UGR	WNT4	45.233498902955674
DMRT1	UGR	45.20323430952198
DHH	NR5A1	44.55892760744096
DKK1	DHH	44.398413410304954
WNT4	NR5A1	44.05699306137227
DMRT1	CTNNB1	43.96412386895511
NR5A1	WNT4	43.770465119917716
FGF9	DKK1	43.43600039781957
WNT4	SOX9	43.181631215190535
DHH	DMRT1	43.01066733111382
UGR	RSPO1	42.20468321474122
CTNNB1	NR0B1	42.09218454349282
NR0B1	CTNNB1	41.26131044704294
DKK1	WT1pKTS	41.20378138237616
UGR	DKK1	40.985678730613934
WNT4	DKK1	40.97846216920888
DHH	SOX9	40.45092774308731
AMH	DMRT1	39.94950829079178
WNT4	WT1pKTS	39.77449639397502
CTNNB1	UGR	39.45154896398058
FOXL2	WNT4	39.26630774523448
SOX9	UGR	38.972814710602215
AMH	DKK1	38.94345830628458
DMRT1	WT1pKTS	38.87752401201008
FOXL2	CBX2	38.8209778244516
FGF9	DMRT1	38.705954768450276
DHH	WNT4	38.45793304911786
CTNNB1	DMRT1	38.30363240114851
FGF9	WNT4	38.102756466191
DMRT1	FOXL2	38.028947265514404
RSPO1	SRY	36.96487708996986
DKK1	FGF9	36.68443368295791
PGD2	WNT4	36.6498637190538
WT1pKTS	CBX2	36.59156312800773
CBX2	WT1pKTS	36.53644588850798
FOXL2	DKK1	36.382659763972015
WNT4	AMH	36.35980289090443
DKK1	CTNNB1	36.126289767052214
DKK1	FOXL2	35.43326759610421
FGF9	SRY	35.202829750444444
NR5A1	NR0B1	35.01322658226457
DKK1	AMH	34.89844495829092
PGD2	SRY	34.55050734228323
PGD2	DMRT1	34.33534691542008
SOX9	NR5A1	34.18031468448846
WNT4	FGF9	34.037491120115575
DMRT1	PGD2	33.559973317147424
NR5A1	SOX9	33.40977165880885
RSPO1	CBX2	33.09951161545035
DMRT1	FGF9	32.84528199406938
WNT4	DHH	32.789563964893034
AMH	RSPO1	32.66242773007971
DKK1	NR5A1	32.63525777234652
SRY	AMH	32.215574025236826
UGR	DMRT1	32.14010833136001
AMH	NR5A1	32.01101686031661
PGD2	DKK1	31.870844397301173
SRY	WNT4	31.65701393508347
FGF9	UGR	31.47720583339365
SOX9	NR0B1	31.206495337258385
SRY	SOX9	31.193397459918266
WT1pKTS	GATA4	31.171212005472146
WNT4	DMRT1	31.13154049462328
NR0B1	SOX9	30.776369260610004
DKK1	PGD2	30.642289226282436
DKK1	RSPO1	30.14636944636745
NR0B1	CBX2	30.089903318787094
NR5A1	FGF9	29.89536169001412
NR5A1	UGR	29.370466313432964
RSPO1	SOX9	29.06689343350156
DHH	UGR	28.826629485096777
WT1pKTS	UGR	28.822189902783236
CTNNB1	SOX9	28.396987779697184
NR5A1	DHH	28.276652091417365
DMRT1	AMH	27.75017436647253
SRY	NR0B1	27.3923816392142
AMH	WNT4	27.13570028812123
RSPO1	FGF9	27.059585978167306
CBX2	SOX9	26.83974621169149
CBX2	SRY	26.787085995901705
SOX9	WT1pKTS	26.715744982560796
NR5A1	SRY	26.590419624813
WNT4	CBX2	26.383585108590932
SRY	PGD2	25.95197621530539
CBX2	FOXL2	25.783045261322865
DMRT1	RSPO1	25.714370502798246
DMRT1	NR5A1	25.380832172221442
DHH	RSPO1	25.308554197133308
RSPO1	DKK1	24.96634525744703
RSPO1	DMRT1	24.72678130381482
FOXL2	DMRT1	24.66314822669473
CBX2	CTNNB1	24.654405828833017
SRY	FGF9	24.605046558532038
PGD2	RSPO1	24.31085090390863
AMH	UGR	24.23460526514554
NR0B1	DKK1	24.02131889483531
DKK1	NR0B1	23.833472129885212
AMH	SRY	23.398458356287986
SOX9	CTNNB1	23.2855702647681
AMH	CBX2	23.074485820733017
PGD2	CBX2	22.995701929891176
UGR	GATA4	22.729481426223213
WT1pKTS	WNT4	22.575749731884752
WNT4	PGD2	22.290732526890462
FGF9	RSPO1	22.236374085527054
NR0B1	SRY	22.019539501915556
FOXL2	UGR	22.005592276130503
UGR	CTNNB1	21.87917827638377
NR0B1	GATA4	21.83896393024012
NR0B1	WT1pKTS	21.78925215832713
WT1pKTS	WT1mKTS	21.30754157147388
CBX2	GATA4	20.931587387805244
CBX2	AMH	20.615650121921462
DHH	SRY	20.4677324287803
WNT4	SRY	20.380067865514405
CBX2	NR0B1	20.241560402616393
RSPO1	PGD2	19.6484845810482
DHH	CBX2	19.644691477557696
NR5A1	DKK1	18.613235210169343
WNT4	FOXL2	17.830647358592554
RSPO1	DHH	17.62954449284069
CTNNB1	DHH	17.609358273258536
WT1pKTS	NR0B1	17.59582150340526
GATA4	UGR	17.440502813617588
NR5A1	PGD2	17.24504431623257
SRY	DHH	17.03618133067312
CBX2	WNT4	16.89997679276005
PGD2	FOXL2	16.738968818058133
CBX2	DHH	16.653436984347206
CTNNB1	PGD2	15.927443155178931
PGD2	CTNNB1	15.857646871620426
NR0B1	FOXL2	15.814265881200747
UGR	SOX9	15.149197641600153
SRY	GATA4	14.991252564900341
NR5A1	AMH	14.922157590614118
DMRT1	NR0B1	14.759847518950709
CTNNB1	AMH	14.671631432553616
FOXL2	NR0B1	14.519462593936565
FGF9	WT1pKTS	14.486938707484656
FGF9	CBX2	14.265791306173384
NR5A1	DMRT1	14.255550538767054
WT1pKTS	FGF9	13.666213483262688
WT1mKTS	UGR	13.442684687843128
WNT4	GATA4	13.369744989380713
UGR	WT1mKTS	12.917108216948604
CBX2	WT1mKTS	12.781610319895194
PGD2	UGR	12.753651117416736
RSPO1	AMH	12.720864580408609
CTNNB1	GATA4	12.656955264693387
CBX2	FGF9	12.61727574803434
NR5A1	GATA4	12.36775028553274
NR0B1	DMRT1	12.102814775843804
PGD2	WT1pKTS	12.012720344270999
NR0B1	WT1mKTS	11.970464142738802
FOXL2	AMH	11.502469624961815
UGR	WT1pKTS	11.0721963649032
UGR	PGD2	11.04235936342293
NR5A1	WT1mKTS	10.862472115659967
CBX2	PGD2	10.722716969702024
SOX9	FOXL2	10.212254477320776
UGR	DHH	10.206486163301406
UGR	FOXL2	10.040562093820117
DHH	CTNNB1	9.943958545892741
RSPO1	GATA4	9.723974143853779
PGD2	GATA4	9.290836340639233
WT1pKTS	DHH	9.044722297044892
FGF9	CTNNB1	8.84801035366006
DMRT1	GATA4	8.805677801090118
SOX9	GATA4	8.22850839516297
DKK1	GATA4	8.178569558597129
AMH	CTNNB1	8.1341277871835
FOXL2	SOX9	7.7325128632395215
WT1mKTS	WT1pKTS	7.704231132869254
DHH	FOXL2	7.591240881146397
SRY	WT1mKTS	7.581639058200859
FGF9	FOXL2	7.501576674609543
AMH	GATA4	7.492300172662701
CTNNB1	FGF9	7.349899135714535
WT1pKTS	AMH	7.339289857917949
WT1pKTS	PGD2	7.315598904243152
CTNNB1	WT1mKTS	7.199820186871812
DHH	GATA4	6.997926886386577
DHH	WT1pKTS	6.7361413648297725
RSPO1	WT1mKTS	6.728719514023621
GATA4	WT1pKTS	6.672343600073174
WNT4	WT1mKTS	6.64896565948631
FOXL2	FGF9	6.558402716491172
WT1pKTS	SOX9	6.519706832982008
FGF9	GATA4	6.469995974653091
GATA4	NR5A1	6.404173941537914
AMH	FOXL2	6.251593368869412
UGR	FGF9	6.12317868517426
AMH	WT1pKTS	6.021974126224331
WT1mKTS	CBX2	5.97050591013615
DMRT1	WT1mKTS	5.960260840748504
FOXL2	GATA4	5.817972827328334
DKK1	WT1mKTS	5.788103930576956
GATA4	WNT4	5.631537746042318
GATA4	CBX2	5.630577176263684
DHH	WT1mKTS	5.582245109761602
FOXL2	WT1mKTS	5.52411172880561
AMH	WT1mKTS	5.501708577514579
UGR	AMH	5.4733038802799445
FGF9	WT1mKTS	5.413962215778869
GATA4	NR0B1	5.3640180522192615
FOXL2	DHH	5.295162069058512
WT1mKTS	NR5A1	5.2560998429676795
SOX9	WT1mKTS	5.0099561014807135
WT1mKTS	WNT4	4.989789696406751
PGD2	WT1mKTS	4.8031634964068
GATA4	RSPO1	4.731344492520818
WT1mKTS	NR0B1	4.442306690577647
GATA4	SRY	4.371656834608527
WT1mKTS	RSPO1	4.185434335579475
GATA4	DMRT1	3.2749067187162866
WT1mKTS	SRY	3.2441175581408825
FOXL2	PGD2	3.0912962276936606
GATA4	DKK1	2.978470781947081
GATA4	AMH	2.526573347857039
WT1mKTS	DMRT1	2.4839216952675525
GATA4	CTNNB1	2.159084135610692
WT1mKTS	DKK1	2.1198028358196703
WT1mKTS	FOXL2	2.103157431004174
GATA4	FOXL2	2.0199063000088917
WT1mKTS	CTNNB1	1.6196361910128227
GATA4	SOX9	1.4122550891635448
GATA4	FGF9	1.3536127222077716
GATA4	DHH	1.280762907673367
WT1mKTS	DHH	1.2189123973364848
WT1mKTS	FGF9	1.084985971272766
WT1mKTS	AMH	1.07030860268622
WT1mKTS	SOX9	1.0193953244200995
GATA4	PGD2	0.9134660626807962
WT1mKTS	PGD2	0.6294435828109435
