Gene1,Gene2,EdgeWeight
AMH,CTNNB1,0.04408171400427818
AMH,DHH,0.10212721675634384
AMH,DKK1,0.04681970924139023
AMH,DMRT1,0.05191659554839134
AMH,FGF9,0.10054759681224823
AMH,FOXL2,0.043597303330898285
AMH,GATA4,0.03955349698662758
AMH,NR0B1,0.05869840085506439
AMH,NR5A1,0.04187025502324104
AMH,PGD2,0.10544439405202866
AMH,RSPO1,0.04268112778663635
AMH,SOX9,0.05598146468400955
AMH,SRY,0.04497683048248291
AMH,UGR,0.050368573516607285
AMH,WNT4,0.04248104244470596
AMH,WT1mKTS,0.04052232578396797
AMH,WT1pKTS,0.04204928129911423
CBX2,AMH,0.03963533043861389
CBX2,DHH,0.03894397243857384
CBX2,DKK1,0.06983476132154465
CBX2,DMRT1,0.07004749029874802
CBX2,FGF9,0.04094967246055603
CBX2,FOXL2,0.039057936519384384
CBX2,GATA4,0.05268755927681923
CBX2,NR0B1,0.04060019552707672
CBX2,NR5A1,0.07661159336566925
CBX2,PGD2,0.044322893023490906
CBX2,RSPO1,0.06726686656475067
CBX2,SOX9,0.0652763694524765
CBX2,SRY,0.04877493157982826
CBX2,UGR,0.08295537531375885
CBX2,WNT4,0.04106363281607628
CBX2,WT1mKTS,0.05595442280173302
CBX2,WT1pKTS,0.06785184890031815
CTNNB1,AMH,0.0377981998026371
CTNNB1,CBX2,0.0545305497944355
CTNNB1,DKK1,0.0698329359292984
CTNNB1,DMRT1,0.0741053968667984
CTNNB1,FGF9,0.03704833984375
CTNNB1,FOXL2,0.0907069519162178
CTNNB1,GATA4,0.0357491634786129
CTNNB1,NR0B1,0.0380423404276371
CTNNB1,NR5A1,0.0667114332318306
CTNNB1,PGD2,0.0380423404276371
CTNNB1,RSPO1,0.0965489000082016
CTNNB1,SOX9,0.03826904296875
CTNNB1,SRY,0.0749773383140564
CTNNB1,UGR,0.0676007941365242
CTNNB1,WNT4,0.0426897369325161
CTNNB1,WT1mKTS,0.0376412533223629
CTNNB1,WT1pKTS,0.0618111714720726
DHH,AMH,0.1010289341211319
DHH,CBX2,0.04205189645290375
DHH,CTNNB1,0.04394784942269325
DHH,DMRT1,0.04445911943912506
DHH,FGF9,0.10958203673362732
DHH,FOXL2,0.04436326026916504
DHH,GATA4,0.04037961736321449
DHH,NR0B1,0.04776107147336006
DHH,NR5A1,0.043308768421411514
DHH,PGD2,0.10732393711805344
DHH,RSPO1,0.044576287269592285
DHH,SOX9,0.06898938864469528
DHH,SRY,0.04380938410758972
DHH,UGR,0.04401175677776337
DHH,WNT4,0.0465361550450325
DHH,WT1mKTS,0.04007072374224663
DHH,WT1pKTS,0.04200929403305054
DKK1,AMH,0.044652309268713
DKK1,CBX2,0.05209435895085335
DKK1,CTNNB1,0.05031215399503708
DKK1,DHH,0.04659653455018997
DKK1,FGF9,0.04788188263773918
DKK1,FOXL2,0.04624008759856224
DKK1,GATA4,0.041498348116874695
DKK1,NR0B1,0.04263247922062874
DKK1,NR5A1,0.0478602759540081
DKK1,PGD2,0.04963167756795883
DKK1,RSPO1,0.044339071959257126
DKK1,SOX9,0.08731719106435776
DKK1,SRY,0.0869283378124237
DKK1,UGR,0.04620768874883652
DKK1,WNT4,0.059298787266016006
DKK1,WT1mKTS,0.04330215975642204
DKK1,WT1pKTS,0.04420945793390274
DMRT1,AMH,0.054717667400836945
DMRT1,CBX2,0.05498392507433891
DMRT1,CTNNB1,0.05342436954379082
DMRT1,DHH,0.047528479248285294
DMRT1,DKK1,0.10878867655992508
DMRT1,FOXL2,0.04671066254377365
DMRT1,GATA4,0.042963918298482895
DMRT1,NR0B1,0.04478974640369415
DMRT1,NR5A1,0.04756651818752289
DMRT1,PGD2,0.047709159553050995
DMRT1,RSPO1,0.0469103641808033
DMRT1,SOX9,0.08296088129281998
DMRT1,SRY,0.08794385194778442
DMRT1,UGR,0.04716711863875389
DMRT1,WNT4,0.04866962507367134
DMRT1,WT1mKTS,0.042963918298482895
DMRT1,WT1pKTS,0.04494189843535423
FGF9,AMH,0.09725410491228104
FGF9,CBX2,0.04360857233405113
FGF9,CTNNB1,0.04398590326309204
FGF9,DHH,0.1090807244181633
FGF9,DKK1,0.049581170082092285
FGF9,DMRT1,0.0462067611515522
FGF9,GATA4,0.04168957844376564
FGF9,NR0B1,0.049505703151226044
FGF9,NR5A1,0.04457885026931763
FGF9,PGD2,0.11054692417383194
FGF9,RSPO1,0.044783689081668854
FGF9,SOX9,0.05203920230269432
FGF9,SRY,0.046088170260190964
FGF9,UGR,0.04416917636990547
FGF9,WNT4,0.045700062066316605
FGF9,WT1mKTS,0.042077694088220596
FGF9,WT1pKTS,0.04380262643098831
FOXL2,AMH,0.045292310416698456
FOXL2,CBX2,0.045987848192453384
FOXL2,CTNNB1,0.0929640680551529
FOXL2,DHH,0.04466083645820618
FOXL2,DKK1,0.046363066881895065
FOXL2,DMRT1,0.04736977070569992
FOXL2,FGF9,0.04488047584891319
FOXL2,NR0B1,0.04661932215094566
FOXL2,NR5A1,0.05826042219996452
FOXL2,PGD2,0.04448694735765457
FOXL2,RSPO1,0.07642676681280136
FOXL2,SOX9,0.0444137342274189
FOXL2,SRY,0.048175133764743805
FOXL2,UGR,0.05023428797721863
FOXL2,WNT4,0.04952959343791008
FOXL2,WT1mKTS,0.05653073638677597
FOXL2,WT1pKTS,0.10700296610593796
GATA4,AMH,0.05349330976605415
GATA4,CBX2,0.05648647993803024
GATA4,CTNNB1,0.054094504565000534
GATA4,DHH,0.055450379848480225
GATA4,DKK1,0.053595639765262604
GATA4,DMRT1,0.053659599274396896
GATA4,FGF9,0.05335260555148125
GATA4,FOXL2,0.05626903101801872
GATA4,NR5A1,0.0554375946521759
GATA4,PGD2,0.05409450829029083
GATA4,RSPO1,0.05372355505824089
GATA4,SOX9,0.054068922996520996
GATA4,SRY,0.05571899563074112
GATA4,UGR,0.06758934259414673
GATA4,WNT4,0.05396658927202225
GATA4,WT1mKTS,0.06341937184333801
GATA4,WT1pKTS,0.05394100397825241
NR0B1,AMH,0.08223450183868408
NR0B1,CBX2,0.05442443862557411
NR0B1,CTNNB1,0.0430612787604332
NR0B1,DHH,0.06150656193494797
NR0B1,DKK1,0.037935733795166016
NR0B1,DMRT1,0.03813640773296356
NR0B1,FGF9,0.07358043640851974
NR0B1,FOXL2,0.04305291548371315
NR0B1,GATA4,0.03547747805714607
NR0B1,PGD2,0.07809559255838394
NR0B1,RSPO1,0.04163983836770058
NR0B1,SOX9,0.03927356004714966
NR0B1,SRY,0.04694933816790581
NR0B1,UGR,0.08153214305639267
NR0B1,WNT4,0.08453387767076492
NR0B1,WT1mKTS,0.04383053258061409
NR0B1,WT1pKTS,0.03605441376566887
NR5A1,AMH,0.04088427126407623
NR5A1,CBX2,0.06793569028377533
NR5A1,CTNNB1,0.05023510009050369
NR5A1,DHH,0.04734566807746887
NR5A1,DKK1,0.052222058176994324
NR5A1,DMRT1,0.05000758171081543
NR5A1,FGF9,0.05122857540845871
NR5A1,FOXL2,0.07021082937717438
NR5A1,GATA4,0.047906871885061264
NR5A1,NR0B1,0.06603974103927612
NR5A1,RSPO1,0.0883512794971466
NR5A1,SOX9,0.0668967068195343
NR5A1,SRY,0.04682997241616249
NR5A1,UGR,0.04141514003276825
NR5A1,WNT4,0.04645836353302002
NR5A1,WT1mKTS,0.04202942177653313
NR5A1,WT1pKTS,0.07583041489124298
PGD2,AMH,0.09747695177793503
PGD2,CBX2,0.04481891170144081
PGD2,CTNNB1,0.043999623507261276
PGD2,DHH,0.10017687827348709
PGD2,DKK1,0.04849641025066376
PGD2,DMRT1,0.048589516431093216
PGD2,FGF9,0.10131272673606873
PGD2,FOXL2,0.044995807111263275
PGD2,GATA4,0.04221208021044731
PGD2,NR0B1,0.05095428600907326
PGD2,NR5A1,0.043999623507261276
PGD2,SOX9,0.06293641030788422
PGD2,SRY,0.04595474898815155
PGD2,UGR,0.04534028097987175
PGD2,WNT4,0.0458802655339241
PGD2,WT1mKTS,0.04283585399389267
PGD2,WT1pKTS,0.044548917561769485
RSPO1,AMH,0.042367566376924515
RSPO1,CBX2,0.07080540060997009
RSPO1,CTNNB1,0.1083303913474083
RSPO1,DHH,0.042210716754198074
RSPO1,DKK1,0.048072777688503265
RSPO1,DMRT1,0.05177822336554527
RSPO1,FGF9,0.0419558510184288
RSPO1,FOXL2,0.04901384189724922
RSPO1,GATA4,0.0399070680141449
RSPO1,NR0B1,0.04205387458205223
RSPO1,NR5A1,0.10770302265882492
RSPO1,PGD2,0.04136768355965614
RSPO1,SRY,0.04152452573180199
RSPO1,UGR,0.0452495813369751
RSPO1,WNT4,0.09700819849967957
RSPO1,WT1mKTS,0.04025997221469879
RSPO1,WT1pKTS,0.04256362095475197
SOX9,AMH,0.06206037849187851
SOX9,CBX2,0.0577949620783329
SOX9,CTNNB1,0.03696109354496002
SOX9,DHH,0.0811552181839943
SOX9,DKK1,0.08595702797174454
SOX9,DMRT1,0.08708178251981735
SOX9,FGF9,0.06786582618951797
SOX9,FOXL2,0.036286238580942154
SOX9,GATA4,0.0328168123960495
SOX9,NR0B1,0.035888247191905975
SOX9,NR5A1,0.07072096318006516
SOX9,PGD2,0.07662158459424973
SOX9,RSPO1,0.045985061675310135
SOX9,UGR,0.04103615880012512
SOX9,WNT4,0.07109299302101135
SOX9,WT1mKTS,0.03416651114821434
SOX9,WT1pKTS,0.03634680435061455
SRY,AMH,0.040132731199264526
SRY,CBX2,0.051100168377161026
SRY,CTNNB1,0.07125404477119446
SRY,DHH,0.04066549986600876
SRY,DKK1,0.08519737422466278
SRY,DMRT1,0.08738173544406891
SRY,FGF9,0.04122871160507202
SRY,FOXL2,0.07969465106725693
SRY,GATA4,0.04122110828757286
SRY,NR0B1,0.048284102231264114
SRY,NR5A1,0.07083544880151749
