Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	0.3428561731959018
Cebpa	Gfi1	0.3052980856571204
Gata2	Cebpa	0.23220316501797003
EgrNab	cJun	0.2291205159611173
cJun	Gfi1	0.21507676812147145
Gata1	Fog1	0.1853542280497404
Gata2	Gata1	0.18447688610457674
EgrNab	Cebpa	0.18039785082816615
Pu1	Cebpa	0.1769443035039848
Eklf	Fog1	0.1750016224235176
Fog1	Scl	0.17286135384652146
Scl	Fog1	0.17133469575504495
cJun	EgrNab	0.16870088702694772
Fli1	Fog1	0.1600148020541998
Fli1	Scl	0.15798585832332734
Gata1	Scl	0.15416213246820154
Scl	Gfi1	0.1521921880475461
Eklf	Pu1	0.14709365860678394
Cebpa	cJun	0.13681237518035258
Gata1	Cebpa	0.13479679520174762
Fog1	Pu1	0.1315436244994303
Fog1	Fli1	0.13103561823475005
Fli1	Eklf	0.1282256222584878
Pu1	Scl	0.12677357904751518
Gfi1	cJun	0.1258310853655584
Pu1	cJun	0.12554454748191518
EgrNab	Gfi1	0.12538409244636647
Gata2	Gfi1	0.1177276377390819
Pu1	Gata2	0.11761356245361748
Scl	Cebpa	0.11744228730382268
Eklf	EgrNab	0.11668594137702287
EgrNab	Scl	0.1140144235064585
Pu1	Gfi1	0.11282435712909725
Scl	Gata1	0.11186405947521214
Eklf	Cebpa	0.1116544211710339
Eklf	Scl	0.1114755849615327
cJun	Fog1	0.11073774822262114
Gfi1	EgrNab	0.110603478020343
cJun	Gata2	0.11033376842243413
Scl	Eklf	0.1084564666469552
Fog1	Gfi1	0.10614630422902008
Cebpa	Gata2	0.10387946466646196
Cebpa	Eklf	0.09994920129308746
Gata2	Scl	0.09927274427842386
EgrNab	Fog1	0.09856628149776246
Gata1	Pu1	0.09780579010061127
Fli1	Cebpa	0.09773351751572913
cJun	Eklf	0.09704631546861313
Gfi1	Pu1	0.0947773812680463
Fli1	Gata1	0.09193208002719816
Gata2	Fli1	0.09173612351932936
Fog1	Gata2	0.09168974121030576
Scl	Pu1	0.0913316256386169
Pu1	Fog1	0.09094317932159704
Gata1	Eklf	0.08970142157879832
Fog1	Eklf	0.08945718537387562
Fog1	cJun	0.0893346350841458
Scl	cJun	0.08911394704671226
Pu1	Gata1	0.08751083012515137
Gfi1	Gata2	0.0868594270065723
cJun	Pu1	0.08571288623178556
Gata2	Fog1	0.08517033893299197
Gata1	Gata2	0.08450193662518476
Fli1	cJun	0.08420265054549221
Gata1	cJun	0.08356116318549656
Gfi1	Scl	0.08344028088030046
Fli1	Gfi1	0.08330875283342808
Eklf	Gata2	0.08327725905159603
Cebpa	Pu1	0.0803593399471474
Gata2	cJun	0.07979131856418632
Scl	Fli1	0.07944483945952255
Fog1	EgrNab	0.07940430088236168
EgrNab	Eklf	0.07620936572650809
cJun	Gata1	0.07451518841680972
cJun	Cebpa	0.07278238988035399
Eklf	Gfi1	0.07256419959059589
Fli1	EgrNab	0.0711278712490474
Cebpa	Fli1	0.07111105752835749
EgrNab	Gata2	0.06978127223784572
Gata1	Fli1	0.06851264416844527
Cebpa	Scl	0.06764142607961303
Eklf	Gata1	0.067337597597373
Fog1	Gata1	0.06483786332889735
Fli1	Pu1	0.06470304999211526
Pu1	EgrNab	0.06450994731846395
Cebpa	Fog1	0.06295585918455833
Eklf	Fli1	0.060817774747825876
Fli1	Gata2	0.060765795200974776
Pu1	Fli1	0.05919662005501693
Gata1	Gfi1	0.05914896229175887
Gfi1	Fli1	0.056597416085891784
Gata2	Eklf	0.05655093174429202
Eklf	cJun	0.05409194047271813
Scl	EgrNab	0.049295152011794616
Gfi1	Fog1	0.04905410036726119
Cebpa	EgrNab	0.04492868863423353
Fog1	Cebpa	0.043689373310691886
Gata1	EgrNab	0.04245492633001538
EgrNab	Fli1	0.04157858475497468
EgrNab	Pu1	0.039176211051885
cJun	Scl	0.0383902744464185
Pu1	Eklf	0.03813907356364084
Gata2	EgrNab	0.0334755720351372
Gfi1	Eklf	0.032531395993231536
Scl	Gata2	0.029524738614772582
Cebpa	Gata1	0.027064501829067788
cJun	Fli1	0.02670377376254472
EgrNab	Gata1	0.025771401988915543
Gata2	Pu1	0.019595282064010604
Gfi1	Gata1	0.017449261816893262
