Gene1,Gene2,EdgeWeight
Gata1,Gata2,0.9975488781929016
Fog1,Gata2,0.9973223805427551
Fli1,Gata2,0.9966779947280884
Eklf,Fli1,0.9964648485183716
Eklf,Gata2,0.9962072372436523
Fli1,Eklf,0.9955103397369385
Gata1,Fli1,0.9928275942802429
Gfi1,cJun,0.9927459359169006
Gata1,Eklf,0.9911676645278931
Fli1,Gata1,0.9908992052078247
Eklf,Gata1,0.9901974201202393
Pu1,cJun,0.9892402291297913
Fog1,Fli1,0.9890880584716797
Gfi1,Pu1,0.9887646436691284
Gfi1,EgrNab,0.9883651733398438
Pu1,Scl,0.9860976934432983
Fog1,Cebpa,0.9860152006149292
Fog1,Eklf,0.985865592956543
Pu1,EgrNab,0.9832468628883362
Fog1,Gata1,0.9830681681632996
Gata1,Cebpa,0.9798449873924255
Gfi1,Scl,0.9794559478759766
Fli1,Fog1,0.9782044887542725
Gata2,Eklf,0.9749661684036255
Eklf,Fog1,0.9734444618225098
Gata1,Fog1,0.9730039834976196
Gata2,Fli1,0.9705851078033447
cJun,Pu1,0.9674747586250305
Pu1,Cebpa,0.9648662805557251
cJun,EgrNab,0.955601692199707
cJun,Gfi1,0.9514039754867554
Pu1,Gfi1,0.949044406414032
Fli1,Cebpa,0.9288526177406311
cJun,Scl,0.9146478772163391
Gata2,Gata1,0.9120640754699707
Eklf,Cebpa,0.9031311273574829
Gfi1,Cebpa,0.9024795889854431
Gata2,Fog1,0.7955923676490784
Scl,Cebpa,0.7865697741508484
cJun,Cebpa,0.7208589315414429
Fog1,Scl,0.7156569361686707
Gata1,Scl,0.6247281432151794
Pu1,Fog1,0.5959994196891785
Cebpa,Scl,0.5278649926185608
Cebpa,Gfi1,0.522932231426239
Gfi1,Fog1,0.4877084195613861
Fli1,Scl,0.48582178354263306
Cebpa,Pu1,0.46375972032546997
Gata2,Cebpa,0.42725175619125366
Cebpa,cJun,0.4270356595516205
Scl,Gata2,0.38179177045822144
Eklf,Scl,0.38066238164901733
Cebpa,EgrNab,0.3621860146522522
Scl,Gfi1,0.35940083861351013
Scl,Pu1,0.3350754976272583
Pu1,Gata1,0.3332882821559906
Scl,cJun,0.30146417021751404
Scl,EgrNab,0.2540551424026489
Scl,Fog1,0.2537442743778229
Pu1,Gata2,0.2379278838634491
Scl,Gata1,0.22604882717132568
Gfi1,Gata1,0.22473973035812378
Scl,Fli1,0.20613358914852142
Scl,Eklf,0.2037287950515747
Cebpa,Fog1,0.1731879711151123
Cebpa,Gata2,0.1648041158914566
Gata2,Scl,0.1560203731060028
Cebpa,Gata1,0.14106275141239166
cJun,Fog1,0.12068886309862137
Gfi1,Gata2,0.1176515594124794
Cebpa,Eklf,0.11733938753604889
Cebpa,Fli1,0.11047389358282089
Fog1,EgrNab,0.0673130676150322
Fog1,cJun,0.06454262882471085
Pu1,Fli1,0.06398551911115646
Fog1,Pu1,0.06379135698080063
Gata2,Gfi1,0.05848615989089012
Fli1,EgrNab,0.0490863211452961
Pu1,Eklf,0.04877002537250519
Gata1,EgrNab,0.046074941754341125
Fli1,Pu1,0.04554426297545433
cJun,Gata1,0.04519622400403023
Gata1,Pu1,0.044499050825834274
Fog1,Gfi1,0.04207630082964897
Gata1,cJun,0.04161231219768524
Fli1,cJun,0.0415828675031662
Gfi1,Fli1,0.03962024673819542
Fli1,Gfi1,0.0378776378929615
Gata2,Pu1,0.034163784235715866
Gata1,Gfi1,0.03332497179508209
Gfi1,Eklf,0.032596781849861145
Eklf,Pu1,0.029220227152109146
Eklf,Gfi1,0.028828248381614685
Eklf,EgrNab,0.028776636347174644
Gata2,EgrNab,0.026752378791570663
Eklf,cJun,0.024649638682603836
Gata2,cJun,0.02458428405225277
cJun,Gata2,0.022271819412708282
cJun,Fli1,0.010175121948122978
cJun,Eklf,0.009170311503112316
