Gene1	Gene2	EdgeWeight
Scl	Fog1	0.1858166754245758
Fog1	Scl	0.1784791201353073
EgrNab	cJun	0.1736898422241211
Pu1	Gata1	0.17153730988502502
Gata1	Fog1	0.1622152328491211
Gata1	Pu1	0.16192544996738434
Gata1	Scl	0.1603638082742691
Gfi1	Cebpa	0.1576731652021408
cJun	EgrNab	0.1567392349243164
Eklf	Scl	0.15082211792469025
Cebpa	Gfi1	0.14699377119541168
Eklf	Fog1	0.1460338532924652
Scl	Gata1	0.14362066984176636
EgrNab	Gfi1	0.14037586748600006
Fli1	Scl	0.13391438126564026
Cebpa	Scl	0.1332509070634842
Fli1	Eklf	0.12853184342384338
Gfi1	EgrNab	0.1266283541917801
Gata2	Pu1	0.12426061183214188
Fli1	Gata1	0.1231781467795372
Eklf	Gata2	0.12259571999311447
EgrNab	Pu1	0.12196964770555495
Fli1	Gata2	0.119671568274498
Pu1	Gata2	0.11918586492538452
Cebpa	Fog1	0.11530453711748125
Gfi1	cJun	0.11517687141895296
cJun	Scl	0.11473213881254195
Gata2	Fli1	0.11146844923496246
cJun	Fog1	0.11143062263727188
cJun	Gfi1	0.10913322120904922
Eklf	Gata1	0.1088639572262764
Gata2	Cebpa	0.10833859443664552
Gata2	Eklf	0.10713259875774384
Pu1	Gfi1	0.10683181881904602
Gata2	Fog1	0.10581175237894057
Cebpa	Gata1	0.1053748056292534
Pu1	Cebpa	0.10300948470830916
Cebpa	cJun	0.10234254598617554
Gata2	Gata1	0.10022683441638948
Fog1	Fli1	0.1000564768910408
cJun	Cebpa	0.0995633453130722
Pu1	EgrNab	0.0994451940059662
Gata2	Scl	0.09904956072568892
Scl	Eklf	0.0979725569486618
Scl	Pu1	0.09544921666383743
Fog1	Eklf	0.09541821479797363
Scl	Cebpa	0.0944153368473053
cJun	Pu1	0.09405571222305298
Fog1	Cebpa	0.09245725721120834
Fog1	Gata2	0.09214917570352554
Cebpa	Pu1	0.09194430708885193
Scl	Fli1	0.09108591824769974
cJun	Gata1	0.08905015885829927
Pu1	Fog1	0.08865557610988617
Gfi1	Gata2	0.08851408958435059
EgrNab	Gata2	0.08635268360376358
Cebpa	Gata2	0.0857105702161789
Gfi1	Fog1	0.08474104851484299
Fog1	Pu1	0.08377975970506668
Scl	Gata2	0.0835333913564682
EgrNab	Gata1	0.08237961679697038
Gfi1	Gata1	0.0819476842880249
EgrNab	Scl	0.08070952445268631
Gfi1	Scl	0.08065027743577957
Gfi1	Eklf	0.08034579455852509
EgrNab	Fog1	0.07970747351646422
cJun	Gata2	0.07948027551174164
EgrNab	Cebpa	0.07859993726015091
EgrNab	Fli1	0.07805495709180832
Pu1	cJun	0.07804334908723831
Fli1	Pu1	0.07798204571008682
Gata2	EgrNab	0.07692528516054152
Gata2	cJun	0.07566186040639877
Eklf	Pu1	0.07515135407447815
Gfi1	Fli1	0.0750238224864006
cJun	Fli1	0.07292284816503525
cJun	Eklf	0.07289241999387741
Fli1	Gfi1	0.07228203117847443
Gata1	Fli1	0.07222088426351547
Gata1	Cebpa	0.07189889252185823
Fli1	Cebpa	0.07167594879865646
Gata1	cJun	0.07157690823078157
Pu1	Eklf	0.06964066624641417
Fog1	cJun	0.06950553506612778
Gata1	Eklf	0.06882395595312119
Pu1	Fli1	0.06846332550048828
Eklf	Cebpa	0.06810693442821503
Scl	EgrNab	0.0675872191786766
Eklf	Gfi1	0.06724666059017181
Fli1	EgrNab	0.06682732701301575
Fli1	cJun	0.06626453995704651
Eklf	cJun	0.06515281647443771
Scl	Gfi1	0.06494120508432387
Fog1	EgrNab	0.06382323801517488
Fog1	Gfi1	0.06274496018886566
Cebpa	Fli1	0.06267569214105606
Gata1	Gfi1	0.06249698251485825
Cebpa	Eklf	0.062246229499578476
Eklf	EgrNab	0.06167929992079735
Gata1	EgrNab	0.05982451513409615
