Gene1	Gene2	EdgeWeight
Gata2	Pu1	0.998960256576538
Fli1	Eklf	0.9985930323600768
Eklf	Fli1	0.9983131885528564
Gfi1	EgrNab	0.9959841966629028
Gata1	Pu1	0.9952430129051208
Gata2	Cebpa	0.9949929118156432
Cebpa	Fog1	0.9940962791442872
Fli1	Gata1	0.9934182167053224
EgrNab	Gfi1	0.9925848841667176
Cebpa	Pu1	0.9919660091400146
Gata2	Fog1	0.9911240339279176
cJun	EgrNab	0.9898172616958618
Cebpa	Gata2	0.9893763065338136
Fog1	Cebpa	0.9893759489059448
Gata1	Gata2	0.9892549514770508
cJun	Gfi1	0.9868778586387634
Gata1	Fog1	0.9854779243469238
Fog1	Pu1	0.985381841659546
Gata1	Eklf	0.9840654730796814
Fog1	Gata2	0.9817243814468384
Cebpa	EgrNab	0.9814224243164062
Cebpa	Gfi1	0.9787402153015136
Pu1	Scl	0.9661005139350892
Gata1	Fli1	0.96325021982193
Gata1	Cebpa	0.9601463079452516
Gfi1	cJun	0.9558566212654114
Gata2	Gata1	0.941932499408722
Eklf	Gata1	0.926041305065155
EgrNab	cJun	0.9108430743217468
Fog1	Gfi1	0.8727384805679321
Gata2	Scl	0.8722003102302551
Fog1	EgrNab	0.8544808030128479
Fog1	Scl	0.8515294194221497
Fli1	Fog1	0.8009467124938965
Scl	Gata2	0.7861703038215637
Eklf	cJun	0.7610679864883423
Scl	Pu1	0.7223399877548218
Fli1	Pu1	0.7153089046478271
Cebpa	Scl	0.691787838935852
Fli1	Gata2	0.6599682569503784
Pu1	Gata2	0.6380563974380493
Gata1	Scl	0.6193691492080688
Gfi1	Cebpa	0.5539617538452148
EgrNab	Scl	0.5403300523757935
EgrNab	Cebpa	0.5331009030342102
Gfi1	Scl	0.4795803129673004
Scl	Gata1	0.4710293114185333
Fli1	Cebpa	0.4184294044971466
cJun	Scl	0.37105652689933777
cJun	Cebpa	0.32235121726989746
Fli1	Scl	0.2824125289916992
Eklf	Scl	0.280784010887146
Scl	Cebpa	0.2634769678115845
Gata2	Eklf	0.2490299642086029
Cebpa	Gata1	0.2427332252264023
Fli1	cJun	0.21149124205112454
Fog1	Gata1	0.2094556987285614
Gata2	Gfi1	0.20184960961341855
Scl	cJun	0.19511890411376956
Gfi1	Fog1	0.19501183927059174
Pu1	cJun	0.1895432025194168
Pu1	Cebpa	0.18636052310466766
Gata2	EgrNab	0.1846046894788742
Scl	Eklf	0.16543065011501312
EgrNab	Fog1	0.1643151491880417
cJun	Fog1	0.12230316549539565
EgrNab	Gata2	0.1130797192454338
Pu1	Gfi1	0.10884179919958116
Scl	Fli1	0.10689834505319597
Gfi1	Gata2	0.10467465966939926
Scl	Fog1	0.1027429774403572
Gata2	Fli1	0.10101026296615599
Eklf	Fog1	0.061928488314151764
Pu1	EgrNab	0.06027593836188316
cJun	Gata2	0.05674631521105766
EgrNab	Pu1	0.0544714629650116
Pu1	Gata1	0.05292937532067299
Gfi1	Pu1	0.05064942315220833
Eklf	Gata2	0.04999805614352226
Cebpa	cJun	0.04610180482268333
cJun	Fli1	0.04089182987809181
Fog1	cJun	0.03799251094460488
Scl	Gfi1	0.03666097670793533
Eklf	Gfi1	0.035210251808166504
Fli1	Gfi1	0.0328478142619133
Gata1	Gfi1	0.032127436250448234
cJun	Pu1	0.03029818274080753
Pu1	Fog1	0.029626732692122463
Gata1	EgrNab	0.0279929842799902
Eklf	Pu1	0.027213757857680317
Fli1	EgrNab	0.025597145780920986
Scl	EgrNab	0.025144385173916817
Eklf	EgrNab	0.022157715633511543
cJun	Eklf	0.02154291048645973
Gata1	cJun	0.019143026322126392
Eklf	Cebpa	0.01757241226732731
cJun	Gata1	0.008617699146270752
Gata2	cJun	0.008242730051279068
Gfi1	Fli1	0.007966896519064903
Pu1	Eklf	0.0077113788574934014
Cebpa	Eklf	0.007423835340887308
Fog1	Eklf	0.007252993062138557
Pu1	Fli1	0.005392435938119888
Cebpa	Fli1	0.005132525693625212
Gfi1	Eklf	0.004868791438639164
EgrNab	Fli1	0.004674679599702358
Gfi1	Gata1	0.004396690521389246
Fog1	Fli1	0.0043291295878589145
EgrNab	Gata1	0.0036266047973185773
EgrNab	Eklf	0.0028859768062829967
