Gene1,Gene2,EdgeWeight
Cebpa,Eklf,0.39846742153167725
Cebpa,Fli1,0.40028735995292664
Cebpa,Fog1,0.7856322526931763
Cebpa,Gata1,0.6379311084747314
Cebpa,Gata2,0.5800766348838806
Cebpa,Gfi1,0.9929118752479553
Cebpa,Pu1,0.5527777671813965
Cebpa,Scl,0.8752872943878174
Cebpa,cJun,0.6867815256118774
EgrNab,Cebpa,0.5691810250282288
EgrNab,Fli1,0.47909480333328247
EgrNab,Fog1,0.4962284564971924
EgrNab,Gata1,0.510668158531189
EgrNab,Gata2,0.5195043087005615
EgrNab,Gfi1,0.8655171990394592
EgrNab,Pu1,0.7869611978530884
EgrNab,Scl,0.48814657330513
EgrNab,cJun,1.0
Eklf,Cebpa,0.4800204932689667
Eklf,EgrNab,0.4732581675052643
Eklf,Fog1,0.9255122542381287
Eklf,Gata1,0.8173155784606934
Eklf,Gata2,0.7574794888496399
Eklf,Gfi1,0.5206966996192932
Eklf,Pu1,0.5514344573020935
Eklf,Scl,0.962090015411377
Eklf,cJun,0.4859631061553955
Fli1,Cebpa,0.49539875984191895
Fli1,EgrNab,0.46676892042160034
Fli1,Eklf,0.8873210549354553
Fli1,Gata1,0.746012270450592
Fli1,Gata2,0.7625767588615417
Fli1,Gfi1,0.4799591302871704
Fli1,Pu1,0.5889570713043213
Fli1,Scl,0.9467280507087708
Fli1,cJun,0.47290387749671936
Fog1,Cebpa,0.5201376080513
Fog1,EgrNab,0.3653241693973541
Fog1,Eklf,0.5319253206253052
Fog1,Fli1,0.5891945362091064
Fog1,Gata2,0.4941060543060303
Fog1,Gfi1,0.4035363495349884
Fog1,Pu1,0.4313359558582306
Fog1,Scl,0.9996070265769958
Fog1,cJun,0.39715126156806946
Gata1,Cebpa,0.3980657756328583
Gata1,EgrNab,0.3628626763820648
Gata1,Eklf,0.44932299852371216
Gata1,Fli1,0.4063829779624939
Gata1,Fog1,0.9900386929512024
Gata1,Gfi1,0.3771760165691376
Gata1,Pu1,0.9856866002082825
Gata1,Scl,0.9424564838409424
Gata1,cJun,0.4584139287471771
Gata2,Cebpa,0.8845144510269165
Gata2,EgrNab,0.5057742595672607
Gata2,Eklf,0.6038057208061218
Gata2,Fli1,0.6098425388336182
Gata2,Fog1,0.8009186387062073
Gata2,Gata1,0.7950131893157959
Gata2,Pu1,0.969028890132904
Gata2,Scl,0.799606204032898
Gata2,cJun,0.512860894203186
Gfi1,Cebpa,0.998635470867157
Gfi1,EgrNab,0.7187134623527527
Gfi1,Eklf,0.4750487208366394
Gfi1,Fli1,0.4296296536922455
Gfi1,Fog1,0.5043859481811523
Gfi1,Gata1,0.4472709596157074
Gfi1,Gata2,0.5153995752334595
Gfi1,Scl,0.45984405279159546
Gfi1,cJun,0.6938596963882446
Pu1,Cebpa,0.5810149908065796
Pu1,EgrNab,0.5665413737297058
Pu1,Eklf,0.4043233096599579
Pu1,Fli1,0.40733081102371216
Pu1,Fog1,0.5777255892753601
Pu1,Gata1,0.9859022498130798
Pu1,Gata2,0.718796968460083
Pu1,Gfi1,0.6002819538116455
Pu1,cJun,0.47020676732063293
Scl,Cebpa,0.550453782081604
Scl,EgrNab,0.40580761432647705
Scl,Eklf,0.5674228668212891
Scl,Fli1,0.5346642732620239
Scl,Fog1,0.9970055222511292
Scl,Gata1,0.8332122564315796
Scl,Gata2,0.5159710049629211
Scl,Gfi1,0.408620685338974
Scl,Pu1,0.5014519095420837
cJun,Cebpa,0.6513779163360596
cJun,EgrNab,0.98956698179245
cJun,Eklf,0.4760826528072357
cJun,Fli1,0.47312992811203003
cJun,Fog1,0.7033464908599854
cJun,Gata1,0.594389796257019
cJun,Gata2,0.559744119644165
cJun,Gfi1,0.6951771378517151
cJun,Pu1,0.6140748262405396
cJun,Scl,0.6707677245140076
