Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	0.1922033727169037
Fog1	Scl	0.1887144297361374
Cebpa	Gfi1	0.18675552308559415
EgrNab	cJun	0.1808275580406189
Scl	Fog1	0.17086844146251678
Pu1	Gata1	0.17034654319286344
cJun	EgrNab	0.1610036939382553
Gata1	Pu1	0.1561128795146942
Gata1	Scl	0.1554323136806488
Scl	Gata1	0.15446710586547852
Gata1	Fog1	0.14935053884983066
Eklf	Scl	0.14509211480617526
Fli1	Scl	0.1448199301958084
Eklf	Fog1	0.14297053217887878
Gata2	Pu1	0.1355818212032318
EgrNab	Gfi1	0.12935827672481534
Pu1	Gata2	0.12929090857505798
Fli1	Eklf	0.12647484242916107
EgrNab	Pu1	0.1247158795595169
cJun	Gfi1	0.12379057705402376
cJun	Cebpa	0.12322859466075894
Fli1	Gata2	0.12230060994625093
cJun	Gata1	0.12190712243318558
Pu1	EgrNab	0.12040694802999495
Eklf	Gata2	0.11972465366125107
Gata2	Gata1	0.1174447014927864
Pu1	Gfi1	0.11416859179735185
EgrNab	Cebpa	0.11340006440877914
Gata2	Eklf	0.10955455154180528
Gata2	Fli1	0.10945206880569458
cJun	Pu1	0.10866230726242064
Gata2	Scl	0.1066121980547905
Eklf	Gata1	0.10594196617603302
Scl	Fli1	0.105359248816967
Fog1	Fli1	0.10449691861867903
Scl	Eklf	0.104141965508461
Gfi1	cJun	0.10383290797472
Cebpa	cJun	0.10282045602798462
Cebpa	Gata1	0.10163241624832152
Fog1	Eklf	0.10041887313127518
Fli1	Gata1	0.0999199151992798
Pu1	Cebpa	0.09901361167430878
Gata2	Fog1	0.0977705642580986
Gfi1	EgrNab	0.09500862658023834
Scl	Gata2	0.09422750025987624
Pu1	cJun	0.09254661202430724
Cebpa	Fog1	0.09214342385530473
Cebpa	Pu1	0.09118682146072388
Cebpa	Scl	0.08939702063798904
Gfi1	Gata2	0.08931192755699158
Fog1	Gata2	0.0873175635933876
Gata2	cJun	0.08560596406459807
Scl	Pu1	0.08450523018836975
Gfi1	Gata1	0.08431735634803772
Gfi1	Fli1	0.08372694998979567
Gfi1	Fog1	0.08371099084615707
Gfi1	Scl	0.08366312086582184
Gfi1	Eklf	0.08310462534427643
Fog1	Pu1	0.08109904825687407
cJun	Gata2	0.08045627921819687
Cebpa	Gata2	0.08037091046571733
Cebpa	Fli1	0.08012405782938004
Cebpa	Eklf	0.07922915369272232
cJun	Fog1	0.07919558882713318
cJun	Scl	0.07904370874166489
Gata1	Eklf	0.07854153215885162
Gata2	Cebpa	0.07827206701040268
Eklf	Pu1	0.07796449959278108
Gata2	EgrNab	0.07784754782915115
Fli1	Pu1	0.07698468863964081
EgrNab	Scl	0.07658331841230392
EgrNab	Gata2	0.07655107975006104
EgrNab	Fog1	0.0760674998164177
Gata1	Fli1	0.07484903186559677
EgrNab	Gata1	0.07472959160804749
EgrNab	Fli1	0.07384302467107773
Scl	EgrNab	0.07161161303520203
Eklf	cJun	0.07135552167892456
Scl	Cebpa	0.0711471289396286
Pu1	Fog1	0.07087565958499907
Fog1	cJun	0.07080251723527907
Eklf	Gfi1	0.07060763239860535
Fli1	Cebpa	0.07054619491100311
Scl	Gfi1	0.0705384835600853
Eklf	EgrNab	0.07045499980449678
Fli1	cJun	0.07026893645524979
Fli1	EgrNab	0.07025354355573654
Fog1	Cebpa	0.07015667110681534
Eklf	Cebpa	0.06975288689136505
Fog1	EgrNab	0.06965845078229904
Fli1	Gfi1	0.06929854303598404
Fog1	Gfi1	0.06927095353603363
Gata1	cJun	0.06821703165769577
Gata1	Cebpa	0.06601601839065553
Gata1	EgrNab	0.0647127777338028
Pu1	Fli1	0.0645066425204277
Pu1	Eklf	0.06432700902223587
Gata1	Gfi1	0.06332266330718994
cJun	Fli1	0.06206236407160759
cJun	Eklf	0.060649789869785316
