Gene1	Gene2	EdgeWeight
Cebpa	Gfi1	0.4731541007296222
Gfi1	Cebpa	0.4638868114718733
Fog1	Scl	0.3705496489915655
Pu1	Gata1	0.35848259841960595
EgrNab	cJun	0.3528751396675594
cJun	EgrNab	0.3516463271152973
Scl	Fog1	0.3498383675866986
Gata1	Pu1	0.3289128807562005
Eklf	Fli1	0.3127737402363965
Fli1	Eklf	0.29825543193176063
Fog1	Gata1	0.24171506593202674
Pu1	Fog1	0.2335472135004577
Pu1	Scl	0.21289935422791445
Gfi1	EgrNab	0.2016209772652862
Fog1	Pu1	0.1997912650411172
Gata1	Fog1	0.19944313861929594
Gata1	Scl	0.19696122677154188
Scl	Gata1	0.1844665699239996
Scl	Eklf	0.18388524018968508
Fog1	Eklf	0.18361374856873466
Fog1	Fli1	0.17782738841972318
Scl	Pu1	0.1697272077719328
Scl	Fli1	0.16785211361927602
Gata1	Gata2	0.1575523552636365
Gfi1	cJun	0.1533124846273349
Pu1	Gata2	0.14967569210217668
Eklf	Gata2	0.14380568139984104
Cebpa	cJun	0.14207297415408734
Cebpa	EgrNab	0.14172845848340654
Fli1	Gata2	0.13339152489777964
cJun	Gfi1	0.12328456708161124
EgrNab	Gfi1	0.1225026088798718
Fog1	Gata2	0.120934127710377
cJun	Cebpa	0.1173320679708601
EgrNab	Cebpa	0.11653741317480462
Pu1	cJun	0.1118471144000576
Pu1	EgrNab	0.11001810426880547
Pu1	Eklf	0.1092951236026366
Pu1	Cebpa	0.10256589830542401
Gata1	Fli1	0.10032851467970713
Pu1	Gfi1	0.09796544891028404
Scl	Gata2	0.09539738893967364
Gata1	cJun	0.09473716587787158
Pu1	Fli1	0.08740795975164145
Eklf	Scl	0.08732439033109747
Gata1	Eklf	0.07965629459959417
Eklf	Fog1	0.07908920145989445
Cebpa	Gata2	0.07689389280010836
Eklf	Gata1	0.07609136482303734
Fli1	Scl	0.07129489527198056
Fli1	Fog1	0.07128308975339635
Eklf	Pu1	0.07020000892488648
Gata2	Fli1	0.0688958335293131
Gata1	EgrNab	0.06780984119114979
Gata2	Eklf	0.06504248030213004
Gata2	Pu1	0.06150918125750946
Gata1	Gfi1	0.05767226956614072
Gata1	Cebpa	0.05742047343075547
Fli1	Pu1	0.05529845529283181
Fli1	Gata1	0.05422545585737696
Fog1	Cebpa	0.04901894682006189
Fog1	cJun	0.048094200106633234
Gfi1	Gata2	0.04736384198598784
cJun	Gata2	0.047009848792175735
Scl	Cebpa	0.04564055000530382
Scl	Gfi1	0.040848446507337016
Fog1	EgrNab	0.04039108741980768
Fog1	Gfi1	0.03636583692819029
Scl	cJun	0.034579260850485544
Cebpa	Pu1	0.03398347063980993
Scl	EgrNab	0.032092506559140865
cJun	Pu1	0.03135028076443458
EgrNab	Gata2	0.027975646108243532
Cebpa	Fli1	0.027907147135873483
Gata2	cJun	0.027444100099828256
Cebpa	Eklf	0.027383894341605236
Gata2	Gata1	0.02715241789331868
EgrNab	Pu1	0.024957327419421645
Gfi1	Pu1	0.024269922131855658
Gfi1	Fli1	0.0213242569527158
Gata2	Gfi1	0.021098004009826213
Gfi1	Eklf	0.02034701366527175
Gata2	Cebpa	0.02008393689375425
Cebpa	Scl	0.02008046335429484
cJun	Eklf	0.020035017152348573
cJun	Gata1	0.019621998100084127
cJun	Fli1	0.019178750135743192
Gata2	EgrNab	0.01910065217103853
Eklf	cJun	0.018951125892756788
Eklf	EgrNab	0.01832465060522033
Cebpa	Fog1	0.018125268065990883
Cebpa	Gata1	0.017307757545626426
Fli1	EgrNab	0.017267394920847282
EgrNab	Fli1	0.016504295539610303
Fli1	cJun	0.01608643432338529
cJun	Fog1	0.016011279381843317
Eklf	Cebpa	0.014446946403759587
Eklf	Gfi1	0.014412409665880787
Gata2	Fog1	0.014090300678202725
Gfi1	Gata1	0.01381097612348359
Fli1	Cebpa	0.013066955523402871
Fli1	Gfi1	0.012696307721235651
EgrNab	Eklf	0.012485755646233294
Gata2	Scl	0.011620880126843838
Gfi1	Fog1	0.011172801389843752
cJun	Scl	0.011057973087801572
EgrNab	Scl	0.009325800312969193
Gfi1	Scl	0.008885367523990828
EgrNab	Fog1	0.007399339564376274
EgrNab	Gata1	0.007125795381440546
