TF	target	importance
Eklf	Fli1	295.7345399088571
Cebpa	Gfi1	243.42413514436686
Gfi1	Cebpa	213.48843501259603
Fli1	Eklf	211.596564836521
EgrNab	cJun	179.34925827591405
Fog1	Fli1	176.39158473377682
cJun	EgrNab	175.60613589505462
Scl	Eklf	167.9528196749418
Fog1	Eklf	165.81348485580034
Scl	Fli1	157.64226756350877
Gata1	Gata2	142.24774560151738
Gata1	Eklf	137.56573539054205
Pu1	Fli1	130.41974504966456
Cebpa	cJun	128.9838448365398
Gata1	Fli1	128.90284386582456
Gata1	Fog1	119.96189491672142
cJun	Gfi1	115.47564333234592
EgrNab	Gfi1	108.79472508669065
Pu1	Gata1	108.70658626718837
Pu1	Eklf	108.47140216761348
Fli1	Gata2	108.21244863172394
Gfi1	EgrNab	107.90801803090127
Fog1	Scl	105.18325811339393
Eklf	Gata2	104.41338203538794
Scl	Fog1	104.3397457603481
Pu1	Fog1	103.30583428525038
Gfi1	cJun	102.9235036709302
Cebpa	EgrNab	100.28313340505146
EgrNab	Cebpa	99.79609582551039
cJun	Cebpa	98.27768060671367
Pu1	Gata2	97.19813570292563
Pu1	Scl	96.66212740532802
Fog1	Gata2	87.59994719396673
Gata1	Pu1	87.49164448855592
Scl	Gata1	86.85624438118144
Fog1	Gata1	85.25888191561604
Scl	Pu1	83.33842261489903
Scl	Gata2	80.02304050228543
Fog1	Pu1	77.24435986769556
Eklf	Scl	64.926671107895
Gata2	Fli1	63.611362895797754
Pu1	Gfi1	59.99353296723123
Gata1	Scl	59.422492302106605
Gata2	Eklf	57.74674540826712
Eklf	Fog1	57.51883750265941
Fli1	Pu1	55.62493170089305
Cebpa	Gata2	53.612611036579764
Gfi1	Eklf	47.60729398580567
Fli1	Scl	47.268672530568296
Fli1	Fog1	46.762453340728044
Pu1	Cebpa	46.46577102251959
Fog1	Gfi1	46.30405126581814
cJun	Eklf	45.7196032899497
Cebpa	Fli1	43.96963284319638
Gfi1	Gata2	43.78101443079921
Cebpa	Eklf	43.75650022527967
Gfi1	Fog1	40.78368161276461
Eklf	Gata1	40.73516656175808
Fli1	Gata1	40.7300421424307
Scl	Cebpa	39.756376438413916
Cebpa	Pu1	39.721819840374565
Fog1	cJun	39.67795404131155
Gata2	Pu1	39.355477725504734
cJun	Fli1	39.32815642482419
Cebpa	Gata1	37.993570657547046
Gata1	cJun	37.80505915856421
Gata1	Cebpa	37.28388781948325
Eklf	Pu1	37.03786624509919
Gfi1	Scl	36.98075180337092
Pu1	cJun	36.40543401517073
Gfi1	Fli1	34.35762049715574
EgrNab	Pu1	33.9599735083359
Pu1	EgrNab	33.92135764845238
Fog1	EgrNab	33.57520122750627
Cebpa	Scl	31.77703345195048
cJun	Scl	31.58540168386266
Cebpa	Fog1	29.852953348978716
Scl	Gfi1	29.22794241266047
Fog1	Cebpa	27.78301736794599
cJun	Fog1	27.126118632114324
EgrNab	Gata1	26.832802204812666
Gata1	Gfi1	26.612809422971235
Scl	cJun	26.546501830553847
Gata1	EgrNab	25.093020412196157
Eklf	Cebpa	24.346939006005577
cJun	Gata2	24.214262221270335
Gfi1	Pu1	23.452425655013776
EgrNab	Fli1	21.64224621739406
EgrNab	Scl	20.830646181152133
EgrNab	Eklf	20.76985016527918
Gata2	Gata1	20.462526735964794
Fli1	cJun	20.369378679057043
Eklf	Gfi1	20.174432796468274
Fli1	Gfi1	19.32353837526111
EgrNab	Fog1	19.127985163509862
cJun	Gata1	19.046599584080756
cJun	Pu1	17.773078353628385
EgrNab	Gata2	17.69741264354368
Fli1	Cebpa	17.21360284658472
Scl	EgrNab	16.879689259384534
Eklf	cJun	16.63937839804211
Eklf	EgrNab	14.935485416903939
Gfi1	Gata1	11.377579549420075
Gata2	cJun	11.29968709391656
Gata2	Gfi1	10.669189196185975
Gata2	EgrNab	9.181151500934973
Fli1	EgrNab	8.61680720361444
Gata2	Fog1	8.220495436925109
Gata2	Cebpa	6.5881940542268795
Gata2	Scl	4.362945420371923
