Gene1,Gene2,EdgeWeight
cJun,EgrNab,0.054723210632801
Fli1,Fog1,0.0547190122306346
Gfi1,Cebpa,0.0547179393470287
Fli1,Gata1,0.0547057092189788
Gata1,Scl,0.0546827688813209
Fog1,Gata1,0.0546827353537082
cJun,Pu1,0.0546797066926956
Fog1,Fli1,0.0546700023114681
Scl,Fli1,0.054667193442583
Cebpa,Gfi1,0.0546653531491756
Fli1,cJun,0.0546464212238788
cJun,Gata1,0.0546424314379692
Scl,Gata1,0.0546410977840423
Gata1,Fli1,0.0546380318701267
Pu1,cJun,0.0546297766268253
cJun,Gfi1,0.0546267554163932
Gfi1,Eklf,0.0546249933540821
Gata1,Fog1,0.0546227991580963
cJun,Gata2,0.0546198152005672
Gata2,Gata1,0.0546186901628971
Scl,Eklf,0.0546178333461284
Eklf,Gata1,0.054616279900074
Fog1,Scl,0.0546123161911964
Eklf,Gfi1,0.0546086281538009
Gata2,Eklf,0.0546077787876129
Eklf,cJun,0.0546053908765316
Fog1,cJun,0.0546053498983383
Gata1,Gata2,0.0545859783887863
Eklf,Fli1,0.0545808710157871
Eklf,Gata2,0.0545802116394043
Fli1,Gfi1,0.0545790754258632
Eklf,Scl,0.0545718744397163
Scl,Fog1,0.0545704290270805
Gata1,cJun,0.0545640066266059
Cebpa,Gata1,0.0545624271035194
EgrNab,cJun,0.0545602589845657
Gata1,EgrNab,0.0545572340488433
Gfi1,EgrNab,0.0545567609369754
Pu1,Fli1,0.0545558743178844
Fli1,Cebpa,0.0545557327568531
Eklf,Fog1,0.0545544140040874
Fli1,Scl,0.0545525662600994
Pu1,EgrNab,0.0545474849641323
Fli1,Pu1,0.0545469224452972
Gfi1,Fli1,0.0545432157814502
Gata1,Pu1,0.0545430034399032
cJun,Cebpa,0.0545424781739711
Gfi1,cJun,0.0545375645160675
EgrNab,Fli1,0.0545372813940048
cJun,Eklf,0.0545348897576332
Gfi1,Fog1,0.0545341223478317
cJun,Fog1,0.0545334741473197
Gata2,Fli1,0.0545324236154556
Scl,Cebpa,0.0545312538743019
Cebpa,Fli1,0.0545310042798519
Pu1,Eklf,0.0545287877321243
Pu1,Cebpa,0.0545279681682586
Fli1,EgrNab,0.054525826126337
Fog1,Gata2,0.0545217134058475
Gfi1,Gata2,0.0545202270150184
Pu1,Gata2,0.0545199327170848
Cebpa,Eklf,0.0545197464525699
Gfi1,Pu1,0.0545171946287155
Fog1,Gfi1,0.0545169487595558
Fli1,Eklf,0.054516777396202
Scl,Gata2,0.0545161180198192
Eklf,EgrNab,0.0545159839093685
Fli1,Gata2,0.0545158088207244
EgrNab,Scl,0.0545129925012588
Cebpa,Gata2,0.0545120760798454
Cebpa,Pu1,0.0545099452137947
Gata1,Eklf,0.0545080602169036
Fog1,Cebpa,0.0545051246881485
EgrNab,Gfi1,0.0545046962797641
Eklf,Cebpa,0.0545045547187328
Fog1,Eklf,0.0545012652873992
cJun,Fli1,0.0545002296566963
cJun,Scl,0.0544961467385292
Fog1,EgrNab,0.0544903725385665
Scl,Gfi1,0.0544899143278598
Scl,Pu1,0.0544873811304569
Gfi1,Gata1,0.054484024643898
Gata2,Fog1,0.0544827319681644
Pu1,Scl,0.0544755645096302
Cebpa,EgrNab,0.0544720329344272
Gfi1,Scl,0.0544633939862251
EgrNab,Gata2,0.0544622913002967
Pu1,Gfi1,0.0544614195823669
EgrNab,Fog1,0.0544581748545169
Gata2,EgrNab,0.0544580966234207
Cebpa,Fog1,0.0544557757675647
Gata2,Cebpa,0.054449189454317
Gata1,Gfi1,0.0544449798762798
Cebpa,cJun,0.0544372834265232
Scl,EgrNab,0.0544305518269538
Gata2,Pu1,0.0544300638139247
Gata2,Gfi1,0.0544282644987106
Pu1,Gata1,0.0544252023100853
Gata2,cJun,0.0544209629297256
Gata1,Cebpa,0.0544185750186443
Fog1,Pu1,0.0544099509716033
Gata2,Scl,0.0544093959033489
EgrNab,Pu1,0.0544074326753616
Scl,cJun,0.0544063001871109
EgrNab,Eklf,0.0544052459299564
Eklf,Pu1,0.0544044040143489
Cebpa,Scl,0.0543714947998523
EgrNab,Cebpa,0.0543687157332897
EgrNab,Gata1,0.0543627627193927
Pu1,Fog1,0.0543600283563137
