Gene1	Gene2	EdgeWeight
Eklf	Fli1	233.7800813496034
Fli1	Eklf	220.84135120162196
EgrNab	cJun	206.036926491943
Cebpa	Gfi1	191.9914416080984
Cebpa	EgrNab	189.33190434763569
Gfi1	Cebpa	185.30801986437774
Scl	Fli1	171.13192760437718
Gata1	Fli1	161.322681987285
cJun	EgrNab	160.08944037224268
Pu1	Gata1	147.915735117822
Pu1	Gata2	145.25972719452994
Scl	Eklf	142.38841663265643
Fog1	Eklf	136.23653324962945
Fog1	Fli1	127.63038685929662
Gata1	Gata2	123.65469842471376
Pu1	Scl	119.86099354936869
Cebpa	cJun	115.15511101819716
Gfi1	EgrNab	113.4089320492828
EgrNab	Gfi1	106.1123136427058
Fog1	Gata2	105.99524303643331
Gata1	Pu1	104.51519014238424
EgrNab	Cebpa	101.91565816292723
Fog1	Scl	100.69324577342864
cJun	Cebpa	98.85376307237476
Eklf	Gata2	98.69101305939674
Gfi1	Gata2	96.85832630305524
Fog1	Gata1	96.07224195040271
Scl	Fog1	96.03476821067038
Gata1	Eklf	95.6416526141628
Cebpa	Gata2	92.00812930101992
Scl	Pu1	89.62099200191021
Pu1	Fog1	89.34765188859673
Pu1	Fli1	89.10046655247271
Pu1	Eklf	86.30830695900002
Gata1	Fog1	86.18649654421483
cJun	Gfi1	83.1266963516101
Fog1	Pu1	82.48871581887646
Scl	Gata2	81.18069755751108
Gfi1	cJun	80.8297275901987
Fli1	Gata2	77.59629738276081
Gata1	Scl	75.54693072235717
Fog1	Cebpa	74.22795181500814
Gata1	Cebpa	71.20579678387591
Scl	Cebpa	68.3564315537381
Scl	Gata1	67.63266653398519
Cebpa	Fli1	62.34872364142309
Fog1	Gfi1	56.401267802597395
Fli1	Scl	54.54488777851236
Gfi1	Eklf	50.765468870346425
Fli1	Gata1	48.73145651306504
Eklf	Scl	48.72698082090066
Pu1	Cebpa	48.60792923326097
Gfi1	Fli1	48.2498805330835
Cebpa	Eklf	47.492320040136654
Fli1	Fog1	46.54573307155015
Scl	Gfi1	45.963203039947956
Cebpa	Fog1	45.29916297607111
Fli1	Pu1	44.901348570491564
Eklf	Pu1	44.881914031108266
Gata1	Gfi1	41.221702805086906
Gata1	EgrNab	39.1319636641328
Eklf	Fog1	38.760714532795134
Scl	EgrNab	38.74030244462165
Gfi1	Scl	37.1046431922536
Cebpa	Gata1	36.90426828533393
Gata2	Eklf	35.53549992440621
Gata2	Pu1	35.24895047894096
Gata2	Fli1	35.022497306851484
cJun	Fli1	34.690729910327136
Pu1	cJun	34.23683086839841
Pu1	Gfi1	33.724881288656746
Eklf	Gata1	33.33215910211664
Gfi1	Fog1	33.16574989182931
Cebpa	Scl	31.669140036033074
Eklf	Cebpa	28.968644365133734
Cebpa	Pu1	28.724019674074977
EgrNab	Fli1	28.722624255279907
Pu1	EgrNab	28.535487601135955
Fli1	Cebpa	27.625176525400683
Gata2	Gata1	26.34792019317091
cJun	Gata2	26.215388870877696
Gata1	cJun	25.190681999065145
Fog1	EgrNab	24.829165903541398
Gfi1	Pu1	24.30142229123591
cJun	Pu1	24.19231672945014
Scl	cJun	23.856542538081964
Fog1	cJun	23.736235908536766
Fli1	Gfi1	23.09774440212527
cJun	Eklf	19.885297022588144
Eklf	Gfi1	18.33098304223929
Gata2	Gfi1	18.029766016932204
EgrNab	Eklf	17.905153485452033
cJun	Fog1	17.168745126181832
Gfi1	Gata1	16.787896832710267
cJun	Scl	16.425671211619857
Gata2	Cebpa	15.93062862390273
EgrNab	Fog1	14.717966299445706
EgrNab	Gata2	14.540478869701452
EgrNab	Gata1	13.60386233479093
Fli1	cJun	13.377825087727716
Eklf	EgrNab	10.74869464664202
cJun	Gata1	10.671793136602403
EgrNab	Scl	10.16088113889229
EgrNab	Pu1	10.125130261527323
Eklf	cJun	9.788921629479647
Fli1	EgrNab	9.659646250693289
Gata2	EgrNab	8.524462720071678
Gata2	cJun	7.791196868371473
Gata2	Scl	6.266625776633698
Gata2	Fog1	4.773011458644811
