Gene1	Gene2	EdgeWeight
Fog1	Scl	0.9998106360435486
Gfi1	Cebpa	0.9963768124580384
EgrNab	cJun	0.9951484799385072
Scl	Fog1	0.9918198585510254
Gata1	Pu1	0.987869918346405
cJun	EgrNab	0.9868312478065492
Cebpa	Gfi1	0.9866156578063964
Pu1	Gata1	0.9857142567634584
Gata1	Scl	0.9822484850883484
Gata1	Fog1	0.9729782938957214
Gata2	Pu1	0.9717703461647034
Eklf	Scl	0.9601562619209291
Fli1	Scl	0.9476510286331176
Eklf	Fog1	0.9386160969734192
Gata2	Cebpa	0.8380383253097534
Fli1	Eklf	0.8360178470611572
Scl	Gata1	0.8110292553901672
Gata2	Fog1	0.8014353513717651
EgrNab	Gfi1	0.8009900450706482
Gata2	Gata1	0.7830142974853516
Gata2	Scl	0.7532296180725098
Eklf	Gata2	0.7489954829216003
Fli1	Gata1	0.7477628588676453
Cebpa	Scl	0.7389101982116699
Cebpa	Fog1	0.7250478267669678
Fli1	Gata2	0.7219239473342896
EgrNab	Pu1	0.7028712630271912
Gfi1	cJun	0.6807971000671387
Pu1	Gata2	0.6807414293289185
EgrNab	Cebpa	0.6788118481636047
cJun	Scl	0.6602880954742432
cJun	Fog1	0.6594650149345398
Gata2	Eklf	0.6466506719589233
cJun	Gfi1	0.643106997013092
Gata2	Fli1	0.6300238370895386
Eklf	Gata1	0.6228794455528259
Cebpa	cJun	0.6192160844802856
Pu1	EgrNab	0.6119349002838135
Gfi1	EgrNab	0.5998188257217407
cJun	Cebpa	0.5903291702270508
Scl	Eklf	0.5826287269592285
Cebpa	Gata1	0.5823135375976562
Cebpa	Pu1	0.5790631175041199
Scl	Fli1	0.5562500357627869
Fog1	Eklf	0.5533143281936646
cJun	Gata1	0.5498971343040466
Gata2	cJun	0.5482057929039001
Gata1	Fli1	0.5481261610984802
Pu1	Cebpa	0.5460216999053955
Pu1	Fog1	0.53598552942276
Gata2	EgrNab	0.5355263948440552
Pu1	Gfi1	0.5268535017967224
Fog1	Fli1	0.5266098380088806
Fog1	Gata2	0.5235795974731445
Scl	Pu1	0.5016544461250305
Scl	Gata2	0.4931985139846802
Gfi1	Gata2	0.489402174949646
Eklf	Pu1	0.4867187440395355
Fli1	Pu1	0.4862416386604309
Fog1	Pu1	0.4861742556095123
cJun	Pu1	0.4861111044883728
Fog1	Cebpa	0.4854166507720947
EgrNab	Gata2	0.4823762476444245
Scl	Cebpa	0.4670956134796143
Cebpa	Gata2	0.4654875695705414
Gfi1	Gata1	0.4620470702648163
Gfi1	Fog1	0.4582427144050598
EgrNab	Gata1	0.4550494849681854
EgrNab	Scl	0.4545544683933258
Gfi1	Scl	0.4528985619544983
Eklf	Cebpa	0.44453123211860657
EgrNab	Fog1	0.4429702460765839
cJun	Gata2	0.44197532534599293
EgrNab	Fli1	0.4395049512386322
Gfi1	Fli1	0.4374094009399414
Gfi1	Eklf	0.4315217435359955
Fli1	Cebpa	0.4309843182563782
Fli1	Gfi1	0.4294183254241944
Pu1	Fli1	0.4282097816467285
Eklf	EgrNab	0.4279017746448517
Pu1	Eklf	0.4276672601699829
Eklf	cJun	0.4275669753551483
Fli1	cJun	0.42505592107772827
Fog1	cJun	0.42386361956596375
Eklf	Gfi1	0.4207589328289032
Pu1	cJun	0.41925859451293945
Gata1	cJun	0.41696250438690186
Fli1	EgrNab	0.4154362082481384
Fog1	Gfi1	0.41316285729408253
Fog1	EgrNab	0.4125947058200836
cJun	Eklf	0.4092592597007752
cJun	Fli1	0.4085390567779541
Scl	Gfi1	0.39944854378700256
Scl	EgrNab	0.3961397111415863
Gata1	Cebpa	0.3882642686367035
Gata1	Eklf	0.3846153914928436
Gata1	Gfi1	0.3783037662506104
Cebpa	Fli1	0.3782026469707489
Cebpa	Eklf	0.3779158592224121
Gata1	EgrNab	0.3627219200134277
