TF	Target	EdgeWeight
Gfi1	Cebpa	0.05455009639263153
Scl	Gata1	0.05453437194228172
Gata1	Fog1	0.054521556943655014
Pu1	cJun	0.05451427772641182
Eklf	Gata1	0.05450861528515816
Gata2	Eklf	0.054493650794029236
Cebpa	Gfi1	0.054491039365530014
Gata1	Gata2	0.05448806658387184
Pu1	Cebpa	0.05447746440768242
Fog1	Gata1	0.05447257310152054
Gata2	Fog1	0.05447240173816681
Gfi1	Gata2	0.05446754768490791
Gata2	EgrNab	0.05446657910943031
Eklf	Gfi1	0.054460883140563965
cJun	EgrNab	0.05445762723684311
Eklf	Fog1	0.054455142468214035
Gata2	cJun	0.054453376680612564
Scl	Eklf	0.054452963173389435
EgrNab	Scl	0.054451122879981995
EgrNab	Gata2	0.054449982941150665
Gfi1	Fli1	0.05444980040192604
Fog1	Gata2	0.054449211806058884
Gata1	Fli1	0.054446328431367874
Scl	Fog1	0.05444524809718132
Fog1	Eklf	0.054444923996925354
Eklf	Gata2	0.054442647844552994
cJun	Eklf	0.054441578686237335
cJun	Gata1	0.054441358894109726
Fog1	Scl	0.05443940684199333
Fog1	EgrNab	0.05443926900625229
cJun	Gata2	0.054437533020973206
Gfi1	Scl	0.05443704128265381
Eklf	cJun	0.05443562939763069
Pu1	EgrNab	0.05443205311894417
EgrNab	Fog1	0.05442974343895912
Gfi1	Pu1	0.05442969128489494
Cebpa	Gata1	0.05442739278078079
cJun	Fli1	0.0544239804148674
Pu1	Eklf	0.0544222854077816
Gata1	Scl	0.05441831797361374
EgrNab	Pu1	0.05441293865442276
Eklf	Cebpa	0.05441264435648918
Gata2	Cebpa	0.05440988019108772
Scl	EgrNab	0.05440675467252731
Cebpa	Fli1	0.05440519377589226
Gata1	Cebpa	0.05440414696931839
Fog1	Fli1	0.054402779787778854
Gfi1	Gata1	0.05440197139978409
Cebpa	Pu1	0.054401695728302
Scl	Fli1	0.054398082196712494
EgrNab	cJun	0.05439794063568115
Fli1	Scl	0.054397497326135635
Fli1	Fog1	0.054387882351875305
Pu1	Gata2	0.05438578873872757
cJun	Pu1	0.05438387393951416
Fli1	Pu1	0.054383039474487305
EgrNab	Cebpa	0.054382260888814926
Pu1	Gfi1	0.05438224971294403
EgrNab	Eklf	0.054382096976041794
Fli1	Eklf	0.054381631314754486
Fli1	Gata1	0.054376110434532166
EgrNab	Gfi1	0.05437405779957771
Gfi1	EgrNab	0.05437390133738518
Pu1	Scl	0.054368339478969574
Fli1	Gfi1	0.05436781048774719
Eklf	Fli1	0.05436301231384277
Eklf	EgrNab	0.05436282232403755
Gfi1	cJun	0.05435981974005699
Gata1	Gfi1	0.054357223212718964
Cebpa	Gata2	0.05435585230588913
Eklf	Scl	0.05435545742511749
Gata1	cJun	0.05435542017221451
EgrNab	Fli1	0.054353345185518265
Cebpa	Fog1	0.054348062723875046
Gata2	Scl	0.05434694513678551
Fli1	EgrNab	0.05434625595808029
Scl	Gata2	0.054345887154340744
Gata2	Gata1	0.05434263125061989
Fog1	Pu1	0.05434209853410721
Gata1	Eklf	0.05433676764369011
Gfi1	Eklf	0.054335109889507294
Fog1	Gfi1	0.05432731285691261
cJun	Gfi1	0.05432407185435295
Eklf	Pu1	0.054322805255651474
Gata2	Pu1	0.054321106523275375
EgrNab	Gata1	0.05432099103927612
Gata2	Gfi1	0.0543198399245739
Pu1	Fog1	0.054312512278556824
Gata2	Fli1	0.05430817976593971
Cebpa	cJun	0.05430503934621811
cJun	Cebpa	0.054299309849739075
cJun	Scl	0.0542975552380085
Gata1	EgrNab	0.05429708585143089
cJun	Fog1	0.05429491400718689
Cebpa	EgrNab	0.054294437170028687
Fog1	cJun	0.05428546667098999
Fli1	cJun	0.05428530275821686
Gata1	Pu1	0.054280247539281845
Pu1	Fli1	0.05427918583154678
Scl	Cebpa	0.054279033094644547
Pu1	Gata1	0.05427752807736397
Fog1	Cebpa	0.05427568405866623
Fli1	Gata2	0.05427383631467819
Cebpa	Eklf	0.05426708981394768
Scl	Gfi1	0.054257236421108246
Scl	cJun	0.05425453186035156
Scl	Pu1	0.054245978593826294
Fli1	Cebpa	0.05424575135111809
Gfi1	Fog1	0.05424385517835617
Cebpa	Scl	0.054240863770246506
