Gene1,Gene2,EdgeWeight
Cebpa,EgrNab,0.07361380822172174
Cebpa,Eklf,0.10082596817182173
Cebpa,Fli1,0.04437177105184924
Cebpa,Fog1,0.08662322775440043
Cebpa,Gata1,0.027003598793269423
Cebpa,Gata2,0.05579920635442598
Cebpa,Gfi1,0.4052299898194962
Cebpa,Pu1,0.07519070683193925
Cebpa,Scl,0.07390856275189746
Cebpa,cJun,0.05743316024917854
EgrNab,Cebpa,0.14583916891157445
EgrNab,Eklf,0.07842059135531247
EgrNab,Fli1,0.016669366549357745
EgrNab,Fog1,0.17171557619641833
EgrNab,Gata1,0.09407692826362081
EgrNab,Gata2,0.05435564725933495
EgrNab,Gfi1,0.14200697947899854
EgrNab,Pu1,0.13011603274428402
EgrNab,Scl,0.06774515762793705
EgrNab,cJun,0.09905455161316164
Eklf,Cebpa,0.11481132477834849
Eklf,EgrNab,0.05930741240087221
Eklf,Fli1,0.12294843862290655
Eklf,Fog1,0.13163481966470428
Eklf,Gata1,0.08667196458038157
Eklf,Gata2,0.050192480828326586
Eklf,Gfi1,0.16103774144678598
Eklf,Pu1,0.045523407560516836
Eklf,Scl,0.09974532099940206
Eklf,cJun,0.12812708911775544
Fli1,Cebpa,0.14790711185041613
Fli1,EgrNab,0.09207899446223955
Fli1,Eklf,0.0679406363552628
Fli1,Fog1,0.06210623065348619
Fli1,Gata1,0.038410736906073176
Fli1,Gata2,0.09841086155775268
Fli1,Gfi1,0.18024581431413655
Fli1,Pu1,0.06493784396174122
Fli1,Scl,0.13749009696746348
Fli1,cJun,0.11047167297142821
Fog1,Cebpa,0.07912371894249917
Fog1,EgrNab,0.04366830347153683
Fog1,Eklf,0.11159838289844161
Fog1,Fli1,0.08602986913039382
Fog1,Gata1,0.12859716864208912
Fog1,Gata2,0.0550205823354379
Fog1,Gfi1,0.13174395171988426
Fog1,Pu1,0.18956257518054842
Fog1,Scl,0.10170575038118798
Fog1,cJun,0.0729496972979809
Gata1,Cebpa,0.06522803711360986
Gata1,EgrNab,0.024019067997966635
Gata1,Eklf,0.042974029367628536
Gata1,Fli1,0.1408092648079317
Gata1,Fog1,0.0983864148997194
Gata1,Gata2,0.08937175340244355
Gata1,Gfi1,0.045720570940357357
Gata1,Pu1,0.2291075162528969
Gata1,Scl,0.05366254791509312
Gata1,cJun,0.2107207973023529
Gata2,Cebpa,0.06997486592906797
Gata2,EgrNab,0.12742341816698224
Gata2,Eklf,0.05191618979063638
Gata2,Fli1,0.10209397731006023
Gata2,Fog1,0.06856956289498568
Gata2,Gata1,0.13697771051390298
Gata2,Gfi1,0.07842730068401928
Gata2,Pu1,0.19983159733700995
Gata2,Scl,0.029119515225770498
Gata2,cJun,0.13566586214756485
Gfi1,Cebpa,0.1922290012941471
Gfi1,EgrNab,0.1699921454202536
Gfi1,Eklf,0.06688737427907483
Gfi1,Fli1,0.09336037433952911
Gfi1,Fog1,0.023780386633826377
Gfi1,Gata1,0.081580114644861
Gfi1,Gata2,0.0960792286566607
Gfi1,Pu1,0.10281139004671414
Gfi1,Scl,0.08172686484620155
Gfi1,cJun,0.09155311983873161
Pu1,Cebpa,0.15704539664836092
Pu1,EgrNab,0.12933089888560953
Pu1,Eklf,0.06763950816896588
Pu1,Fli1,0.06111511738858504
Pu1,Fog1,0.05092358081529574
Pu1,Gata1,0.23424980735084122
Pu1,Gata2,0.06902095477724055
Pu1,Gfi1,0.06763873137185171
Pu1,Scl,0.08693957071871682
Pu1,cJun,0.07609643387453256
Scl,Cebpa,0.09291911518799169
Scl,EgrNab,0.0657121216543306
Scl,Eklf,0.058048807752931995
Scl,Fli1,0.11453836657132513
Scl,Fog1,0.2176474645439605
Scl,Gata1,0.11418161312039528
Scl,Gata2,0.0691263995844016
Scl,Gfi1,0.14676408828754658
Scl,Pu1,0.060996472341158806
Scl,cJun,0.06006555095595785
cJun,Cebpa,0.10867608985617339
cJun,EgrNab,0.04406951325558129
cJun,Eklf,0.12378515129164899
cJun,Fli1,0.0476143534072576
cJun,Fog1,0.08922795289949893
cJun,Gata1,0.11496186250941347
cJun,Gata2,0.07250836404592065
cJun,Gfi1,0.17919420816779116
cJun,Pu1,0.12915202406213436
cJun,Scl,0.09081048050458004
