Gene1	Gene2	EdgeWeight
cJun	EgrNab	0.0550668761134147
Scl	Eklf	0.0550392605364322
Gata1	Eklf	0.0550262965261936
Scl	Fli1	0.0550122149288654
Gfi1	Pu1	0.0550104640424251
Eklf	Gata1	0.0549986734986305
Fli1	Gata2	0.0549944713711738
Eklf	Fli1	0.0549857206642627
Fog1	Fli1	0.0549812167882919
Scl	Gata2	0.0549724176526069
Gata1	Gata2	0.0549716912209987
cJun	Gata2	0.0549694634974002
Gata1	Fli1	0.0549682639539241
Fli1	Eklf	0.0549670346081256
Eklf	EgrNab	0.05496671423316
Gata2	Gata1	0.0549655184149742
Scl	EgrNab	0.0549623221158981
Fog1	Gata2	0.0549616292119026
Fli1	cJun	0.0549600720405578
Fog1	Gata1	0.0549576245248317
Fli1	EgrNab	0.0549569875001907
EgrNab	cJun	0.0549556426703929
Fog1	Cebpa	0.0549511536955833
cJun	Scl	0.0549510493874549
Gata2	Cebpa	0.0549465827643871
Cebpa	Gfi1	0.0549423210322856
cJun	Gfi1	0.0549400746822357
Gfi1	Gata1	0.0549390763044357
Cebpa	Scl	0.0549377873539924
Fli1	Scl	0.0549361556768417
Pu1	Fli1	0.0549322590231895
EgrNab	Pu1	0.0549321696162223
Gfi1	Fog1	0.0549308769404888
Cebpa	Pu1	0.0549307614564895
EgrNab	Gfi1	0.0549223832786083
Gfi1	EgrNab	0.0549201890826225
Fog1	cJun	0.0549166649580001
EgrNab	Gata2	0.0549146458506584
Pu1	Fog1	0.0549144856631755
Pu1	cJun	0.0549129210412502
Gfi1	Fli1	0.0549116134643554
Fli1	Fog1	0.05491137132048599
cJun	Cebpa	0.0549065209925174
Cebpa	EgrNab	0.0549061894416809
Cebpa	Fli1	0.0549061261117458
Gata2	Fli1	0.0549060702323913
Gata1	Fog1	0.0549036934971809
Gfi1	Cebpa	0.0549026131629943
Gata2	EgrNab	0.0549001172184944
Gata1	Scl	0.0548990741372108
Gata2	Fog1	0.054899051785469
Gata1	EgrNab	0.0548970848321914
Cebpa	cJun	0.0548962317407131
Fog1	Scl	0.0548955611884593
Scl	Fog1	0.0548915602266788
Pu1	EgrNab	0.0548906289041042
Eklf	Fog1	0.0548904351890087
Scl	Gata1	0.0548899583518505
cJun	Fli1	0.0548861362040042
Scl	Cebpa	0.0548853576183319
Eklf	Pu1	0.054884172976017
Gata1	Pu1	0.0548829361796379
EgrNab	Gata1	0.0548803508281707
Gata2	Gfi1	0.0548774525523185
EgrNab	Scl	0.0548766814172267
Pu1	Gata2	0.0548762194812297
Eklf	Scl	0.0548741556704044
cJun	Pu1	0.0548734366893768
Fli1	Gata1	0.0548720844089984
Pu1	Cebpa	0.0548716932535171
Gata1	Gfi1	0.054871492087841
Cebpa	Fog1	0.0548711940646171
EgrNab	Fli1	0.0548692047595977
Fog1	Eklf	0.0548637919127941
Gata2	cJun	0.054854080080985995
Fog1	Pu1	0.054853543639182996
Cebpa	Gata1	0.0548511408269405
Pu1	Gfi1	0.0548475868999958
cJun	Eklf	0.0548463873565197
Cebpa	Eklf	0.0548440627753734
Fli1	Gfi1	0.054843969643116
Fog1	Gfi1	0.0548422746360302
Fog1	EgrNab	0.054840762168169
Gata2	Scl	0.0548402518033981
Scl	cJun	0.054835882037878
Gfi1	Scl	0.054830577224493
Eklf	cJun	0.0548277124762535
Scl	Gfi1	0.0548246316611766
Eklf	Gata2	0.0548245385289192
EgrNab	Cebpa	0.0548241883516311
Gata2	Eklf	0.0548239909112453
Fli1	Pu1	0.0548230856657028
EgrNab	Fog1	0.054820243269205
Eklf	Gfi1	0.0548195391893386
Gata1	Cebpa	0.0548083074390888
Gfi1	Eklf	0.0548079162836074
Gfi1	Gata2	0.0548069477081298
cJun	Fog1	0.0547989085316658
Fli1	Cebpa	0.0547926090657711
Gata2	Pu1	0.0547923259437084
EgrNab	Eklf	0.0547909215092659
Gfi1	cJun	0.054790623486042
Eklf	Cebpa	0.0547881200909614
Cebpa	Gata2	0.0547776967287063
cJun	Gata1	0.054776344448328
Pu1	Scl	0.054774772375822005
Gata1	cJun	0.0547724403440952
Pu1	Eklf	0.0547659732401371
Scl	Pu1	0.0547394193708896
Pu1	Gata1	0.0547114871442317
