Gene1	Gene2	EdgeWeight
Scl	Fog1	0.9983516335487366
Gata2	Pu1	0.9969576597213744
cJun	EgrNab	0.9956700801849364
Fli1	Scl	0.9951691031455994
Cebpa	Gfi1	0.9949564933776855
Pu1	Gata1	0.9919103384017944
Gfi1	Cebpa	0.9850183129310608
Gata1	Scl	0.9810240864753724
EgrNab	cJun	0.9809478521347046
Eklf	Fog1	0.9750584959983826
Gata1	Fog1	0.9659638404846193
Fog1	Scl	0.960537612438202
Gata1	Pu1	0.953815221786499
Scl	Gata1	0.8902198076248169
Eklf	Scl	0.8674471974372864
Gata2	Gata1	0.8339946866035461
cJun	Gfi1	0.7963917255401611
Eklf	Gata2	0.794028103351593
Gata2	Scl	0.785449743270874
Gata2	Eklf	0.7830687761306763
EgrNab	Cebpa	0.7808511257171631
cJun	Gata1	0.7788659930229187
Fli1	Eklf	0.77741539478302
cJun	Cebpa	0.7759793400764465
Gata2	Fog1	0.7558201551437378
Gata2	Fli1	0.7544974088668823
Pu1	Gata2	0.7530214190483093
Scl	Fli1	0.7302197813987732
EgrNab	Gfi1	0.7092843651771545
Fli1	Gata2	0.7074878811836243
cJun	Fog1	0.6919588446617126
Eklf	Gata1	0.6807962656021118
cJun	Scl	0.6741237640380859
EgrNab	Pu1	0.6672147512435913
Gata2	Cebpa	0.630820095539093
Fli1	Gata1	0.6233091354370117
Gata2	EgrNab	0.6123016476631165
Pu1	Gfi1	0.6090643405914307
Cebpa	cJun	0.5880869626998901
Gata2	cJun	0.5826719403266907
Cebpa	Fog1	0.5798260569572449
Pu1	Fog1	0.5759258866310121
Fog1	Eklf	0.5749461650848389
Gfi1	cJun	0.5738051533699036
Eklf	Pu1	0.5681499242782593
Pu1	EgrNab	0.5647172927856445
Cebpa	Gata1	0.5379130840301514
Scl	Eklf	0.5360440015792847
cJun	Pu1	0.5292783975601196
Fog1	Fli1	0.5251612663269043
Eklf	cJun	0.5180327892303467
Eklf	EgrNab	0.5135831236839294
Eklf	Cebpa	0.5088993310928345
Eklf	Gfi1	0.5059719085693359
Gata1	Fli1	0.5051205158233643
Pu1	Cebpa	0.4953216314315796
Fli1	Pu1	0.4886473119258881
Scl	Gata2	0.4834066331386566
Gfi1	Gata2	0.4831802248954773
Cebpa	Scl	0.4771304428577423
Fog1	Pu1	0.4743010699748993
EgrNab	Gata1	0.4698259234428406
cJun	Gata2	0.4683505296707153
Fog1	Gata2	0.4668817222118378
Gata1	cJun	0.4652610719203949
Cebpa	Pu1	0.4554782509803772
Cebpa	Fli1	0.4548695385456085
Cebpa	Gata2	0.4546956717967987
Scl	Pu1	0.4545054733753204
Cebpa	Eklf	0.4505217671394348
Pu1	Eklf	0.4489278793334961
Gata1	Eklf	0.44829317927360535
Fli1	EgrNab	0.4479468464851379
Pu1	Fli1	0.4471735060214996
Fli1	cJun	0.4471014142036438
Pu1	cJun	0.4465886950492859
Gata1	Cebpa	0.44588357210159296
EgrNab	Scl	0.4456479847431183
EgrNab	Gata2	0.4451644122600555
Fli1	Cebpa	0.44396132230758667
Gfi1	EgrNab	0.4422794282436371
EgrNab	Fog1	0.4387814402580261
Gata1	Gfi1	0.4345381855964661
Gata1	EgrNab	0.4337349534034729
EgrNab	Fli1	0.432785302400589
Fli1	Gfi1	0.4282608330249785
cJun	Fli1	0.41597938537597656
Gfi1	Gata1	0.4155330955982208
Gfi1	Scl	0.41433823108673096
cJun	Eklf	0.411340206861496
Gfi1	Fog1	0.4080882370471953
Scl	Gfi1	0.40406593680381775
Gfi1	Eklf	0.4009191393852234
Gfi1	Fli1	0.400919109582901
Scl	EgrNab	0.39912089705467213
Fog1	cJun	0.3945161104202271
Fog1	Cebpa	0.3941935300827025
Scl	Cebpa	0.3923076987266541
Fog1	Gfi1	0.3898924589157105
Fog1	EgrNab	0.3894623816013336
