Gene1	Gene2	EdgeWeight
Cebpa	Gfi1	0.040610422489777774
Cebpa	cJun	0.02068237119123889
Gfi1	cJun	0.02028930737933333
Cebpa	EgrNab	0.018389544337677782
EgrNab	Gfi1	0.016448736736177774
EgrNab	cJun	0.01582075967687778
Eklf	Fli1	0.013008537528191113
Fog1	Scl	0.0097256624725
Gata1	Pu1	0.009676328419461113
Gfi1	Pu1	0.00942395728903889
Gata2	Pu1	0.009210187614066664
Cebpa	Pu1	0.007634937884988889
EgrNab	Pu1	0.007466973678827777
Eklf	Gata2	0.007442934387583333
Cebpa	Scl	0.007430609572044443
Fli1	Fog1	0.007364480837672222
Cebpa	Fog1	0.0073395955336666655
Fog1	Pu1	0.00708395400995
Eklf	Pu1	0.0069973401681
Cebpa	Gata2	0.006935292014
Fli1	Scl	0.00691718398261611
Pu1	Scl	0.006837826875166666
Gata1	Gata2	0.006619906064294446
Cebpa	Gata1	0.006454540488444445
Eklf	Fog1	0.006068038543234446
Gata2	Gfi1	0.006056808343616666
Fli1	Pu1	0.005991989866907223
Fog1	Gata1	0.005753004336995556
Fli1	Gfi1	0.005677813230699999
Fli1	Gata1	0.005620111513755556
Gata1	Scl	0.005325256731924999
Cebpa	Fli1	0.005223436195388889
Fog1	Gfi1	0.005142172924382222
Gata2	Scl	0.0050322104125722225
Pu1	cJun	0.005006024560816665
Eklf	Gata1	0.004910069640403888
Eklf	Scl	0.0044055755137027775
Fog1	Gata2	0.004401626325133889
Eklf	Gfi1	0.004280729181521111
Scl	cJun	0.004276414631705556
Gata1	Gfi1	0.004274610361283335
Fog1	cJun	0.004180824104633333
Gata1	cJun	0.003978644252688889
EgrNab	Gata2	0.0038585850905322227
EgrNab	Eklf	0.003744710406248889
Cebpa	Eklf	0.0035945942920277774
EgrNab	Gata1	0.0035782090962805553
Fli1	Gata2	0.003454741009668333
Eklf	cJun	0.0033293854969777773
EgrNab	Fog1	0.003276506746616667
Gata2	cJun	0.0030745225324272218
Gfi1	Scl	0.0025167082897783327
EgrNab	Scl	0.002401694790630944
EgrNab	Fli1	0.0023041967752666665
Fli1	cJun	0.0022628606982194447
