Gene1	Gene2	EdgeWeight
Nkx61	Nkx22	0.0976151078939437
Nkx62	Irx3	0.0976094752550125
Irx3	Dbx2	0.0976061448454856
Dbx2	Olig2	0.097605712711811
Pax6	Dbx2	0.0976053774356842
Nkx62	Dbx1	0.0976016670465469
Dbx1	Irx3	0.0976006239652633
Nkx22	Nkx61	0.0975939035415649
Nkx62	Nkx22	0.0975896343588829
Nkx61	Dbx1	0.0975853279232978
Olig2	Nkx62	0.0975838452577591
Dbx2	Dbx1	0.0975820198655128
Olig2	Nkx22	0.0975813940167427
Dbx1	Dbx2	0.0975793302059173
Dbx1	Nkx62	0.0975776836276054
Pax6	Irx3	0.0975730195641517
Olig2	Pax6	0.0975675508379936
Nkx22	Dbx1	0.0975602716207504
Nkx22	Irx3	0.0975575670599937
Olig2	Irx3	0.0975565090775489
Dbx2	Nkx61	0.09755539894104
Olig2	Nkx61	0.0975532159209251
Pax6	Olig2	0.097551979124546
Nkx62	Nkx61	0.0975355878472328
Irx3	Nkx61	0.0975295230746269
Olig2	Dbx2	0.0975290760397911
Nkx61	Olig2	0.0975202247500419
Pax6	Nkx61	0.0975154489278793
Nkx22	Dbx2	0.0975108370184898
Dbx2	Irx3	0.0975104942917823
Nkx61	Pax6	0.0975022614002227
Dbx2	Nkx22	0.0975005477666854
Nkx22	Nkx62	0.097498707473278
Nkx61	Irx3	0.0974942371249198
Nkx61	Dbx2	0.0974881798028945
Dbx2	Pax6	0.0974880531430244
Dbx2	Nkx62	0.0974866151809692
Irx3	Nkx62	0.0974838584661483
Pax6	Dbx1	0.0974785685539245
Dbx1	Nkx61	0.0974780842661857
Irx3	Dbx1	0.0974777489900589
Pax6	Nkx22	0.0974765419960022
Nkx62	Dbx2	0.0974617823958396
Pax6	Nkx62	0.0974597111344337
Dbx1	Olig2	0.09745942801237101
Irx3	Pax6	0.0974582433700561
Irx3	Nkx22	0.0974560230970382
Nkx62	Olig2	0.0974547415971756
Nkx62	Pax6	0.0974543914198875
Dbx1	Nkx22	0.0974542647600174
Olig2	Dbx1	0.0974541306495666
Nkx22	Pax6	0.0974500849843025
Nkx61	Nkx62	0.0974496006965637
Irx3	Olig2	0.0974389910697937
Dbx1	Pax6	0.0974286571145057
Nkx22	Olig2	0.0974270179867744
