Gene1	Gene2	EdgeWeight
Nkx22	Pax6	4884.19970703125
Pax6	Nkx22	4512.24560546875
Olig2	Pax6	2591.718994140625
Olig2	Irx3	2347.399658203125
Irx3	Nkx22	2256.371826171875
Irx3	Pax6	2043.66552734375
Irx3	Olig2	2003.5936279296875
Irx3	Dbx2	1888.031005859375
Olig2	Nkx22	1709.9534912109375
Dbx2	Nkx61	1084.3770751953123
Nkx61	Dbx2	962.9490356445312
Dbx2	Nkx62	598.6530151367188
Dbx2	Dbx1	586.9147338867188
Dbx1	Dbx2	542.218505859375
Nkx62	Dbx2	542.1885375976561
Pax6	Olig2	305.32989501953125
Dbx2	Irx3	186.1080017089844
Pax6	Irx3	168.56375122070312
Dbx1	Nkx61	165.25857543945312
Dbx1	Nkx62	104.7997055053711
Nkx62	Dbx1	73.37244415283203
Nkx61	Dbx1	70.53109741210938
Nkx61	Nkx62	66.46302795410156
Nkx22	Irx3	52.402748107910156
Nkx22	Olig2	32.57991409301758
Pax6	Dbx1	17.986421585083008
Nkx62	Olig2	15.97054672241211
Pax6	Dbx2	15.351238250732422
Dbx1	Irx3	15.351238250732422
Irx3	Dbx1	15.051064491271973
Dbx1	Olig2	12.593361854553224
Olig2	Nkx62	12.593361854553224
Olig2	Dbx1	12.10434627532959
Dbx2	Olig2	11.867006301879885
Pax6	Nkx62	11.634320259094238
Irx3	Nkx62	11.40682601928711
Olig2	Dbx2	11.40619659423828
Nkx22	Dbx2	11.18254566192627
Nkx61	Olig2	10.963885307312012
Olig2	Nkx61	10.963279724121094
Nkx62	Nkx61	10.536980628967283
Nkx61	Nkx22	10.331513404846193
Pax6	Nkx61	10.128376007080078
Nkx22	Nkx61	9.929780006408693
Dbx2	Pax6	9.544194221496582
Nkx62	Pax6	9.543667793273926
Nkx61	Pax6	9.17408847808838
Dbx1	Pax6	9.173582077026367
Dbx1	Nkx22	8.817360877990723
Nkx22	Dbx1	8.308795928955076
Nkx22	Nkx62	8.308795928955076
Nkx61	Irx3	7.98659610748291
Dbx2	Nkx22	7.986155033111572
Nkx62	Irx3	6.95204496383667
Irx3	Nkx61	6.052841663360597
Nkx62	Nkx22	2.33939266204834
