Gene1,Gene2,EdgeWeight
Dbx1,Irx3,0.5601952075958252
Dbx1,Nkx22,0.579284131526947
Dbx1,Nkx61,0.8633405566215515
Dbx1,Nkx62,0.7908893823623657
Dbx1,Olig2,0.5706073641777039
Dbx1,Pax6,0.5676789879798889
Dbx2,Dbx1,0.9280515909194946
Dbx2,Nkx22,0.44190141558647156
Dbx2,Nkx61,0.98591548204422
Dbx2,Nkx62,0.8914318680763245
Dbx2,Olig2,0.4653755724430084
Dbx2,Pax6,0.45551639795303345
Irx3,Dbx1,0.4846307337284088
Irx3,Dbx2,0.9680638909339905
Irx3,Nkx61,0.4658682644367218
Irx3,Nkx62,0.48632732033729553
Irx3,Olig2,0.9630738496780396
Irx3,Pax6,0.9661676287651062
Nkx22,Dbx1,0.4080412685871124
Nkx22,Dbx2,0.4082473814487457
Nkx22,Irx3,0.5411339998245239
Nkx22,Nkx62,0.40020620822906494
Nkx22,Olig2,0.5093814730644226
Nkx22,Pax6,0.995979368686676
Nkx61,Dbx1,0.7176540493965149
Nkx61,Dbx2,0.9863743782043457
Nkx61,Irx3,0.46172982454299927
Nkx61,Nkx22,0.4913507401943207
Nkx61,Olig2,0.4595971405506134
Nkx61,Pax6,0.4725118577480316
Nkx62,Dbx1,0.7957932353019714
Nkx62,Dbx2,0.9788461923599243
Nkx62,Irx3,0.5647836327552795
Nkx62,Nkx22,0.5463942289352417
Nkx62,Nkx61,0.7599759697914124
Nkx62,Pax6,0.5454326868057251
Olig2,Dbx1,0.4623318612575531
Olig2,Dbx2,0.4798206388950348
Olig2,Irx3,0.9989910125732422
Olig2,Nkx22,0.976905882358551
Olig2,Nkx61,0.43565019965171814
Olig2,Nkx62,0.46659189462661743
Pax6,Dbx1,0.4038461148738861
Pax6,Dbx2,0.4153846204280853
Pax6,Irx3,0.6693319082260132
Pax6,Nkx22,0.9645748138427734
Pax6,Nkx61,0.39402833580970764
Pax6,Nkx62,0.4049595296382904
Pax6,Olig2,0.6943320035934448
