Gene1,Gene2,EdgeWeight
Dbx1,Irx3,0.11512987315654755
Dbx1,Nkx22,0.11500582844018936
Dbx1,Nkx61,0.17707327008247375
Dbx1,Nkx62,0.16280914843082428
Dbx1,Olig2,0.11331894248723984
Dbx1,Pax6,0.11041650921106339
Dbx2,Dbx1,0.18532729148864746
Dbx2,Nkx22,0.09099254012107849
Dbx2,Nkx61,0.1924588680267334
Dbx2,Nkx62,0.1810200959444046
Dbx2,Olig2,0.09407584369182587
Dbx2,Pax6,0.09167510271072388
Irx3,Dbx1,0.086902916431427
Irx3,Dbx2,0.1859876960515976
Irx3,Nkx61,0.08002842217683792
Irx3,Nkx62,0.0879058837890625
Irx3,Olig2,0.1863638162612915
Irx3,Pax6,0.18657277524471283
Nkx22,Dbx1,0.11402500420808792
Nkx22,Dbx2,0.11481534689664841
Nkx22,Irx3,0.14630934596061707
Nkx22,Nkx62,0.10997749119997025
Nkx22,Olig2,0.13749581575393677
Nkx22,Pax6,0.24903003871440887
Nkx61,Dbx1,0.17048101127147675
Nkx61,Dbx2,0.23320959508419037
Nkx61,Irx3,0.10811261087656021
Nkx61,Nkx22,0.11334922164678574
Nkx61,Olig2,0.10786325484514236
Nkx61,Pax6,0.11002440005540848
Nkx62,Dbx1,0.17204174399375916
Nkx62,Dbx2,0.20975905656814575
Nkx62,Irx3,0.11760622262954712
Nkx62,Nkx22,0.11251554638147354
Nkx62,Nkx61,0.16914932429790497
Nkx62,Pax6,0.10728024691343307
Olig2,Dbx1,0.09611601382493973
Olig2,Dbx2,0.0990544781088829
Olig2,Irx3,0.21372544765472412
Olig2,Nkx22,0.19223205745220184
Olig2,Nkx61,0.09019170701503754
Olig2,Nkx62,0.09808290004730225
Pax6,Dbx1,0.09989865869283676
Pax6,Dbx2,0.10352165997028351
Pax6,Irx3,0.1708386093378067
Pax6,Nkx22,0.2472003996372223
Pax6,Nkx61,0.09961996227502823
Pax6,Nkx62,0.09956929832696915
Pax6,Olig2,0.17935140430927277
