Gene1,Gene2,EdgeWeight
Nkx61,Nkx62,0.0977295413613319
Nkx22,Nkx61,0.0977285504341125
Olig2,Nkx61,0.0977282226085662
Pax6,Dbx1,0.0977277755737304
Nkx22,Olig2,0.097724974155426
Irx3,Dbx1,0.0977142751216888
Nkx62,Dbx1,0.0977094247937202
Pax6,Irx3,0.0977090373635292
Dbx2,Pax6,0.0977082476019859
Olig2,Dbx1,0.097706601023674
Dbx1,Nkx61,0.0977052524685859
Olig2,Nkx62,0.0977028161287307
Dbx2,Olig2,0.097700111567974
Dbx2,Nkx22,0.0976908132433891
Dbx2,Dbx1,0.0976884514093399
Dbx1,Dbx2,0.0976877585053443
Pax6,Nkx61,0.0976873785257339
Dbx1,Olig2,0.0976750180125236
Irx3,Dbx2,0.0976747572422027
Irx3,Nkx62,0.0976727381348609
Nkx22,Nkx62,0.0976653471589088
Olig2,Irx3,0.097664289176464
Nkx62,Olig2,0.097661443054676
Irx3,Nkx61,0.0976550579071044
Nkx62,Dbx2,0.0976539254188537
Nkx62,Nkx61,0.0976412817835807
Nkx22,Pax6,0.0976379066705703
Irx3,Olig2,0.0976358279585838
Olig2,Pax6,0.097635693848133
Pax6,Dbx2,0.097635231912136
Irx3,Nkx22,0.0976342484354972
Nkx22,Dbx2,0.0976330190896987
Nkx22,Irx3,0.0976326093077659
Nkx62,Pax6,0.0976315587759018
Pax6,Nkx62,0.0976294800639152
Dbx2,Nkx61,0.0976183712482452
Dbx1,Nkx22,0.09760432690382
Nkx62,Irx3,0.0976024270057678
Olig2,Dbx2,0.0976023972034454
Olig2,Nkx22,0.0976015478372573
Irx3,Pax6,0.0976000055670738
Nkx61,Nkx22,0.0975921601057052
Pax6,Nkx22,0.0975916981697082
Nkx61,Irx3,0.0975900515913963
Nkx22,Dbx1,0.0975725501775741
Dbx1,Pax6,0.0975656136870384
Dbx1,Irx3,0.0975607335567474
Dbx1,Nkx62,0.0975558012723922
Nkx61,Olig2,0.097555324435234
Nkx61,Pax6,0.0975537002086639
Nkx62,Nkx22,0.0975518822669982
Nkx61,Dbx1,0.0975497364997863
Nkx61,Dbx2,0.097542256116867
Dbx2,Irx3,0.0975389927625656
Dbx2,Nkx62,0.0975354611873626
Pax6,Olig2,0.0975353717803955
