Gene1	Gene2	EdgeWeight
Nkx62	Dbx2	0.9952419996261596
Nkx61	Dbx2	0.9941281080245972
Nkx22	Dbx2	0.99240642786026
Nkx62	Dbx1	0.9496122598648072
Nkx61	Dbx1	0.9322255253791808
Nkx22	Dbx1	0.8984363675117493
Olig2	Dbx2	0.8969389200210571
Dbx2	Nkx61	0.8576286435127258
Dbx2	Nkx22	0.8574946522712708
Dbx2	Nkx62	0.8482317328453064
Olig2	Irx3	0.8435107469558716
Pax6	Dbx1	0.8397698402404785
Irx3	Olig2	0.8014040589332581
Dbx2	Olig2	0.7816765308380127
Pax6	Dbx2	0.7632282376289368
Dbx1	Dbx2	0.7114729881286621
Nkx22	Irx3	0.689009428024292
Dbx1	Nkx62	0.6664329767227173
Dbx2	Dbx1	0.658999502658844
Nkx61	Irx3	0.6292558908462524
Nkx62	Irx3	0.6118652820587158
Dbx1	Nkx61	0.6117193698883057
Irx3	Nkx22	0.5760778188705444
Irx3	Nkx61	0.5119403600692749
Dbx1	Nkx22	0.5095831751823425
Pax6	Nkx62	0.5018247365951538
Pax6	Nkx61	0.4549780189990997
Irx3	Nkx62	0.4511544108390808
Pax6	Nkx22	0.3746240437030792
Olig2	Dbx1	0.31986817717552185
Pax6	Irx3	0.2008402645587921
Irx3	Dbx2	0.1709207445383072
Irx3	Dbx1	0.17073480784893036
Dbx2	Irx3	0.16079477965831754
Dbx1	Olig2	0.1549513190984726
Pax6	Olig2	0.1351735293865204
Nkx61	Nkx62	0.10980112105607986
Dbx1	Irx3	0.10905925184488297
Nkx22	Nkx62	0.10100381076335907
Olig2	Nkx22	0.09855062514543532
Olig2	Nkx62	0.09687937796115877
Olig2	Nkx61	0.09677483141422273
Nkx62	Nkx61	0.08484945446252823
Nkx22	Nkx61	0.0772198811173439
Nkx61	Nkx22	0.050581414252519614
Nkx62	Nkx22	0.05046631023287773
Nkx22	Olig2	0.025487145408988
Nkx61	Olig2	0.01949848420917988
Nkx62	Olig2	0.017654135823249817
