Gene1	Gene2	EdgeWeight
Nkx22	Pax6	0.06102315117288889
Irx3	Olig2	0.05645383852415
Nkx22	Olig2	0.04949505719744445
Olig2	Pax6	0.045751978691000006
Irx3	Nkx22	0.031126932760411112
Irx3	Pax6	0.02652930173918333
Dbx2	Nkx61	0.026234346962533333
Irx3	Nkx61	0.016603105644116666
Nkx22	Nkx61	0.015747363663772218
Dbx2	Nkx62	0.014630371088005556
Nkx61	Nkx62	0.013954122405361109
Dbx1	Dbx2	0.01289152001162222
Dbx1	Nkx61	0.012177588200094446
Nkx61	Olig2	0.012102009428172222
Nkx61	Pax6	0.01191502216837222
Dbx2	Irx3	0.009815875509888888
Dbx2	Pax6	0.009277317052611112
Nkx62	Pax6	0.00903544103561111
Dbx1	Nkx62	0.008796934135144444
Dbx1	Irx3	0.007199248173405555
Dbx1	Nkx22	0.0068413956377111115
Irx3	Nkx62	0.006802945436250001
Dbx2	Nkx22	0.0064365079899722216
Dbx2	Olig2	0.006421938779616668
Dbx1	Pax6	0.006005003934356666
Dbx1	Olig2	0.005110971745911111
Nkx62	Olig2	0.004597452514622223
Nkx22	Nkx62	0.003948744916326665
