TF	target	importance
Pax6	Nkx22	0.539190728173494
Nkx22	Pax6	0.4944029743462225
Nkx61	Dbx2	0.4230494870319761
Irx3	Olig2	0.41854126137062836
Olig2	Irx3	0.4172720536397194
Dbx2	Nkx61	0.3721490858169352
Dbx2	Dbx1	0.3104391277492413
Dbx2	Nkx62	0.2986857780324726
Dbx1	Nkx62	0.2586424420326093
Nkx62	Dbx1	0.25608042649847834
Pax6	Olig2	0.23504340954591413
Nkx61	Nkx62	0.22066278430815237
Nkx61	Dbx1	0.22043375074294222
Dbx1	Dbx2	0.21060125431403987
Pax6	Irx3	0.2065662868834627
Olig2	Pax6	0.19923552817499032
Irx3	Pax6	0.1833401402641445
Dbx1	Nkx61	0.17790177037931887
Nkx22	Olig2	0.17409185632732332
Olig2	Nkx22	0.16513744082640286
Nkx62	Nkx61	0.1650104408417403
Nkx22	Irx3	0.16389348999343473
Nkx62	Dbx2	0.162211963211865
Irx3	Nkx22	0.16076695947508712
Irx3	Dbx2	0.10229574143521773
Dbx2	Irx3	0.0957903737407416
Irx3	Nkx61	0.08959551806570351
Nkx22	Nkx61	0.07491438615572418
Irx3	Dbx1	0.06733487316301535
Irx3	Nkx62	0.0662601859796651
Dbx2	Olig2	0.06302090620104904
Olig2	Nkx61	0.06291232154236259
Olig2	Nkx62	0.05778181006845168
Pax6	Nkx61	0.05751647719821541
Olig2	Dbx1	0.05120690272884067
Nkx22	Nkx62	0.050573337651652575
Nkx61	Irx3	0.048550241945179484
Dbx2	Nkx22	0.047975982027648884
Pax6	Dbx1	0.047711404815144964
Pax6	Nkx62	0.04739366192699623
Nkx22	Dbx1	0.046793514302337184
Dbx2	Pax6	0.041009485797980964
Nkx61	Olig2	0.04076551447142201
Olig2	Dbx2	0.0387015241996029
Nkx22	Dbx2	0.03806069254801301
Dbx1	Irx3	0.036216073599736616
Nkx62	Olig2	0.03443433828304723
Dbx1	Olig2	0.034102713800615796
Nkx61	Nkx22	0.03199586727616672
Nkx62	Irx3	0.0317114801977255
Nkx62	Nkx22	0.028974252942209438
Nkx61	Pax6	0.02805883357523681
Nkx62	Pax6	0.027686201110203718
Dbx1	Pax6	0.026266836731221113
Dbx1	Nkx22	0.02595876927899098
Pax6	Dbx2	0.025079337259285503
