TF	Target	EdgeWeight
Olig2	Nkx22	0.09774283319711685
Dbx2	Pax6	0.09774182736873627
Dbx1	Nkx61	0.09773894399404526
Olig2	Nkx62	0.09771741181612015
Dbx1	Nkx62	0.09771572053432465
Irx3	Nkx22	0.0977148711681366
Nkx61	Nkx22	0.09771101176738739
Nkx22	Nkx62	0.09769845008850098
Nkx22	Irx3	0.09769345074892044
Dbx2	Olig2	0.09768801927566528
Nkx61	Dbx2	0.09768365323543549
Nkx61	Dbx1	0.09768352657556534
Olig2	Nkx61	0.09768028557300568
Irx3	Dbx1	0.09767860919237137
Nkx22	Pax6	0.09767573326826096
Nkx62	Dbx2	0.09767115116119385
Nkx22	Nkx61	0.09766601026058197
Dbx1	Pax6	0.09766515344381332
Dbx1	Dbx2	0.09766260534524918
Irx3	Nkx61	0.09765952825546265
Nkx62	Nkx22	0.09765919297933578
Nkx61	Nkx62	0.09765880554914474
Nkx61	Pax6	0.09765791147947311
Nkx62	Dbx1	0.09765434265136719
Pax6	Dbx2	0.09764959663152695
Dbx2	Nkx61	0.09764937311410904
Irx3	Olig2	0.09764910489320755
Dbx2	Nkx62	0.0976477637887001
Pax6	Irx3	0.09764458239078522
Olig2	Pax6	0.09764441102743149
Dbx1	Olig2	0.0976443961262703
Dbx1	Nkx22	0.09763822704553604
Nkx61	Irx3	0.09762565791606903
Nkx62	Pax6	0.09762357175350189
Dbx2	Dbx1	0.09762294590473175
Nkx22	Dbx1	0.09762091189622879
Nkx62	Olig2	0.09762009233236313
Nkx22	Dbx2	0.09761647135019302
Pax6	Nkx61	0.09761533886194229
Olig2	Irx3	0.09761416912078857
Nkx22	Olig2	0.09761376678943634
Nkx62	Irx3	0.09761276096105576
Pax6	Dbx1	0.09761079400777817
Irx3	Dbx2	0.09760245680809021
Pax6	Olig2	0.0976002961397171
Dbx1	Irx3	0.09759969264268875
Pax6	Nkx62	0.09759365767240524
Olig2	Dbx1	0.09758388251066208
Pax6	Nkx22	0.09757167845964432
Nkx61	Olig2	0.09757110476493835
Irx3	Pax6	0.09756305068731308
Dbx2	Nkx22	0.09756020456552505
Irx3	Nkx62	0.09755970537662506
Olig2	Dbx2	0.09755124896764755
Nkx62	Nkx61	0.09754814952611923
Dbx2	Irx3	0.09754377603530884
