Gene1	Gene2	EdgeWeight
Olig2	Irx3	406.7115307470624
Irx3	Olig2	335.5031806535482
Pax6	Nkx22	329.91055679306214
Nkx22	Pax6	325.8414276899244
Nkx61	Dbx2	240.522506499674
Dbx2	Dbx1	236.86192969534503
Dbx2	Nkx62	229.3565307990429
Dbx2	Nkx61	210.16402727354253
Pax6	Irx3	205.80299974100072
Pax6	Olig2	203.3280931601045
Nkx61	Dbx1	198.73734424891342
Nkx61	Nkx62	193.039471619891
Nkx62	Dbx1	188.99784843181408
Dbx1	Nkx62	167.66468763123038
Nkx22	Irx3	163.01451399243857
Nkx22	Olig2	157.21633152737004
Olig2	Pax6	133.78835673441034
Nkx62	Dbx2	127.88780796227644
Irx3	Pax6	119.47582968444424
Olig2	Nkx22	117.27814393914272
Dbx1	Dbx2	116.21371964187912
Irx3	Nkx22	97.94938057948706
Dbx2	Irx3	88.60106231676181
Dbx1	Nkx61	79.37061608578686
Nkx62	Nkx61	76.35038053219333
Irx3	Dbx2	57.56341676741634
Irx3	Nkx62	51.10901909984968
Nkx61	Irx3	49.158197155647954
Irx3	Dbx1	47.02648569770173
Nkx22	Nkx62	43.496866459535134
Nkx22	Dbx1	41.18848451798815
Pax6	Dbx1	35.8212964442373
Olig2	Dbx1	35.366610964000365
Dbx1	Irx3	35.147918822113034
Irx3	Nkx61	34.82187091281618
Dbx2	Olig2	32.37148867582886
Olig2	Nkx62	31.011824296500716
Nkx62	Irx3	30.563777224975468
Nkx61	Olig2	27.82071788053267
Pax6	Nkx62	27.321600093950074
Olig2	Dbx2	26.379410487753766
Dbx2	Nkx22	21.309977785224408
Dbx2	Pax6	19.93735375672018
Nkx22	Nkx61	19.30312307171073
Pax6	Dbx2	19.271273023385252
Nkx22	Dbx2	19.16186561761501
Nkx62	Olig2	18.26890186651031
Dbx1	Olig2	17.491286236105427
Nkx61	Nkx22	15.837039398199488
Olig2	Nkx61	15.506480072035403
Nkx62	Pax6	12.666453329054097
Nkx61	Pax6	12.590937164463925
Pax6	Nkx61	12.483502051914945
Nkx62	Nkx22	10.606877019179343
Dbx1	Nkx22	10.108024485704783
Dbx1	Pax6	9.69964164098282
