Gene1	Gene2	EdgeWeight
Nkx61	Dbx2	0.26343390345573425
Nkx22	Pax6	0.25838133692741394
Pax6	Nkx22	0.2365783452987671
Nkx62	Dbx2	0.2147779762744904
Olig2	Irx3	0.205996572971344
Dbx2	Nkx61	0.20543575286865234
Olig2	Nkx22	0.2007341831922531
Dbx2	Dbx1	0.1900329887866974
Dbx2	Nkx62	0.1883288472890854
Nkx62	Dbx1	0.1843193471431732
Dbx1	Nkx62	0.18253926932811734
Irx3	Olig2	0.1807706505060196
Pax6	Irx3	0.1792176514863968
Irx3	Dbx2	0.17904043197631836
Irx3	Pax6	0.17827914655208588
Pax6	Olig2	0.17416328191757202
Nkx62	Nkx61	0.1659144163131714
Dbx1	Nkx61	0.14695407450199127
Nkx22	Dbx1	0.13907349109649658
Nkx22	Nkx62	0.1371043175458908
Nkx61	Nkx22	0.1325381100177765
Nkx61	Dbx1	0.12726539373397827
Nkx61	Olig2	0.12202150374650955
Nkx22	Olig2	0.12083394825458528
Nkx22	Irx3	0.11938169598579408
Dbx1	Nkx22	0.11679166555404664
Dbx1	Olig2	0.11522689461708067
Nkx62	Nkx22	0.115105003118515
Nkx61	Irx3	0.11447259038686752
Nkx61	Pax6	0.1142420843243599
Dbx1	Irx3	0.10991205275058746
Pax6	Dbx2	0.10716106742620468
Dbx1	Pax6	0.10707926005125046
Nkx62	Irx3	0.10702413320541382
Nkx22	Dbx2	0.1070004478096962
Irx3	Nkx62	0.10585325211286543
Olig2	Dbx1	0.10499288141727448
Nkx62	Pax6	0.1049160733819008
Pax6	Nkx62	0.1025739088654518
Olig2	Nkx62	0.10225559026002884
Irx3	Dbx1	0.10220254212617874
Pax6	Dbx1	0.10187309980392456
Pax6	Nkx61	0.0984327271580696
Olig2	Dbx2	0.09330108016729356
Dbx2	Olig2	0.0901007205247879
Olig2	Nkx61	0.0853438526391983
Dbx2	Pax6	0.08501014858484268
Dbx2	Nkx22	0.08490092307329178
Irx3	Nkx61	0.0801771804690361
