Gene1	Gene2	EdgeWeight
Olig2	Irx3	1.0
Olig2	Nkx22	0.999898374080658
Irx3	Olig2	0.9997035264968872
Nkx61	Dbx2	0.999546468257904
Nkx62	Dbx2	0.999526023864746
Nkx22	Pax6	0.9946911334991456
Pax6	Nkx22	0.9902329444885254
Dbx2	Nkx61	0.9826233386993408
Irx3	Pax6	0.97618567943573
Dbx2	Nkx62	0.8856501579284668
Dbx1	Nkx61	0.8784826397895813
Nkx62	Nkx61	0.8758293986320496
Irx3	Dbx2	0.8677866458892822
Nkx62	Dbx1	0.8253554105758667
Dbx2	Dbx1	0.8033632040023804
Nkx61	Dbx1	0.7936508059501648
Dbx1	Nkx62	0.7803482413291931
Pax6	Olig2	0.6180107593536377
Pax6	Irx3	0.6130824685096741
Nkx62	Nkx22	0.546563982963562
Nkx62	Irx3	0.5441943407058716
Nkx62	Pax6	0.538981020450592
Olig2	Dbx1	0.5147357583045961
Olig2	Dbx2	0.5048779845237732
Olig2	Nkx62	0.5034552812576294
Nkx22	Irx3	0.4992278218269348
Irx3	Nkx62	0.4926877915859222
Irx3	Dbx1	0.4911067187786102
Nkx22	Olig2	0.4901544153690338
Dbx1	Olig2	0.4879353046417236
Dbx1	Nkx22	0.4856965243816376
Dbx2	Olig2	0.4806053936481476
Dbx1	Irx3	0.4769900143146515
Dbx1	Pax6	0.4723880589008331
Nkx61	Nkx22	0.4710884392261505
Olig2	Nkx61	0.4671747982501984
Nkx61	Irx3	0.4646258354187012
Irx3	Nkx61	0.4629446566104889
Nkx61	Olig2	0.4517006874084473
Dbx2	Pax6	0.4496636986732483
Nkx61	Pax6	0.4492063224315643
Dbx2	Nkx22	0.4337444007396698
Pax6	Dbx2	0.4336021244525909
Pax6	Nkx62	0.4309139847755432
Pax6	Dbx1	0.4306451678276062
Pax6	Nkx61	0.4220430254936218
Nkx22	Dbx1	0.4022201001644135
Nkx22	Dbx2	0.3923745453357697
Nkx22	Nkx62	0.38416987657547
