Gene1,Gene2,EdgeWeight
Irx3,Olig2,0.9995874762535095
Dbx2,Olig2,0.9995160102844238
Irx3,Nkx22,0.9991768002510071
Dbx2,Nkx22,0.9989414811134338
Irx3,Pax6,0.9980717897415161
Irx3,Dbx2,0.9979749321937561
Olig2,Dbx2,0.9977071285247803
Olig2,Pax6,0.9975994229316711
Nkx22,Pax6,0.9972315430641174
Olig2,Irx3,0.9966410398483276
Dbx2,Pax6,0.9963104128837585
Nkx22,Irx3,0.9959712624549866
Nkx22,Dbx2,0.9958177208900452
Nkx22,Olig2,0.9952758550643921
Dbx2,Irx3,0.9951707720756531
Dbx1,Nkx62,0.9951683282852173
Olig2,Nkx22,0.9903755784034729
Nkx61,Nkx62,0.985714316368103
Dbx2,Nkx61,0.9303509593009949
Irx3,Nkx61,0.9159312844276428
Nkx61,Dbx1,0.7825525999069214
Nkx62,Dbx1,0.7722858786582947
Nkx22,Nkx61,0.7202479839324951
Olig2,Nkx61,0.7005430459976196
Nkx62,Nkx61,0.48635125160217285
Dbx1,Nkx61,0.38165929913520813
Nkx22,Dbx1,0.1241469606757164
Olig2,Nkx62,0.07046705484390259
Nkx22,Nkx62,0.047920528799295425
Dbx2,Dbx1,0.04067052900791168
Olig2,Dbx1,0.04060046747326851
Irx3,Dbx1,0.037233617156744
Dbx2,Nkx62,0.029462870210409164
Nkx61,Dbx2,0.027423391118645668
Nkx61,Olig2,0.02346990816295147
Nkx62,Olig2,0.022166583687067032
Nkx61,Pax6,0.02029195986688137
Nkx61,Irx3,0.02029155194759369
Irx3,Nkx62,0.01948118954896927
Nkx62,Nkx22,0.015456200577318668
Nkx61,Nkx22,0.012605075724422932
Nkx62,Dbx2,0.010616178624331951
Dbx1,Olig2,0.0063109309412539005
Nkx62,Pax6,0.005987837910652161
Nkx62,Irx3,0.005873529706150293
Dbx1,Nkx22,0.004887304734438658
Dbx1,Dbx2,0.003204135224223137
Dbx1,Irx3,0.002129435772076249
Dbx1,Pax6,0.0018534113187342882
