TF	target	importance
Olig2	Irx3	417.8089869487053
Irx3	Olig2	409.230341377532
Pax6	Nkx22	386.2962267265131
Nkx22	Pax6	309.13342875274606
Dbx2	Dbx1	281.1729261597615
Pax6	Olig2	246.3529480829329
Nkx61	Dbx2	221.86776448667646
Dbx2	Nkx62	221.194489807548
Pax6	Irx3	215.61615261265638
Dbx2	Nkx61	203.521685341746
Nkx61	Dbx1	194.1374811049769
Nkx22	Irx3	182.5074317480842
Nkx61	Nkx62	181.56467321564077
Nkx22	Olig2	167.4570773492269
Nkx62	Dbx1	164.29637030216486
Dbx1	Nkx62	148.1565642779798
Irx3	Pax6	129.81180115818944
Olig2	Pax6	122.54393409748474
Nkx62	Dbx2	121.05569773004983
Olig2	Nkx22	109.36386339129146
Nkx62	Nkx61	103.6872719915112
Irx3	Nkx22	102.64532340154933
Dbx2	Irx3	88.82446590725603
Dbx1	Nkx61	88.74179337051956
Dbx1	Dbx2	76.02753135135636
Nkx61	Irx3	66.66095782503294
Irx3	Nkx61	50.11612897617765
Irx3	Dbx1	45.37655218077021
Irx3	Dbx2	42.14537092842579
Dbx2	Olig2	41.91706867016397
Nkx62	Irx3	32.72281957931765
Nkx61	Olig2	32.14660974742921
Olig2	Dbx1	31.513459344529597
Dbx1	Irx3	29.85918537894746
Irx3	Nkx62	29.373784122810754
Pax6	Dbx1	29.102636679743664
Nkx22	Dbx1	26.400574228053227
Olig2	Nkx62	24.713618959547922
Olig2	Dbx2	24.25098838509069
Pax6	Nkx62	22.10473529071045
Olig2	Nkx61	21.01216882456498
Nkx62	Olig2	20.9658025946442
Nkx22	Nkx61	19.868917037192237
Dbx2	Nkx22	19.074443484827167
Nkx22	Nkx62	18.892134325762253
Nkx22	Dbx2	18.68187907008029
Nkx61	Nkx22	16.823795466107224
Dbx2	Pax6	16.397107855185777
Dbx1	Olig2	15.93015217807076
Pax6	Nkx61	14.052034458288396
Pax6	Dbx2	11.970768048320505
Nkx61	Pax6	11.691220112465396
Nkx62	Nkx22	11.627186699276633
Dbx1	Nkx22	9.169160830435096
Dbx1	Pax6	8.768120067293722
Nkx62	Pax6	8.65438795663483
