Gene1,Gene2,EdgeWeight
Nkx22,Pax6,0.06966710215788889
Irx3,Olig2,0.05240003121218889
Olig2,Pax6,0.042217398827477784
Nkx22,Olig2,0.032925839487716664
Dbx2,Nkx61,0.0307579972385
Irx3,Pax6,0.027348193268888887
Irx3,Nkx22,0.0267481513715
Nkx61,Nkx62,0.024577787787444443
Dbx1,Nkx62,0.019941123114055555
Dbx2,Nkx62,0.019452442956894442
Dbx1,Nkx61,0.01775203075665
Dbx1,Dbx2,0.017022828462
Dbx2,Olig2,0.013764711508222224
Irx3,Nkx61,0.012233621069955555
Nkx61,Olig2,0.0116692981883
Dbx1,Olig2,0.010772033106433333
Dbx2,Pax6,0.010502166889255555
Dbx2,Irx3,0.010486594099711111
Nkx62,Pax6,0.010479853883466667
Nkx22,Nkx61,0.010406326281416666
Dbx1,Irx3,0.009889934687533334
Irx3,Nkx62,0.009294398390849999
Nkx22,Nkx62,0.007966538735638889
Dbx2,Nkx22,0.007607094884438889
Nkx61,Pax6,0.007136002572842222
Dbx1,Pax6,0.0067805335716299995
Nkx62,Olig2,0.006730606961433333
Dbx1,Nkx22,0.0063755710402755555
