Gene1	Gene2	EdgeWeight
G8	G12	63.87865829467773
G12	G8	53.44784927368164
G77	G33	42.14326477050781
G92	G84	41.31692886352539
G92	G94	36.68824768066406
G7	G70	34.5721549987793
G82	G63	33.229679107666016
G70	G7	32.5781135559082
G18	G4	31.939329147338867
G28	G80	31.313066482543945
G18	G99	30.699085235595703
G44	G47	30.097143173217773
G92	G32	29.50700187683105
G7	G72	28.92843437194824
G74	G66	27.80510711669922
G59	G5	27.80510711669922
G5	G59	26.72687721252441
G10	G27	24.20602035522461
G59	G69	24.20602035522461
G22	G2	23.73139190673828
G38	G15	22.809873580932617
G59	G23	21.92413711547852
G10	G90	21.494253158569336
G51	G40	21.07279586791992
G33	G77	21.07279586791992
G38	G95	20.65960502624512
G38	G26	20.254514694213867
G2	G22	19.85736656188965
G74	G64	19.086280822753903
G15	G22	19.086280822753903
G33	G65	19.086280822753903
G51	G93	18.71203994750977
G30	G84	18.345138549804688
G82	G27	18.345138549804688
G3	G79	17.985429763793945
G76	G14	17.632774353027344
G82	G90	17.632774353027344
G55	G6	16.949007034301758
G79	G3	16.94807243347168
G74	G54	16.28995704650879
G98	G22	16.28995704650879
G84	G32	16.28995704650879
G51	G5	15.97054672241211
G74	G37	15.97054672241211
G82	G48	15.97054672241211
G74	G91	15.97054672241211
G90	G10	15.97054672241211
G76	G24	15.97054672241211
G18	G32	15.657398223876951
G51	G66	15.657398223876951
G5	G69	15.351238250732422
G90	G3	15.350390434265137
G97	G92	15.050233840942385
G19	G32	15.050233840942385
G91	G47	15.049402236938477
G51	G42	14.754316329956056
G74	G96	14.754316329956056
G75	G55	14.754316329956056
G10	G70	14.754316329956056
G90	G82	14.754316329956056
G87	G13	14.465015411376951
G92	G97	14.181387901306152
G51	G16	14.181387901306152
G74	G6	14.181387901306152
G80	G28	13.90408992767334
G87	G98	13.903321266174316
G51	G23	13.903321266174316
G58	G25	13.903321266174316
G38	G86	13.903321266174316
G10	G57	13.903321266174316
G18	G31	13.630707740783691
G32	G84	13.630707740783691
G44	G81	13.630707740783691
G38	G96	13.363438606262209
G91	G39	13.363438606262209
G91	G22	13.363438606262209
G44	G40	13.363438606262209
G74	G63	13.101410865783691
G78	G94	13.101410865783691
G51	G53	13.101410865783691
G55	G75	12.845229148864746
G87	G47	12.844520568847656
G51	G62	12.844520568847656
G88	G48	12.844520568847656
G38	G66	12.844520568847656
G70	G72	12.592666625976562
G44	G35	12.592666625976562
G51	G86	12.592666625976562
G63	G82	12.346433639526367
G97	G94	12.346433639526367
G87	G81	12.345751762390137
G19	G71	12.10434627532959
G87	G77	12.103677749633787
G22	G98	12.103677749633787
G18	G78	12.103677749633787
G15	G38	11.866351127624512
G51	G6	11.866351127624512
G44	G34	11.866351127624512
G69	G59	11.866351127624512
G82	G67	11.866351127624512
G38	G34	11.866351127624512
G70	G8	11.63367748260498
G98	G26	11.63367748260498
G74	G3	11.63367748260498
G12	G27	11.63367748260498
G55	G97	11.40619659423828
G88	G26	11.405566215515137
G77	G65	11.405566215515137
G22	G15	11.405566215515137
G87	G95	11.405566215515137
G19	G29	11.18254566192627
G91	G80	11.181927680969238
G87	G93	11.181927680969238
G90	G1	10.962674140930176
G38	G52	10.962674140930176
G51	G45	10.962674140930176
G51	G52	10.747719764709473
G44	G88	10.747719764709473
G75	G65	10.747719764709473
G51	G13	10.747719764709473
G57	G5	10.536980628967283
G51	G27	10.536980628967283
G18	G70	10.536980628967283
G15	G2	10.536980628967283
G15	G54	10.536980628967283
G90	G27	10.33037281036377
G18	G64	10.33037281036377
G23	G69	10.33037281036377
G58	G64	10.33037281036377
G38	G54	10.33037281036377
G10	G31	10.33037281036377
G20	G41	10.127816200256348
G39	G44	10.127816200256348
G51	G65	10.127816200256348
G47	G44	10.127816200256348
G88	G42	10.127816200256348
G91	G1	10.127816200256348
G90	G53	10.127816200256348
G51	G68	10.127816200256348
G8	G79	9.929780006408691
G76	G4	9.929231643676758
G91	G60	9.929231643676758
G88	G53	9.929231643676758
G91	G4	9.929231643676758
G27	G82	9.735078811645508
G38	G42	9.734540939331056
G51	G3	9.734540939331056
G74	G47	9.734540939331056
G88	G49	9.734540939331056
G32	G85	9.734540939331056
G70	G12	9.734540939331056
G10	G26	9.734540939331056
G62	G56	9.734540939331056
G58	G12	9.734540939331056
G10	G42	9.734540939331056
G5	G23	9.544194221496582
G91	G27	9.543667793273926
G8	G40	9.357053756713867
G74	G4	9.356536865234377
G41	G69	9.356536865234377
G38	G31	9.356536865234377
G44	G39	9.356536865234377
G88	G18	9.356536865234377
G41	G20	9.356536865234377
G88	G58	9.356536865234377
G96	G73	9.356536865234377
G84	G92	9.356536865234377
G76	G68	9.356536865234377
G62	G42	9.173075675964355
G74	G38	8.993210792541504
G91	G93	8.816873550415039
G91	G69	8.816873550415039
G37	G83	8.816873550415039
G98	G11	8.816873550415039
G18	G52	8.816873550415039
G8	G83	8.644471168518066
G10	G99	8.643993377685547
G45	G86	8.643993377685547
G17	G2	8.643993377685547
G44	G20	8.643993377685547
G8	G16	8.474971771240234
G13	G87	8.474971771240234
G97	G13	8.474971771240234
G88	G78	8.474503517150879
G39	G34	8.474503517150879
G69	G23	8.474503517150879
G10	G63	8.474503517150879
G87	G38	8.474503517150879
G87	G86	8.474503517150879
G18	G74	8.474503517150879
G8	G92	8.308795928955078
G74	G27	8.308337211608887
G82	G16	8.308337211608887
G78	G23	8.308337211608887
G6	G55	8.308337211608887
G82	G69	8.308337211608887
G88	G82	8.308337211608887
G87	G37	8.308337211608887
G27	G10	8.145877838134766
G97	G45	8.145877838134766
G76	G98	8.145428657531738
G18	G97	8.145428657531738
G57	G23	8.145428657531738
G38	G3	8.145428657531738
G17	G30	8.145428657531738
G88	G43	8.145428657531738
G38	G78	8.145428657531738
G88	G79	8.145428657531738
G8	G20	7.986155033111572
G97	G55	7.986155033111572
G74	G29	7.985713958740234
G65	G33	7.985713958740234
G74	G68	7.985713958740234
G91	G11	7.985713958740234
G17	G4	7.985713958740234
G91	G74	7.985713958740234
G38	G16	7.985713958740234
G78	G57	7.985713958740234
G38	G57	7.829131603240967
G51	G24	7.829131603240967
G10	G37	7.829131603240967
G22	G9	7.829131603240967
G11	G98	7.829131603240967
G51	G35	7.829131603240967
G91	G66	7.829131603240967
G30	G58	7.829131603240967
G91	G63	7.829131603240967
G87	G58	7.829131603240967
G8	G28	7.676043033599853
G39	G52	7.675619125366211
G17	G11	7.675619125366211
G89	G83	7.675619125366211
G10	G100	7.675619125366211
G27	G12	7.525532245635986
G13	G22	7.525532245635986
G1	G87	7.525116920471191
G96	G23	7.525116920471191
G51	G83	7.525116920471191
G78	G93	7.525116920471191
G10	G25	7.525116920471191
G7	G97	7.525116920471191
G20	G31	7.525116920471191
G98	G40	7.525116920471191
G41	G6	7.525116920471191
G91	G35	7.377565383911133
G58	G29	7.377565383911133
G74	G88	7.377565383911133
G88	G27	7.377565383911133
G42	G62	7.232907295227051
G41	G72	7.232907295227051
G51	G63	7.232907295227051
G1	G22	7.232907295227051
G84	G99	7.232907295227051
G28	G69	7.232907295227051
G10	G58	7.232907295227051
G98	G50	7.232907295227051
G13	G40	7.091477394104004
G5	G57	7.091477394104004
G37	G24	7.091085433959961
G78	G14	7.091085433959961
G51	G4	7.091085433959961
G23	G5	7.091085433959961
G41	G55	7.091085433959961
G70	G63	7.091085433959961
G75	G3	7.091085433959961
G30	G85	7.091085433959961
G82	G17	7.091085433959961
G1	G40	7.091085433959961
G77	G87	7.091085433959961
G76	G100	7.091085433959961
G72	G70	7.091085433959961
G28	G93	6.95204496383667
G88	G45	6.95204496383667
G98	G2	6.95204496383667
G15	G5	6.95204496383667
G79	G39	6.95204496383667
G82	G41	6.95204496383667
G84	G85	6.95204496383667
G74	G70	6.815730094909668
G15	G40	6.815730094909668
G81	G87	6.815730094909668
G88	G22	6.815730094909668
G30	G62	6.815730094909668
G41	G46	6.815730094909668
G97	G29	6.682457447052002
G19	G7	6.682457447052002
G38	G87	6.682088375091553
G1	G59	6.682088375091553
G76	G39	6.682088375091553
G88	G96	6.682088375091553
G10	G61	6.682088375091553
G74	G2	6.682088375091553
G87	G45	6.682088375091553
G38	G9	6.682088375091553
G91	G78	6.682088375091553
G76	G34	6.551066875457764
G91	G14	6.551066875457764
G35	G44	6.551066875457764
G1	G78	6.551066875457764
G10	G2	6.551066875457764
G26	G98	6.551066875457764
G91	G34	6.551066875457764
G42	G50	6.551066875457764
G51	G11	6.551066875457764
G30	G35	6.551066875457764
G55	G92	6.422969341278076
G86	G45	6.422969341278076
G55	G83	6.422969341278076
G13	G73	6.422969341278076
G39	G31	6.422614574432373
G1	G16	6.422614574432373
G18	G75	6.422614574432373
G74	G31	6.422614574432373
G91	G28	6.422614574432373
G91	G76	6.422614574432373
G90	G69	6.422614574432373
G87	G75	6.422614574432373
G39	G72	6.422614574432373
G43	G16	6.2970290184021
G13	G100	6.2970290184021
G63	G17	6.2970290184021
G55	G62	6.2970290184021
G97	G44	6.2970290184021
G30	G17	6.296680927276611
G41	G60	6.296680927276611
G44	G58	6.296680927276611
G91	G15	6.296680927276611
G38	G81	6.296680927276611
G7	G73	6.296680927276611
G52	G14	6.296680927276611
G10	G62	6.296680927276611
G70	G68	6.296680927276611
G1	G67	6.296680927276611
G87	G40	6.296680927276611
G37	G9	6.296680927276611
G19	G36	6.173557758331299
G59	G70	6.173216819763184
G76	G73	6.173216819763184
G51	G73	6.173216819763184
G59	G75	6.173216819763184
G41	G67	6.173216819763184
G32	G99	6.173216819763184
G51	G99	6.173216819763184
G13	G44	6.052507400512695
G63	G74	6.052507400512695
G93	G64	6.052507400512695
G97	G33	6.052507400512695
G18	G79	6.052173137664795
G17	G92	6.052173137664795
G47	G13	6.052173137664795
G41	G65	6.052173137664795
G15	G83	6.052173137664795
G90	G79	6.052173137664795
G16	G1	6.052173137664795
G87	G16	6.052173137664795
G87	G82	6.052173137664795
G17	G81	6.052173137664795
G78	G49	6.052173137664795
G10	G86	6.052173137664795
G17	G80	6.052173137664795
G97	G7	5.933830738067627
G8	G35	5.933830738067627
G39	G91	5.933503150939941
G45	G1	5.933503150939941
G82	G99	5.933503150939941
G63	G9	5.817481517791748
G86	G26	5.817481517791748
G42	G34	5.817160129547119
G76	G36	5.817160129547119
G91	G30	5.817160129547119
G58	G27	5.817160129547119
G23	G59	5.817160129547119
G51	G2	5.817160129547119
G91	G61	5.817160129547119
G19	G88	5.703413009643555
G13	G2	5.703413009643555
G7	G68	5.703098297119141
